,Alliance_1,Tribal Count_1,Index_1,Alliance_2,Tribal Count_2,Index_2,Alliance_3,Tribal Count_3,Index_3,Alliance_4,Tribal Count_4,Index_4,Alliance_5,Tribal Count_5,Index_5
Tyson,Monica,10.0,0.9,Gervase,10.0,0.9,Caleb,5.0,0.8,Hayden,6.0,0.6666666666666666,Ciera,7.0,0.5714285714285714
Monica,Gervase,10.0,1.0,Tyson,10.0,0.9,Caleb,5.0,0.8,Laura M.,6.0,0.6666666666666666,Hayden,6.0,0.6666666666666666
Gervase,Monica,10.0,1.0,Tyson,10.0,0.9,Caleb,5.0,0.8,Laura M.,6.0,0.6666666666666666,Hayden,6.0,0.6666666666666666
Tina,Katie,5.0,1.0,Vytas,4.0,0.75,Monica,9.0,0.5555555555555556,Gervase,7.0,0.42857142857142855,Laura M.,5.0,0.4
Ciera,Caleb,10.0,0.7,Hayden,11.0,0.6363636363636364,Brad,5.0,0.6,Vytas,7.0,0.5714285714285714,Tyson,7.0,0.5714285714285714
Hayden,Brad,5.0,1.0,Caleb,10.0,0.9,John,4.0,0.75,Laura M.,4.0,0.75,Vytas,7.0,0.7142857142857143
Katie,Tina,5.0,1.0,Caleb,10.0,0.6,Monica,7.0,0.5714285714285714,Vytas,9.0,0.5555555555555556,Ciera,10.0,0.5
Caleb,Hayden,10.0,0.9,Brad,5.0,0.8,Tyson,5.0,0.8,Monica,5.0,0.8,Gervase,5.0,0.8
Laura M.,Hayden,4.0,0.75,Caleb,4.0,0.75,Monica,6.0,0.6666666666666666,Gervase,6.0,0.6666666666666666,Tyson,6.0,0.5
Vytas,Brad,5.0,1.0,John,4.0,0.75,Tina,4.0,0.75,Hayden,7.0,0.7142857142857143,Ciera,7.0,0.5714285714285714
Brad,Hayden,5.0,1.0,Vytas,5.0,1.0,Caleb,5.0,0.8,John,4.0,0.75,Ciera,5.0,0.6
John,Hayden,4.0,0.75,Caleb,4.0,0.75,Vytas,4.0,0.75,Brad,4.0,0.75,Ciera,4.0,0.5
