,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Laura M.,Kat,,1.0,,,,,,,0.0,,,,,,,,,,,
Laura M.,Colton,,1.0,,,,,,,,,,,,,,,,,,
Laura M.,Candice,,0.0,,,,,,,,,,,,,,,,,,
Laura M.,Rupert,,0.0,,,,,,,,,,,,,,,,,,
Aras,Kat,,0.0,,,,,,,1.0,,,,,,,,,,,
Aras,Colton,,0.0,,,,,,,,,,,,,,,,,,
Aras,Candice,,1.0,,,,,,,,,,,,,,,,,,
Aras,Rupert,,1.0,,,,,,,,,,,,,,,,,,
Kat,Colton,,1.0,,,,,,,,,,,,,,,,,,
Kat,Candice,,0.0,,,,,,,,,,,,,,,,,,
Kat,Rupert,,0.0,,,,,,,,,,,,,,,,,,
Colton,Candice,,0.0,,,,,,,,,,,,,,,,,,
Colton,Rupert,,0.0,,,,,,,,,,,,,,,,,,
Candice,Rupert,,1.0,,,,,,,,,,,,,,,,,,
Tyson,Laura B.,,,,,,,,,1.0,,,,,,,,,,,
Monica,Laura B.,,,,,,,,,1.0,1.0,0.0,,,,,,,,,
Gervase,Laura B.,,,,,,,,,1.0,,,,,,,,,,,
Tina,Laura B.,,,,,,,,,1.0,1.0,0.0,,,,,,,,,
Laura M.,Laura B.,,,,,,,,,0.0,,,,,,,,,,,
Aras,Laura B.,,,,,,,,,1.0,,,,,,,,,,,
Laura B.,Kat,,,,,,,,,1.0,0.0,,,,,,,,,,
Monica,Katie,,,,,,,,,,1.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,
Monica,Vytas,,,,,,,,,,1.0,1.0,0.0,0.0,,,,,,,
Tina,Katie,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,
Tina,Vytas,,,,,,,,,,1.0,1.0,1.0,0.0,,,,,,,
Katie,Kat,,,,,,,,,,0.0,,,,,,,,,,
Vytas,Kat,,,,,,,,,,0.0,,,,,,,,,,
Tyson,Ciera,,,,,,,,,,,,1.0,0.0,1.0,1.0,1.0,,0.0,0.0,
Tyson,Hayden,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.0,,0.0,,
Tyson,Katie,,,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,,,,
Tyson,Caleb,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.0,,,,
Tyson,Vytas,,,,,,,,,,,,0.0,0.0,,,,,,,
Monica,Ciera,,,,,,,,,,,,1.0,0.0,1.0,1.0,1.0,,0.0,0.0,
Monica,Hayden,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.0,,0.0,,
Monica,Caleb,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.0,,,,
Gervase,Ciera,,,,,,,,,,,,1.0,0.0,1.0,1.0,1.0,,0.0,0.0,
Gervase,Hayden,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.0,,0.0,,
Gervase,Katie,,,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,,,,
Gervase,Caleb,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.0,,,,
Gervase,Vytas,,,,,,,,,,,,0.0,0.0,,,,,,,
Tina,Ciera,,,,,,,,,,,,0.0,0.0,0.0,,,,,1.0,
Tina,Hayden,,,,,,,,,,,,0.0,1.0,0.0,,,,,,
Tina,Caleb,,,,,,,,,,,,0.0,1.0,0.0,,,,,,
Ciera,Laura M.,,,,,,,,,,,,1.0,0.0,1.0,0.0,,,,,
Ciera,Aras,,,,,,,,,,,,0.0,,,,,,,,
Hayden,Laura M.,,,,,,,,,,,,1.0,1.0,1.0,0.0,,,,,
Hayden,Aras,,,,,,,,,,,,0.0,,,,,,,,
Katie,Laura M.,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,
Katie,Aras,,,,,,,,,,,,1.0,,,,,,,,
Caleb,Laura M.,,,,,,,,,,,,1.0,1.0,1.0,0.0,,,,,
Caleb,Aras,,,,,,,,,,,,0.0,,,,,,,,
Laura M.,Vytas,,,,,,,,,,,,0.0,0.0,,,,,,,
Vytas,Aras,,,,,,,,,,,,1.0,,,,,,,,
