,Idx,Episode,Air date,Reward,Immunity,Eliminated(Vote),Finish,Viewers(in millions),Ratings/Share(18-49),Immunity_2
0,1,"""Back to the Beach""","February 28, 2002",None,Rotu,"['Peter', '5-2-1']",1st Voted OutDay 3,23.19,9.1/22,['Rotu']
1,2,"""Nacho Momma""","March 7, 2002",Rotu,Rotu,"['Patricia', '4-3']",2nd Voted OutDay 6,23.40,9.4/23,['Rotu']
2,3,"""No Pain, No Gain""","March 13, 2002",Rotu,Rotu,"['Hunter', '4-2']",3rd Voted OutDay 9,20.10,8.9/24,['Rotu']
3,4,"""The Winds Twist""","March 20, 2002",None,Rotu,"['Sarah', '4-1']",4th Voted OutDay 12,N/A,N/A,['Rotu']
4,5,"""The End of Innocence""","March 28, 2002",Maraamu,Maraamu,"['Gabriel', '7-1']",5th Voted OutDay 15,N/A,8.2/22,['Maraamu']
5,6,"""The Underdogs""","April 4, 2002",Maraamu,Rotu,"['Gina', '3-1']",6th Voted OutDay 18,N/A,N/A,['Rotu']
6,7,"""True Lies""","April 11, 2002",None,Kathy,"['Rob', '7-2-1']",7th Voted OutDay 21,N/A,7.7/N/A,['Kathy']
7,8,"""Jury's Out""","April 18, 2002",Kathy,Tammy,"['John', '6-3']",8th Voted Out1st Jury MemberDay 24,19.88,8.0/23,['Tammy']
8,9,"""Look Closer: The First 24 Days""","April 24, 2002",Recap Episode,Recap Episode,Recap Episode,Recap Episode,N/A,N/A,['Recap Episode']
9,10,"""Two Peas in a Pod""","April 25, 2002","Paschal,Sean",Tammy,"['Zoe', '7-1']",9th Voted Out2nd Jury MemberDay 27,19.42,7.8/20,['Tammy']
10,11,"""The Princess""","May 2, 2002",Paschal[Neleh],Robert,"['Tammy', '5-2']",10th Voted Out3rd Jury MemberDay 30,19.60,7.8/21,['Robert']
11,12,"""Marquesan Vacation""","May 9, 2002",Kathy,Vecepia,"['Robert', '5-1']",11th Voted Out4th Jury MemberDay 33,20.83,8.1/22,['Vecepia']
12,13,"""A Tale of Two Cities""","May 16, 2002",Sean,Kathy,"['Sean', '3-2']",12th Voted Out5th Jury MemberDay 36,19.15,7.5/20,['Kathy']
13,14,"""The Sole Survivor""","May 19, 2002",None,Vecepia,"['Paschal', '2-2;Tiebreaker']",Eliminated6th Jury MemberDay 37,25.87,10.4/23,['Vecepia']
14,14,"""The Sole Survivor""","May 19, 2002",None,Neleh,"['Kathy', '1-0']",13th Voted Out7th Jury MemberDay 38,25.87,10.4/23,['Neleh']
15,14,"""The Sole Survivor""","May 19, 2002",Jury Vote,Jury Vote,"['Neleh', '4-3']",Runner-Up,25.87,10.4/23,[]
16,14,"""The Sole Survivor""","May 19, 2002",Jury Vote,Jury Vote,"['Vecepia', '4-3']",Sole Survivor,25.87,10.4/23,[]
17,15,"""Reunion""","May 19, 2002",,,,,18.30,8.3/N/A,[]
