,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Switched Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee
0,Peter Harkey,Peter,[],45,Millis,MA,Bowling Alley Owner,Maraamu,,,1st Voted OutDay 3,5,16.0,False
1,Patricia Jackson,Patricia,[],49,Lugoff,SC,Truck Assembler,Maraamu,,,2nd Voted OutDay 6,5,15.0,False
2,Hunter Ellis,Hunter,[],33,La Jolla,CA,Ex-Navy Fighter Pilot,Maraamu,,,3rd Voted OutDay 9,4,14.0,False
3,Sarah Jones,Sarah,[],24,Newport Beach,CA,Account Manager,Maraamu,Maraamu,,4th Voted OutDay 12,11,13.0,False
4,Gabriel Cade,Gabriel,[],23,Hollywood,CA,Bartender,Rotu,Rotu,,5th Voted OutDay 15,7,12.0,False
5,Gina Crews,Gina,[],28,Gainesville,FL,Nature Guide,Maraamu,Maraamu,,6th Voted OutDay 18,3,11.0,False
6,Rob Mariano,Rob,[],25,Canton,MA,Construction Worker,Maraamu,Rotu,Soliantu,7th Voted OutDay 21,8,10.0,False
7,John Carroll,John,[],36,Omaha,NE,Nurse,Rotu,Rotu,Soliantu,8th Voted Out1st Jury MemberDay 24,8,9.0,False
8,Zoe Zanidakis,Zoe,[],35,Monhegan Island,ME,Fishing Boat Captain,Rotu,Rotu,Soliantu,9th Voted Out2nd Jury MemberDay 27,8,8.0,False
9,Tammy Leitner,Tammy,[],29,Mesa,AZ,Crime Reporter,Rotu,Rotu,Soliantu,10th Voted Out3rd Jury MemberDay 30,5,7.0,False
10,Robert DeCanio,Robert,[],38,College Point,NY,Limousine Driver,Rotu,Rotu,Soliantu,11th Voted Out4th Jury MemberDay 33,6,6.0,False
11,Sean Rector,Sean,[],30,Los Angeles,CA,Teacher,Maraamu,Rotu,Soliantu,12th Voted Out5th Jury MemberDay 36,7,5.0,False
12,Paschal English,Paschal,[],56,Thomaston,GA,Judge,Rotu,Maraamu,Soliantu,Eliminated6th Jury MemberDay 37,0,4.0,False
13,Kathy Vavrick-O'Brien,Kathy,[],46,Burlington,VT,Real Estate Agent,Rotu,Maraamu,Soliantu,13th Voted Out7th Jury MemberDay 38,5,3.0,False
14,Neleh Dennis,Neleh,[],21,Layton,UT,Student,Rotu,Maraamu,Soliantu,Runner-Up,4,2.0,False
15,Vecepia Towery,Vecepia,[],35,Hayward,CA,Office Manager,Maraamu,Rotu,Soliantu,Sole Survivor,2,1.0,False
