,,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Vecepia,Sean,1.0,1.0,1.0,,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,,
Vecepia,Rob,0.0,1.0,1.0,,1.0,,0.0,,,,,,,
Vecepia,Gina,0.0,0.0,0.0,,,,,,,,,,,
Vecepia,Sarah,0.0,1.0,1.0,,,,,,,,,,,
Vecepia,Hunter,0.0,0.0,0.0,,,,,,,,,,,
Vecepia,Patricia,0.0,0.0,,,,,,,,,,,,
Vecepia,Peter,1.0,,,,,,,,,,,,,
Sean,Rob,0.0,1.0,1.0,,1.0,,1.0,,,,,,,
Sean,Gina,0.0,0.0,0.0,,,,,,,,,,,
Sean,Sarah,0.0,1.0,1.0,,,,,,,,,,,
Sean,Hunter,0.0,0.0,0.0,,,,,,,,,,,
Sean,Patricia,0.0,0.0,,,,,,,,,,,,
Sean,Peter,1.0,,,,,,,,,,,,,
Rob,Gina,1.0,0.0,0.0,,,,,,,,,,,
Rob,Sarah,1.0,1.0,1.0,,,,,,,,,,,
Rob,Hunter,1.0,0.0,0.0,,,,,,,,,,,
Rob,Patricia,1.0,0.0,,,,,,,,,,,,
Rob,Peter,0.0,,,,,,,,,,,,,
Gina,Sarah,1.0,0.0,0.0,0.0,,,,,,,,,,
Gina,Hunter,1.0,1.0,1.0,,,,,,,,,,,
Gina,Patricia,1.0,1.0,,,,,,,,,,,,
Gina,Peter,0.0,,,,,,,,,,,,,
Sarah,Hunter,1.0,0.0,0.0,,,,,,,,,,,
Sarah,Patricia,1.0,0.0,,,,,,,,,,,,
Sarah,Peter,0.0,,,,,,,,,,,,,
Hunter,Patricia,1.0,1.0,,,,,,,,,,,,
Hunter,Peter,0.0,,,,,,,,,,,,,
Patricia,Peter,0.0,,,,,,,,,,,,,
Neleh,Kathy,,,,1.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,
Neleh,Paschal,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
Neleh,Gina,,,,1.0,,0.0,,,,,,,,
Neleh,Sarah,,,,0.0,,,,,,,,,,
Kathy,Paschal,,,,1.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,
Kathy,Gina,,,,1.0,,0.0,,,,,,,,
Kathy,Sarah,,,,0.0,,,,,,,,,,
Paschal,Gina,,,,1.0,,0.0,,,,,,,,
Paschal,Sarah,,,,0.0,,,,,,,,,,
Vecepia,Robert,,,,,1.0,,1.0,0.0,1.0,0.0,0.0,,,
Vecepia,Tammy,,,,,1.0,,1.0,0.0,1.0,0.0,,,,
Vecepia,Zoe,,,,,1.0,,1.0,1.0,0.0,,,,,
Vecepia,John,,,,,1.0,,1.0,0.0,,,,,,
Vecepia,Gabriel,,,,,0.0,,,,,,,,,
Sean,Robert,,,,,1.0,,0.0,0.0,1.0,0.0,0.0,,,
Sean,Tammy,,,,,1.0,,0.0,0.0,1.0,0.0,,,,
Sean,Zoe,,,,,1.0,,0.0,1.0,0.0,,,,,
Sean,John,,,,,1.0,,0.0,0.0,,,,,,
Sean,Gabriel,,,,,0.0,,,,,,,,,
Robert,Tammy,,,,,1.0,,1.0,1.0,1.0,1.0,,,,
Robert,Zoe,,,,,1.0,,1.0,0.0,0.0,,,,,
Robert,John,,,,,1.0,,1.0,1.0,,,,,,
Robert,Rob,,,,,1.0,,0.0,,,,,,,
Robert,Gabriel,,,,,0.0,,,,,,,,,
Tammy,Zoe,,,,,1.0,,1.0,0.0,0.0,,,,,
Tammy,John,,,,,1.0,,1.0,1.0,,,,,,
Tammy,Rob,,,,,1.0,,0.0,,,,,,,
Tammy,Gabriel,,,,,0.0,,,,,,,,,
Zoe,John,,,,,1.0,,1.0,0.0,,,,,,
Zoe,Rob,,,,,1.0,,0.0,,,,,,,
Zoe,Gabriel,,,,,0.0,,,,,,,,,
John,Rob,,,,,1.0,,0.0,,,,,,,
John,Gabriel,,,,,0.0,,,,,,,,,
Rob,Gabriel,,,,,0.0,,,,,,,,,
Vecepia,Neleh,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
Vecepia,Kathy,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,
Vecepia,Paschal,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
Neleh,Sean,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,,
Neleh,Robert,,,,,,,1.0,0.0,1.0,0.0,0.0,,,
Neleh,Tammy,,,,,,,1.0,0.0,1.0,0.0,,,,
Neleh,Zoe,,,,,,,1.0,1.0,0.0,,,,,
Neleh,John,,,,,,,1.0,0.0,,,,,,
Neleh,Rob,,,,,,,0.0,,,,,,,
Kathy,Sean,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,,
Kathy,Robert,,,,,,,0.0,0.0,1.0,0.0,0.0,,,
Kathy,Tammy,,,,,,,0.0,0.0,1.0,0.0,,,,
Kathy,Zoe,,,,,,,0.0,1.0,0.0,,,,,
Kathy,John,,,,,,,0.0,0.0,,,,,,
Kathy,Rob,,,,,,,1.0,,,,,,,
Paschal,Sean,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,,
Paschal,Robert,,,,,,,1.0,0.0,1.0,0.0,0.0,,,
Paschal,Tammy,,,,,,,1.0,0.0,1.0,0.0,,,,
Paschal,Zoe,,,,,,,1.0,1.0,0.0,,,,,
Paschal,John,,,,,,,1.0,0.0,,,,,,
Paschal,Rob,,,,,,,0.0,,,,,,,
