,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Switched Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee,Sole_Survivor,Made_Finale,Voted_Off,Made_Merge,Tm_IC,Tm_IC_W,Idv_IC,Idv_IC_W,Weeks_Played,Votes_Around,Votes_Safe,Votes_Cast,Votes_Sat_Out,Vote_Boot,Vote_Wrong,Wgt_Avg_IC,Wgt_Avg_Idv_IC,Final_Votes,Votes_Against
0,Peter Harkey,Peter,[],45,Millis,MA,Bowling Alley Owner,Maraamu,,,1st Voted OutDay 3,5,16.0,False,False,False,1,False,1,0,0,0,2,1,0,1,0,0,1,0.0,,0,5
1,Patricia Jackson,Patricia,[],49,Lugoff,SC,Truck Assembler,Maraamu,,,2nd Voted OutDay 6,5,15.0,False,False,False,2,False,2,0,0,0,3,2,0,2,0,1,1,0.0,,0,5
2,Hunter Ellis,Hunter,[],33,La Jolla,CA,Ex-Navy Fighter Pilot,Maraamu,,,3rd Voted OutDay 9,4,14.0,False,False,False,3,False,3,0,0,0,4,3,0,3,0,1,2,0.0,,0,4
3,Sarah Jones,Sarah,[],24,Newport Beach,CA,Account Manager,Maraamu,Maraamu,,4th Voted OutDay 12,11,13.0,False,False,False,4,False,4,0,0,0,5,4,0,4,0,3,1,0.0,,0,11
4,Gabriel Cade,Gabriel,[],23,Hollywood,CA,Bartender,Rotu,Rotu,,5th Voted OutDay 15,7,12.0,False,False,False,5,False,5,4,0,0,6,5,4,1,0,0,1,0.8,,0,7
5,Gina Crews,Gina,[],28,Gainesville,FL,Nature Guide,Maraamu,Maraamu,,6th Voted OutDay 18,3,11.0,False,False,False,6,False,6,1,0,0,7,6,1,5,0,2,3,0.16666666666666666,,0,3
6,Rob Mariano,Rob,[],25,Canton,MA,Construction Worker,Maraamu,Rotu,Soliantu,7th Voted OutDay 21,8,10.0,False,False,False,7,True,6,2,1,0,8,7,2,5,0,4,1,0.2857142857142857,0.0,0,8
7,John Carroll,John,[],36,Omaha,NE,Nurse,Rotu,Rotu,Soliantu,8th Voted Out1st Jury MemberDay 24,8,9.0,False,False,False,8,True,6,5,2,0,9,8,5,3,0,2,1,0.625,0.0,0,8
8,Zoe Zanidakis,Zoe,[],35,Monhegan Island,ME,Fishing Boat Captain,Rotu,Rotu,Soliantu,9th Voted Out2nd Jury MemberDay 27,8,8.0,False,False,False,9,True,6,5,3,0,10,9,5,5,-1,3,1,0.5555555555555556,0.0,0,8
9,Tammy Leitner,Tammy,[],29,Mesa,AZ,Crime Reporter,Rotu,Rotu,Soliantu,10th Voted Out3rd Jury MemberDay 30,5,7.0,False,False,False,10,True,6,5,4,2,11,10,5,5,0,3,2,2.0,3.75,0,5
10,Robert DeCanio,Robert,[],38,College Point,NY,Limousine Driver,Rotu,Rotu,Soliantu,11th Voted Out4th Jury MemberDay 33,6,6.0,False,False,False,11,True,6,5,5,1,12,11,5,6,0,3,3,1.0,1.2,0,6
11,Sean Rector,Sean,[],30,Los Angeles,CA,Teacher,Maraamu,Rotu,Soliantu,12th Voted Out5th Jury MemberDay 36,7,5.0,False,False,False,12,True,6,2,6,0,13,12,2,10,0,7,3,0.16666666666666666,0.0,0,7
12,Paschal English,Paschal,[],56,Thomaston,GA,Judge,Rotu,Maraamu,Soliantu,Eliminated6th Jury MemberDay 37,0,4.0,False,False,False,13,True,6,4,7,0,14,12,4,9,-1,8,0,0.3076923076923077,0.0,0,0
13,Kathy Vavrick-O'Brien,Kathy,[],46,Burlington,VT,Real Estate Agent,Rotu,Maraamu,Soliantu,13th Voted Out7th Jury MemberDay 38,5,3.0,False,False,False,14,True,6,4,8,2,15,13,4,8,1,7,1,1.2142857142857142,1.625,0,5
14,Neleh Dennis,Neleh,[],21,Layton,UT,Student,Rotu,Maraamu,Soliantu,Runner-Up,4,2.0,False,False,True,15,True,6,4,8,1,16,13,4,10,-1,9,0,0.42857142857142855,0.25,3,4
15,Vecepia Towery,Vecepia,[],35,Hayward,CA,Office Manager,Maraamu,Rotu,Soliantu,Sole Survivor,2,1.0,False,True,True,15,True,6,2,8,2,16,13,2,11,0,8,2,0.7142857142857143,1.0,4,2
