,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Ozzy,Cochran,1.0,,1.0,,0.0,,0.0,1.0,0.0,,,,,,,,
Ozzy,Whitney,1.0,,1.0,,1.0,,0.0,1.0,0.0,,,,,,,,
Ozzy,Dawn,1.0,,1.0,,0.0,,0.0,1.0,0.0,,,,,,,,
Ozzy,Jim,1.0,,0.0,,0.0,,0.0,1.0,1.0,,,,,,,,
Ozzy,Keith,1.0,,1.0,,1.0,,0.0,1.0,,,,,,,,,
Ozzy,Elyse,1.0,,1.0,,1.0,,,,,,,,,,,,
Ozzy,Mark,1.0,,0.0,,,,,,,,,,,,,,
Ozzy,Semhar,0.0,,,,,,,,,,,,,,,,
Cochran,Whitney,1.0,,1.0,,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,,,,,
Cochran,Dawn,1.0,,1.0,,1.0,,1.0,1.0,1.0,0.0,0.0,,,,,,
Cochran,Jim,1.0,,0.0,,1.0,,1.0,1.0,0.0,0.0,,,,,,,
Cochran,Keith,1.0,,1.0,,0.0,,1.0,1.0,,,,,,,,,
Cochran,Elyse,1.0,,1.0,,0.0,,,,,,,,,,,,
Cochran,Mark,1.0,,0.0,,,,,,,,,,,,,,
Cochran,Semhar,0.0,,,,,,,,,,,,,,,,
Whitney,Dawn,1.0,,1.0,,0.0,,1.0,1.0,1.0,1.0,1.0,,,,,,
Whitney,Jim,1.0,,0.0,,0.0,,1.0,1.0,0.0,1.0,,,,,,,
Whitney,Keith,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,,,
Whitney,Elyse,1.0,,1.0,,1.0,,,,,,,,,,,,
Whitney,Mark,1.0,,0.0,,,,,,,,,,,,,,
Whitney,Semhar,0.0,,,,,,,,,,,,,,,,
Dawn,Jim,1.0,,0.0,,1.0,,1.0,1.0,0.0,1.0,,,,,,,
Dawn,Keith,1.0,,1.0,,0.0,,1.0,1.0,,,,,,,,,
Dawn,Elyse,1.0,,1.0,,0.0,,,,,,,,,,,,
Dawn,Mark,1.0,,0.0,,,,,,,,,,,,,,
Dawn,Semhar,0.0,,,,,,,,,,,,,,,,
Jim,Keith,1.0,,0.0,,0.0,,1.0,1.0,,,,,,,,,
Jim,Elyse,1.0,,0.0,,0.0,,,,,,,,,,,,
Jim,Mark,1.0,,0.0,,,,,,,,,,,,,,
Jim,Semhar,0.0,,,,,,,,,,,,,,,,
Keith,Elyse,1.0,,1.0,,1.0,,,,,,,,,,,,
Keith,Mark,1.0,,0.0,,,,,,,,,,,,,,
Keith,Semhar,0.0,,,,,,,,,,,,,,,,
Elyse,Mark,1.0,,0.0,,,,,,,,,,,,,,
Elyse,Semhar,0.0,,,,,,,,,,,,,,,,
Mark,Semhar,0.0,,,,,,,,,,,,,,,,
Sophie,Coach,,0.0,,1.0,,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Sophie,Albert,,0.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Sophie,Rick,,1.0,,1.0,,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
Sophie,Brandon,,0.0,,1.0,,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,
Sophie,Edna,,1.0,,1.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,
Sophie,Mikayla,,0.0,,1.0,,1.0,,,,,,,,,,,
Sophie,Stacey,,0.0,,0.0,,,,,,,,,,,,,
Sophie,Christine,,0.0,,,,,,,,,,,,,,,
Coach,Albert,,1.0,,1.0,,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Coach,Rick,,0.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
Coach,Brandon,,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,
Coach,Edna,,0.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,
Coach,Mikayla,,1.0,,1.0,,0.0,,,,,,,,,,,
Coach,Stacey,,0.0,,0.0,,,,,,,,,,,,,
Coach,Christine,,0.0,,,,,,,,,,,,,,,
Albert,Rick,,0.0,,1.0,,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
Albert,Brandon,,1.0,,1.0,,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
Albert,Edna,,0.0,,1.0,,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,
Albert,Mikayla,,1.0,,1.0,,1.0,,,,,,,,,,,
Albert,Stacey,,0.0,,0.0,,,,,,,,,,,,,
Albert,Christine,,0.0,,,,,,,,,,,,,,,
Rick,Brandon,,0.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,
Rick,Edna,,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,
Rick,Mikayla,,0.0,,1.0,,0.0,,,,,,,,,,,
Rick,Stacey,,0.0,,0.0,,,,,,,,,,,,,
Rick,Christine,,0.0,,,,,,,,,,,,,,,
Brandon,Edna,,0.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,
Brandon,Mikayla,,1.0,,1.0,,0.0,,,,,,,,,,,
Brandon,Stacey,,0.0,,0.0,,,,,,,,,,,,,
Brandon,Christine,,0.0,,,,,,,,,,,,,,,
Edna,Mikayla,,0.0,,1.0,,0.0,,,,,,,,,,,
Edna,Stacey,,0.0,,0.0,,,,,,,,,,,,,
Edna,Christine,,0.0,,,,,,,,,,,,,,,
Mikayla,Stacey,,0.0,,0.0,,,,,,,,,,,,,
Mikayla,Christine,,0.0,,,,,,,,,,,,,,,
Stacey,Christine,,1.0,,,,,,,,,,,,,,,
Sophie,Ozzy,,,,,,,,0.0,0.0,,,,,,,0.0,0.0
Sophie,Cochran,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,,,,
Sophie,Whitney,,,,,,,,0.0,1.0,0.0,0.0,0.0,,,,,
Sophie,Dawn,,,,,,,,0.0,1.0,0.0,0.0,,,,,,
Sophie,Jim,,,,,,,,0.0,0.0,0.0,,,,,,,
Sophie,Keith,,,,,,,,0.0,,,,,,,,,
Coach,Ozzy,,,,,,,,0.0,0.0,,,,,,,0.0,0.0
Coach,Cochran,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,,,,
Coach,Whitney,,,,,,,,0.0,1.0,0.0,0.0,0.0,,,,,
Coach,Dawn,,,,,,,,0.0,1.0,0.0,0.0,,,,,,
Coach,Jim,,,,,,,,0.0,0.0,0.0,,,,,,,
Coach,Keith,,,,,,,,0.0,,,,,,,,,
Albert,Ozzy,,,,,,,,0.0,0.0,,,,,,,0.0,0.0
Albert,Cochran,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,,,,
Albert,Whitney,,,,,,,,0.0,1.0,0.0,0.0,0.0,,,,,
Albert,Dawn,,,,,,,,0.0,1.0,0.0,0.0,,,,,,
Albert,Jim,,,,,,,,0.0,0.0,0.0,,,,,,,
Albert,Keith,,,,,,,,0.0,,,,,,,,,
Ozzy,Rick,,,,,,,,0.0,0.0,,,,,,,1.0,
Ozzy,Brandon,,,,,,,,0.0,0.0,,,,,,,,
Ozzy,Edna,,,,,,,,0.0,0.0,,,,,,,,
Rick,Cochran,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,,,,
Rick,Whitney,,,,,,,,0.0,1.0,0.0,0.0,0.0,,,,,
Rick,Dawn,,,,,,,,0.0,1.0,0.0,0.0,,,,,,
Rick,Jim,,,,,,,,0.0,0.0,0.0,,,,,,,
Rick,Keith,,,,,,,,0.0,,,,,,,,,
Brandon,Cochran,,,,,,,,0.0,1.0,1.0,1.0,1.0,0.0,,,,
Brandon,Whitney,,,,,,,,0.0,1.0,0.0,0.0,0.0,,,,,
Brandon,Dawn,,,,,,,,0.0,1.0,0.0,0.0,,,,,,
Brandon,Jim,,,,,,,,0.0,0.0,0.0,,,,,,,
Brandon,Keith,,,,,,,,0.0,,,,,,,,,
Edna,Cochran,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,,,,
Edna,Whitney,,,,,,,,0.0,1.0,0.0,0.0,0.0,,,,,
Edna,Dawn,,,,,,,,0.0,1.0,0.0,0.0,,,,,,
Edna,Jim,,,,,,,,0.0,0.0,0.0,,,,,,,
Edna,Keith,,,,,,,,0.0,,,,,,,,,
