,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Merged Tribe,Finish,RedemptionIsland Status,VotesAgainst,Place,Returnee
0,Semhar Tadesse,Semhar,[],24,Los Angeles,CA,Spoken Word Artist,Savaii,,1st Voted OutDay 3,1st EliminatedDay 6,8,18.0,False
1,Mark Caruso,Mark,[],47,Forest Hills,NY,Retired NYPD Detective,Savaii,,3rd Voted OutDay 8,2nd EliminatedDay 9,6,17.0,False
2,Stacey Powell,Stacey,[],43,Grand Prairie,TX,Mortician,Upolu,,4th Voted OutDay 11,3rd EliminatedDay 12,10,16.0,False
3,Elyse Umemoto,Elyse,[],27,Las Vegas,NV,Dance Team Manager,Savaii,,5th Voted OutDay 14,4th EliminatedDay 15,3,15.0,False
4,Mikayla Wingle,Mikayla,[],21,Tampa,FL,Lingerie Football Player,Upolu,,6th Voted OutDay 16,5th EliminatedDay 17,4,14.0,False
5,Christine Shields Markoski,Christine,[],39,Merrick,NY,Teacher,Upolu,,2nd Voted OutDay 5,6th EliminatedDay 19,4,13.0,False
6,Jim Rice,Jim,[],35,Denver,CO,Medical Marijuana Dispenser,Savaii,Te Tuna,10th Voted OutDay 24,7th Eliminated1st Jury MemberDay 25,8,12.0,False
7,Keith Tollefson,Keith,[],25,Edina,MN,Water Treatment Technician,Savaii,Te Tuna,8th Voted OutDay 21,8th Eliminated2nd Jury MemberDay 25,12,11.0,False
8,Dawn Meehan,Dawn,[],40,South Jordan,UT,English Professor,Savaii,Te Tuna,11th Voted OutDay 27,9th Eliminated3rd Jury MemberDay 28,9,10.0,False
9,Whitney Duncan,Whitney,[],26,Nashville,TN,Country Music Singer,Savaii,Te Tuna,12th Voted OutDay 27,10th Eliminated4th Jury MemberDay 28,7,9.0,False
10,John Cochran,Cochran,[],24,Washington,D.,Harvard Law Student,Savaii,Te Tuna,13th Voted OutDay 30,11th Eliminated5th Jury MemberDay 31,13,8.0,False
11,Edna Ma,Edna,[],35,Los Angeles,CA,Anesthesiologist,Upolu,Te Tuna,14th Voted OutDay 32,12th Eliminated6th Jury MemberDay 33,15,7.0,False
12,Brandon Hantz,Brandon,[],19,Katy,TX,Oil Tanker Crewman,Upolu,Te Tuna,15th Voted OutDay 35,13th Eliminated7th Jury MemberDay 36,4,6.0,False
13,Rick Nelson,Rick,[],51,Aurora,UT,Rancher,Upolu,Te Tuna,16th Voted Out8th Jury MemberDay 37,,15,5.0,False
14,Ozzy Lusth,Ozzy,"['Cook Islands', 'Micronesia']",29,Venice,CA,,Savaii,Te Tuna,"['7th Voted OutDay 18', '9th Voted OutDay 22', '17th Voted Out9th Jury MemberDay 38']","['1st ReturneeDay 19', '2nd ReturneeDay 36', '']",17,4.0,True
15,Albert Destrade,Albert,[],26,Plantation,FL,Baseball/Dating Coach,Upolu,Te Tuna,SecondRunner-Up,,1,3.0,False
16,Coach Wade,Coach,"['Tocantins', 'Heroes vs. Villains']",39,Susanville,CA,,Upolu,Te Tuna,Runner-Up,,0,2.0,True
17,Sophie Clarke,Sophie,[],21,Willsboro,NY,Medical Student,Upolu,Te Tuna,Sole Survivor,,5,1.0,False
