,Alliance_1,Tribal Count_1,Index_1,Alliance_2,Tribal Count_2,Index_2,Alliance_3,Tribal Count_3,Index_3,Alliance_4,Tribal Count_4,Index_4,Alliance_5,Tribal Count_5,Index_5
Sophie,Coach,13.0,0.8461538461538461,Albert,13.0,0.8461538461538461,Rick,12.0,0.8333333333333334,Brandon,11.0,0.7272727272727273,Edna,10.0,0.7
Coach,Brandon,11.0,0.9090909090909091,Sophie,13.0,0.8461538461538461,Albert,13.0,0.8461538461538461,Rick,12.0,0.8333333333333334,Edna,10.0,0.7
Albert,Brandon,11.0,0.9090909090909091,Sophie,13.0,0.8461538461538461,Coach,13.0,0.8461538461538461,Rick,12.0,0.6666666666666666,Cochran,6.0,0.6666666666666666
Ozzy,Keith,5.0,0.8,Whitney,6.0,0.6666666666666666,Cochran,6.0,0.5,Dawn,6.0,0.5,Jim,6.0,0.5
Rick,Sophie,12.0,0.8333333333333334,Coach,12.0,0.8333333333333334,Brandon,11.0,0.8181818181818182,Edna,10.0,0.8,Albert,12.0,0.6666666666666666
Brandon,Coach,11.0,0.9090909090909091,Albert,11.0,0.9090909090909091,Rick,11.0,0.8181818181818182,Sophie,11.0,0.7272727272727273,Edna,10.0,0.7
Edna,Cochran,6.0,0.8333333333333334,Rick,10.0,0.8,Sophie,10.0,0.7,Coach,10.0,0.7,Brandon,10.0,0.7
Cochran,Edna,6.0,0.8333333333333334,Keith,5.0,0.8,Dawn,8.0,0.75,Sophie,6.0,0.6666666666666666,Coach,6.0,0.6666666666666666
Whitney,Keith,5.0,1.0,Dawn,8.0,0.875,Ozzy,6.0,0.6666666666666666,Jim,7.0,0.5714285714285714,Cochran,9.0,0.5555555555555556
Dawn,Whitney,8.0,0.875,Keith,5.0,0.8,Cochran,8.0,0.75,Jim,7.0,0.7142857142857143,Ozzy,6.0,0.5
Jim,Dawn,7.0,0.7142857142857143,Keith,5.0,0.6,Cochran,7.0,0.5714285714285714,Whitney,7.0,0.5714285714285714,Ozzy,6.0,0.5
Keith,Whitney,5.0,1.0,Ozzy,5.0,0.8,Cochran,5.0,0.8,Dawn,5.0,0.8,Jim,5.0,0.6
