,,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Cirie,Ruth Marie,1.0,,,,,,,,,,,,,
Cirie,Melinda,1.0,1.0,,,,,,,,,,,,
Cirie,Tina,0.0,,,,,,,,,,,,,
Ruth Marie,Melinda,1.0,,,,,,,,,,,,,
Ruth Marie,Tina,0.0,,,,,,,,,,,,,
Melinda,Tina,0.0,,,,,,,,,,,,,
Aras,Danielle,,1.0,,,0.0,,1.0,1.0,1.0,,1.0,1.0,0.0,
Aras,Cirie,,0.0,,,0.0,,1.0,1.0,1.0,,1.0,1.0,1.0,
Aras,Shane,,1.0,,,0.0,,1.0,1.0,1.0,,0.0,0.0,,
Aras,Courtney,,1.0,,,0.0,,1.0,1.0,1.0,,0.0,,,
Aras,Bobby,,1.0,,,1.0,,,,,,,,,
Aras,Melinda,,0.0,,,,,,,,,,,,
Danielle,Cirie,,0.0,,,1.0,,1.0,1.0,1.0,,1.0,1.0,0.0,
Danielle,Shane,,1.0,,,1.0,,1.0,1.0,1.0,,0.0,0.0,,
Danielle,Courtney,,1.0,,,1.0,,1.0,1.0,1.0,,0.0,,,
Danielle,Bobby,,1.0,,,0.0,,,,,,,,,
Danielle,Melinda,,0.0,,,,,,,,,,,,
Cirie,Shane,,0.0,,,1.0,,1.0,1.0,1.0,,0.0,0.0,,
Cirie,Courtney,,0.0,,,1.0,,1.0,1.0,1.0,,0.0,,,
Cirie,Bobby,,0.0,,,0.0,,,,,,,,,
Shane,Courtney,,1.0,,,1.0,,1.0,1.0,1.0,,1.0,,,
Shane,Bobby,,1.0,,,0.0,,,,,,,,,
Shane,Melinda,,0.0,,,,,,,,,,,,
Courtney,Bobby,,1.0,,,0.0,,,,,,,,,
Courtney,Melinda,,0.0,,,,,,,,,,,,
Bobby,Melinda,,0.0,,,,,,,,,,,,
Terry,Sally,,,0.0,1.0,,,1.0,1.0,1.0,,,,,
Terry,Austin,,,1.0,1.0,,1.0,1.0,1.0,,,,,,
Terry,Nick,,,1.0,1.0,,1.0,1.0,,,,,,,
Terry,Dan,,,1.0,0.0,,0.0,,,,,,,,
Terry,Ruth Marie,,,1.0,0.0,,,,,,,,,,
Terry,Misty,,,0.0,,,,,,,,,,,
Sally,Austin,,,0.0,1.0,,,1.0,1.0,,,,,,
Sally,Nick,,,0.0,1.0,,,1.0,,,,,,,
Sally,Dan,,,0.0,0.0,,,,,,,,,,
Sally,Ruth Marie,,,0.0,0.0,,,,,,,,,,
Sally,Misty,,,1.0,,,,,,,,,,,
Austin,Nick,,,1.0,1.0,,1.0,1.0,,,,,,,
Austin,Dan,,,1.0,0.0,,0.0,,,,,,,,
Austin,Ruth Marie,,,1.0,0.0,,,,,,,,,,
Austin,Misty,,,0.0,,,,,,,,,,,
Nick,Dan,,,1.0,0.0,,0.0,,,,,,,,
Nick,Ruth Marie,,,1.0,0.0,,,,,,,,,,
Nick,Misty,,,0.0,,,,,,,,,,,
Dan,Ruth Marie,,,1.0,1.0,,,,,,,,,,
Dan,Misty,,,0.0,,,,,,,,,,,
Ruth Marie,Misty,,,0.0,,,,,,,,,,,
Aras,Bruce,,,,,0.0,,1.0,1.0,1.0,,,,,
Danielle,Bruce,,,,,0.0,,1.0,1.0,1.0,,,,,
Cirie,Bruce,,,,,0.0,,1.0,1.0,1.0,,,,,
Shane,Bruce,,,,,0.0,,1.0,1.0,1.0,,,,,
Courtney,Bruce,,,,,0.0,,1.0,1.0,1.0,,,,,
Bruce,Bobby,,,,,0.0,,,,,,,,,
Aras,Terry,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,
Aras,Sally,,,,,,,0.0,0.0,0.0,,,,,
Aras,Austin,,,,,,,0.0,0.0,,,,,,
Aras,Nick,,,,,,,0.0,,,,,,,
Danielle,Terry,,,,,,,0.0,0.0,0.0,,0.0,0.0,1.0,
Danielle,Sally,,,,,,,0.0,0.0,0.0,,,,,
Danielle,Austin,,,,,,,0.0,0.0,,,,,,
Danielle,Nick,,,,,,,0.0,,,,,,,
Terry,Cirie,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,
Terry,Shane,,,,,,,0.0,0.0,0.0,,1.0,1.0,,
Terry,Courtney,,,,,,,0.0,0.0,0.0,,1.0,,,
Terry,Bruce,,,,,,,0.0,0.0,0.0,,,,,
Cirie,Sally,,,,,,,0.0,0.0,0.0,,,,,
Cirie,Austin,,,,,,,0.0,0.0,,,,,,
Cirie,Nick,,,,,,,0.0,,,,,,,
Shane,Sally,,,,,,,0.0,0.0,0.0,,,,,
Shane,Austin,,,,,,,0.0,0.0,,,,,,
Shane,Nick,,,,,,,0.0,,,,,,,
Courtney,Sally,,,,,,,0.0,0.0,0.0,,,,,
Courtney,Austin,,,,,,,0.0,0.0,,,,,,
Courtney,Nick,,,,,,,0.0,,,,,,,
Bruce,Sally,,,,,,,0.0,0.0,0.0,,,,,
Bruce,Austin,,,,,,,0.0,0.0,,,,,,
Bruce,Nick,,,,,,,0.0,,,,,,,
