,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Switched Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee
0,Tina Scheer,Tina,[],44,Hayward,WI,Lumberjill,Casaya,,,1st Voted OutDay 3,3,16.0,False
1,Melinda Hyder,Melinda,[],32,Sevierville,TN,Singer/Entertainer,Casaya,Casaya,,2nd Voted OutDay 6,5,15.0,False
2,Misty Giles,Misty,[],24,Dallas,TX,Missile Engineer,Bayoneta,La Mina,,3rd Voted OutDay 8,5,14.0,False
3,Ruth Marie Milliman,Ruth Marie,[],48,Greenville,SC,Property Developer,Casaya,La Mina,,4th Voted OutDay 11,6,13.0,False
4,Bobby Mason,Bobby,[],32,Los Angeles,CA,Attorney,Viveros,Casaya,,5th Voted OutDay 14,3,12.0,False
5,Dan Barry,Dan,[],51,South Hadley,MA,Astronaut,La Mina,La Mina,,6th Voted OutDay 15,3,11.0,False
6,Nick Stanbury,Nick,[],25,Tempe,AZ,Financial Salesman,Viveros,La Mina,Gitanos,7th Voted OutDay 18,6,10.0,False
7,Austin Carty,Austin,[],24,High Point,NC,Writer,Viveros,La Mina,Gitanos,8th Voted Out1st Jury MemberDay 21,7,9.0,False
8,Sally Schumann,Sally,[],26,Chicago,IL,Social Worker,Bayoneta,La Mina,Gitanos,9th Voted Out2nd Jury MemberDay 24,8,8.0,False
9,Bruce Kanegai,Bruce,[],57,Simi Valley,CA,Art Teacher,La Mina,Casaya,Gitanos,Evacuated3rd Jury MemberDay 25,2,7.0,False
10,Courtney Marit,Courtney,[],31,Los Angeles,CA,Fire Dancer,Bayoneta,Casaya,Gitanos,10th Voted Out4th Jury MemberDay 30,4,6.0,False
11,Shane Powers,Shane,[],34,Los Angeles,CA,Marketing Executive,La Mina,Casaya,Gitanos,11th Voted Out5th Jury MemberDay 33,9,5.0,False
12,Cirie Fields,Cirie,[],35,Walterboro,SC,Nurse,Casaya,Casaya,Gitanos,12th Voted Out6th Jury MemberDay 36,3,4.0,False
13,Terry Deitz,Terry,[],46,Simsbury,CT,Pilot,La Mina,La Mina,Gitanos,13th Voted Out7th Jury MemberDay 38,1,3.0,False
14,Danielle DiLorenzo,Danielle,[],24,Pompano Beach,FL,Medical Sales Representative,Bayoneta,Casaya,Gitanos,Runner-Up,4,2.0,False
15,Aras Baskauskas,Aras,[],24,Santa Monica,CA,Yoga Instructor,Viveros,Casaya,Gitanos,Sole Survivor,9,1.0,False
