,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Switched Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee,Sole_Survivor,Made_Finale,Voted_Off,Made_Merge,Tm_IC,Tm_IC_W,Idv_IC,Idv_IC_W,Weeks_Played,Votes_Around,Votes_Safe,Votes_Cast,Votes_Sat_Out,Vote_Boot,Vote_Wrong,Wgt_Avg_IC,Wgt_Avg_Idv_IC,Final_Votes,Votes_Against
0,Tina Scheer,Tina,[],44,Hayward,WI,Lumberjill,Casaya,,,1st Voted OutDay 3,3,16.0,False,False,False,1,False,1,0,0,0,2,1,0,1,0,0,1,0.0,,0,3
1,Melinda Hyder,Melinda,[],32,Sevierville,TN,Singer/Entertainer,Casaya,Casaya,,2nd Voted OutDay 6,5,15.0,False,False,False,2,False,2,0,0,0,3,2,0,2,0,1,1,0.0,,0,5
2,Misty Giles,Misty,[],24,Dallas,TX,Missile Engineer,Bayoneta,La Mina,,3rd Voted OutDay 8,5,14.0,False,False,False,3,False,3,2,0,0,4,3,2,1,0,0,1,0.4444444444444444,,0,5
3,Ruth Marie Milliman,Ruth Marie,[],48,Greenville,SC,Property Developer,Casaya,La Mina,,4th Voted OutDay 11,6,13.0,False,False,False,4,False,4,1,0,0,5,4,1,3,0,2,1,0.25,,0,6
4,Bobby Mason,Bobby,[],32,Los Angeles,CA,Attorney,Viveros,Casaya,,5th Voted OutDay 14,3,12.0,False,False,False,5,False,5,3,0,0,6,5,3,2,0,1,1,0.4666666666666666,,0,3
5,Dan Barry,Dan,[],51,South Hadley,MA,Astronaut,La Mina,La Mina,,6th Voted OutDay 15,3,11.0,False,False,False,6,False,6,3,0,0,7,6,3,3,0,1,2,0.38888888888888884,,0,3
6,Nick Stanbury,Nick,[],25,Tempe,AZ,Financial Salesman,Viveros,La Mina,Gitanos,7th Voted OutDay 18,6,10.0,False,False,False,7,True,6,3,1,0,8,7,3,4,0,3,1,0.3333333333333333,0.0,0,6
7,Austin Carty,Austin,[],24,High Point,NC,Writer,Viveros,La Mina,Gitanos,8th Voted Out1st Jury MemberDay 21,7,9.0,False,False,False,8,True,6,3,2,0,9,8,3,5,0,3,2,0.29166666666666663,0.0,0,7
8,Sally Schumann,Sally,[],26,Chicago,IL,Social Worker,Bayoneta,La Mina,Gitanos,9th Voted Out2nd Jury MemberDay 24,8,8.0,False,False,False,9,True,6,3,3,0,10,9,3,5,1,1,4,0.25925925925925924,0.0,0,8
9,Bruce Kanegai,Bruce,[],57,Simi Valley,CA,Art Teacher,La Mina,Casaya,Gitanos,Evacuated3rd Jury MemberDay 25,2,7.0,False,False,False,10,True,6,4,3,0,11,9,4,4,1,3,1,0.37037037037037035,0.0,0,2
10,Courtney Marit,Courtney,[],31,Los Angeles,CA,Fire Dancer,Bayoneta,Casaya,Gitanos,10th Voted Out4th Jury MemberDay 30,4,6.0,False,False,False,11,True,6,4,4,0,12,10,4,6,0,5,1,0.3333333333333333,0.0,0,4
11,Shane Powers,Shane,[],34,Los Angeles,CA,Marketing Executive,La Mina,Casaya,Gitanos,11th Voted Out5th Jury MemberDay 33,9,5.0,False,False,False,12,True,6,4,5,0,13,11,4,7,0,4,3,0.303030303030303,0.0,0,9
12,Cirie Fields,Cirie,[],35,Walterboro,SC,Nurse,Casaya,Casaya,Gitanos,12th Voted Out6th Jury MemberDay 36,3,4.0,False,False,False,13,True,6,3,5,0,14,12,3,9,0,7,2,0.2727272727272727,0.0,0,3
13,Terry Deitz,Terry,[],46,Simsbury,CT,Pilot,La Mina,La Mina,Gitanos,13th Voted Out7th Jury MemberDay 38,1,3.0,False,False,False,14,True,6,3,6,5,15,13,3,9,1,4,5,2.944444444444444,5.5,0,1
14,Danielle DiLorenzo,Danielle,[],24,Pompano Beach,FL,Medical Sales Representative,Bayoneta,Casaya,Gitanos,Runner-Up,4,2.0,False,False,True,15,True,6,4,6,1,16,13,4,9,0,9,0,0.4444444444444444,0.3333333333333333,2,4
15,Aras Baskauskas,Aras,[],24,Santa Monica,CA,Yoga Instructor,Viveros,Casaya,Gitanos,Sole Survivor,9,1.0,False,True,True,15,True,6,4,6,0,16,13,4,8,1,6,2,0.27777777777777773,0.0,5,9
