,Idx,Episode,Air date,Reward,Immunity,Exiled,Eliminated(Vote),Finish,Viewers(in millions),Rating/Share(18-49),Immunity_2
0,1,"""The First Exile""","February 2, 2006","['La Mina', 'Viveros', 'Casaya']","['Bayoneta', 'La Mina', 'Viveros']",Misty,"['Tina', '3-1']",1st Voted OutDay 3,19.20,7.0/18,"['Bayoneta', 'La Mina', 'Viveros']"
1,2,"""Breakdown""","February 9, 2006",La Mina,La Mina,Bruce,"['Melinda', '5-2']",2nd Voted OutDay 6,18.75,6.6/17,['La Mina']
2,3,"""Crazy Fights, Snake Dinners""","February 16, 2006",La Mina,Casaya,Bruce,"['Misty', '5-2']",3rd Voted OutDay 8,16.98,6.3/16,['Casaya']
3,4,"""Starvation and Lunacy""","February 23, 2006",Casaya,Casaya,Terry,"['Ruth Marie', '4-2']",4th Voted OutDay 11,14.85,5.5/14,['Casaya']
4,5,"""For Cod's Sake""","March 2, 2006",Casaya,La Mina,Terry,"['Bobby', '3-2-1-1']",5th Voted OutDay 14,16.08,5.5/14,['La Mina']
5,6,"""Salvation and Desertion""","March 9, 2006",Casaya,Casaya,Sally,"['Dan', '3-1']",6th Voted OutDay 15,15.33,5.4/N/A,['Casaya']
6,7,"""A Closer Look""","March 15, 2006",Recap Episode,Recap Episode,Recap Episode,Recap Episode,Recap Episode,N/A,N/A,['Recap Episode']
7,8,"""An Emerging Plan""","March 30, 2006",None,Terry,None,"['Nick', '6-4']",7th Voted OutDay 18,16.25,5.8/17,['Terry']
8,9,"""The Power of the Idol""","April 6, 2006","Aras,Bruce,Sally",Terry,"Austin,Danielle","['Austin', '6-3']",8th Voted Out1st Jury MemberDay 21,16.36,5.6/17,['Terry']
9,10,"""Fight for Your Life or Eat""","April 13, 2006","Bruce,Courtney,Sally, Terry",Terry,Aras,"['Sally', '6-2']",9th Voted Out2nd Jury MemberDay 24,15.07,5.2/17,['Terry']
10,11,"""Medical Emergency""","April 20, 2006","Cirie[Aras,Danielle]",None,Terry,"['Bruce', 'No Vote']",Evacuated3rd Jury MemberDay 25,16.26,5.5/18,[]
11,12,"""Perilous Scramble""","April 27, 2006","Courtney,Danielle,Terry",Terry,Aras,"['Courtney', '3-2-1']",10th Voted Out4th Jury MemberDay 30,17.09,5.9/18,['Terry']
12,13,"""Bamboozled""","May 4, 2006",Terry[Shane],Terry,Danielle,"['Shane', '3-1-1']",11th Voted Out5th Jury MemberDay 33,17.04,5.9/18,['Terry']
13,"['14', '15']","['""Call the Whambulence!""', '""The Final Showdown""']","['May 11, 2006', 'May 14, 2006']","['Aras[Cirie]', '']","['Aras', '']","['Danielle,Terry', '']","['Shane', '3-1-1']",12th Voted Out6th Jury MemberDay 36,"['17.2', '17.07']","['5.8/N/A', '6.2/15']",['Aras']
14,15,"""The Final Showdown""","May 14, 2006",Terry,Danielle,None,"['Terry', '1-0']",13th Voted Out7th Jury MemberDay 38,17.07,6.2/15,['Danielle']
15,15,"""The Final Showdown""","May 14, 2006",Jury Vote,Jury Vote,Jury Vote,"['Danielle', '5-2']",Runner-Up,17.07,6.2/15,[]
16,15,"""The Final Showdown""","May 14, 2006",Jury Vote,Jury Vote,Jury Vote,"['Aras', '5-2']",Sole Survivor,17.07,6.2/15,[]
17,16,"""Reunion""","May 14, 2006",,,,,,12.3,4.6/N/A,[]
