,Alliance_1,Tribal Count_1,Index_1,Alliance_2,Tribal Count_2,Index_2,Alliance_3,Tribal Count_3,Index_3,Alliance_4,Tribal Count_4,Index_4,Alliance_5,Tribal Count_5,Index_5
Aras,Danielle,8.0,0.75,Cirie,8.0,0.75,Bruce,4.0,0.75,Courtney,6.0,0.6666666666666666,Shane,7.0,0.5714285714285714
Danielle,Courtney,6.0,0.8333333333333334,Aras,8.0,0.75,Cirie,8.0,0.75,Bruce,4.0,0.75,Shane,7.0,0.7142857142857143
Terry,Austin,5.0,1.0,Nick,4.0,1.0,Sally,5.0,0.8,Shane,5.0,0.4,Courtney,4.0,0.25
Cirie,Aras,8.0,0.75,Danielle,8.0,0.75,Bruce,4.0,0.75,Courtney,6.0,0.6666666666666666,Shane,7.0,0.5714285714285714
Shane,Courtney,6.0,1.0,Bruce,4.0,0.75,Danielle,7.0,0.7142857142857143,Aras,7.0,0.5714285714285714,Cirie,7.0,0.5714285714285714
Courtney,Shane,6.0,1.0,Danielle,6.0,0.8333333333333334,Bruce,4.0,0.75,Aras,6.0,0.6666666666666666,Cirie,6.0,0.6666666666666666
Bruce,Aras,4.0,0.75,Danielle,4.0,0.75,Cirie,4.0,0.75,Shane,4.0,0.75,Courtney,4.0,0.75
Sally,Terry,5.0,0.8,Austin,4.0,0.75,,,,,,,,,
Austin,Terry,5.0,1.0,Nick,4.0,1.0,Sally,4.0,0.75,,,,,,
Nick,Terry,4.0,1.0,Austin,4.0,1.0,,,,,,,,,
