,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Troyzan,Aubry,1.0,1.0,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
Troyzan,Michaela,1.0,1.0,,,,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,
Troyzan,Hali,1.0,1.0,,,,,,0.0,,,,,,,,,
Troyzan,Jeff,1.0,1.0,,,,,,,,,,,,,,,
Troyzan,Sandra,1.0,0.0,,,,,,,,,,,,,,,
Troyzan,Malcolm,1.0,1.0,,,,,,,,,,,,,,,
Troyzan,Caleb,1.0,1.0,,,,,,,,,,,,,,,
Troyzan,Tony,1.0,0.0,,,,,,,,,,,,,,,
Troyzan,Ciera,0.0,,,,,,,,,,,,,,,,
Aubry,Michaela,1.0,1.0,,1.0,0.0,,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,,,
Aubry,Hali,1.0,1.0,,0.0,,,,0.0,,,,,,,,,
Aubry,Jeff,1.0,1.0,,1.0,0.0,,,,,,,,,,,,
Aubry,Sandra,1.0,0.0,,1.0,0.0,,,,,,,,,,,,
Aubry,Malcolm,1.0,1.0,,1.0,,,,,,,,,,,,,
Aubry,Caleb,1.0,1.0,,,,,,,,,,,,,,,
Aubry,Tony,1.0,0.0,,,,,,,,,,,,,,,
Aubry,Ciera,0.0,,,,,,,,,,,,,,,,
Michaela,Hali,1.0,1.0,,0.0,,,,1.0,,,,,,,,,
Michaela,Jeff,1.0,1.0,,1.0,1.0,,,,,,,,,,,,
Michaela,Sandra,1.0,0.0,,1.0,1.0,,,,,,,,,,,,
Michaela,Malcolm,1.0,1.0,,1.0,,,,,,,,,,,,,
Michaela,Caleb,1.0,1.0,,,,,,,,,,,,,,,
Michaela,Tony,1.0,0.0,,,,,,,,,,,,,,,
Michaela,Ciera,0.0,,,,,,,,,,,,,,,,
Hali,Jeff,1.0,1.0,,0.0,,,,,,,,,,,,,
Hali,Sandra,1.0,0.0,,0.0,,,,,,,,,,,,,
Hali,Malcolm,1.0,1.0,,0.0,,,,,,,,,,,,,
Hali,Caleb,1.0,1.0,0.0,,,,,,,,,,,,,,
Hali,Tony,1.0,0.0,,,,,,,,,,,,,,,
Hali,Ciera,0.0,,,,,,,,,,,,,,,,
Jeff,Sandra,1.0,0.0,,1.0,1.0,1.0,,,,,,,,,,,
Jeff,Malcolm,1.0,1.0,,1.0,,,,,,,,,,,,,
Jeff,Caleb,1.0,1.0,,,,,,,,,,,,,,,
Jeff,Tony,1.0,0.0,,,,,,,,,,,,,,,
Jeff,Ciera,0.0,,,,,,,,,,,,,,,,
Sandra,Malcolm,1.0,0.0,,1.0,,,,,,,,,,,,,
Sandra,Caleb,1.0,0.0,,,,,,,,,,,,,,,
Sandra,Tony,1.0,1.0,,,,,,,,,,,,,,,
Sandra,Ciera,0.0,,,,,,,,,,,,,,,,
Malcolm,Caleb,1.0,1.0,,,,,,,,,,,,,,,
Malcolm,Tony,1.0,0.0,,,,,,,,,,,,,,,
