,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Carolyn,Tyler,1.0,,,,,,1.0,1.0,1.0,1.0,0.0,0.0,,,
Carolyn,Shirin,1.0,,,,0.0,,0.0,0.0,0.0,1.0,0.0,,,,
Carolyn,Joaquin,0.0,,,,,,,,,,,,,,
Carolyn,Max,1.0,,,,0.0,,,,,,,,,,
Carolyn,So,0.0,,,,,,,,,,,,,,
Tyler,Shirin,1.0,,,,,,0.0,0.0,0.0,1.0,0.0,,,,
Tyler,Joaquin,0.0,,,,,1.0,,,,,,,,,
Tyler,Max,1.0,,,,,,,,,,,,,,
Tyler,So,0.0,,,,,,,,,,,,,,
Shirin,Joaquin,0.0,,,,,,,,,,,,,,
Shirin,Max,1.0,,,,1.0,,,,,,,,,,
Shirin,So,0.0,,,,,,,,,,,,,,
Joaquin,Max,0.0,,,,,,,,,,,,,,
Joaquin,So,1.0,,,,,,,,,,,,,,
Max,So,0.0,,,,,,,,,,,,,,
Will,Jenn,,1.0,1.0,,1.0,,0.0,0.0,0.0,0.0,,,,,
Will,Joe,,1.0,1.0,,,,0.0,0.0,1.0,,,,,,
Will,Hali,,1.0,0.0,,1.0,,0.0,0.0,,,,,,,
Will,Nina,,0.0,0.0,,,,,,,,,,,,
Will,Vince,,0.0,,,,,,,,,,,,,
Jenn,Joe,,1.0,1.0,,,,1.0,1.0,0.0,,,,,,
Jenn,Hali,,1.0,0.0,,1.0,,1.0,1.0,,,,,,,
Jenn,Nina,,0.0,0.0,,,,,,,,,,,,
Jenn,Vince,,0.0,,,,,,,,,,,,,
Joe,Hali,,1.0,0.0,,,,1.0,1.0,,,,,,,
Joe,Nina,,0.0,0.0,,,,,,,,,,,,
Joe,Vince,,0.0,,,,,,,,,,,,,
Hali,Nina,,0.0,1.0,,,,,,,,,,,,
Hali,Vince,,0.0,,,,,,,,,,,,,
Nina,Vince,,1.0,,,,,,,,,,,,,
Mike,Rodney,,,,1.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Mike,Sierra,,,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,
Mike,Dan,,,,1.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,
Mike,Kelly,,,,1.0,,,1.0,,,,,,,,
Mike,Lindsey,,,,0.0,,,,,,,,,,,
Rodney,Sierra,,,,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,
Rodney,Dan,,,,1.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
