,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Switched Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee
0,So Kim,So,[],31,Long Beach,CA,Retail Buyer,Masaya,,,1st Voted OutDay 3,4,18.0,False
1,Vince Sly,Vince,[],32,Santa Monica,CA,Coconut Vendor,Nagarote,,,2nd Voted OutDay 6,3,17.0,False
2,Nina Poersch,Nina,[],51,Palmdale,CA,Hearing Advocate,Nagarote,,,3rd Voted OutDay 8,4,16.0,False
3,Lindsey Cascaddan,Lindsey,[],24,College Park,FL,Hairdresser,Escameca,,,4th Voted OutDay 11,5,15.0,False
4,Max Dawson,Max,[],37,Topanga,CA,Media Consultant,Masaya,Nagarote,,5th Voted OutDay 14,5,14.0,False
5,Joaquin Souberbielle,Joaquin,[],27,Valley Stream,NY,Marketing Director,Masaya,Escameca,,6th Voted OutDay 16,4,13.0,False
6,Kelly Remington,Kelly,[],44,Grand Island,NY,State Trooper,Escameca,Nagarote,Merica,7th Voted OutDay 19,4,12.0,False
7,Hali Ford,Hali,[],25,San Francisco,CA,Law Student,Nagarote,Nagarote,Merica,8th Voted Out 1st Jury MemberDay 22,8,11.0,False
8,Joe Anglim,Joe,[],25,Scottsdale,AZ,Jewelry Designer,Nagarote,Escameca,Merica,9th Voted Out 2nd Jury MemberDay 24,8,10.0,False
9,Jenn Brown,Jenn,[],22,Long Beach,CA,Sailing Instructor,Nagarote,Nagarote,Merica,10th Voted Out 3rd Jury MemberDay 27,18,9.0,False
10,Shirin Oskooi,Shirin,[],31,San Francisco,CA,Yahoo! Executive,Masaya,Nagarote,Merica,11th Voted Out 4th Jury MemberDay 29,7,8.0,False
11,Tyler Fredrickson,Tyler,[],33,Los Angeles,CA,Ex-Talent Agent Assistant,Masaya,Escameca,Merica,12th Voted Out 5th Jury MemberDay 32,5,7.0,False
12,Dan Foley,Dan,[],47,Gorham,ME,Postal Worker,Escameca,Escameca,Merica,13th Voted Out 6th Jury MemberDay 35,9,6.0,False
13,Sierra Dawn Thomas,Sierra,[],27,Roy,UT,Barrel Racer,Escameca,Escameca,Merica,14th Voted Out 7th Jury MemberDay 37,6,5.0,False
14,Rodney Lavoie Jr.,Rodney,[],24,Boston,MA,General Contractor,Escameca,Escameca,Merica,15th Voted Out 8th Jury MemberDay 38,5,4.0,False
15,Carolyn Rivera,Carolyn,[],52,Tampa,FL,Corporate Executive,Masaya,Nagarote,Merica,Runners-Up,10,3.0,False
16,Will Sims II,Will,[],41,Sherman Oaks,CA,YouTube Sensation,Nagarote,Nagarote,Merica,Runners-Up,4,2.0,False
17,Mike Holloway,Mike,[],38,North Richland Hills,TX,Oil Driller,Escameca,Escameca,Merica,Sole Survivor,4,1.0,False
