,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Switched Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee
0,Darnell Hamilton,Darnell,[],27,Chicago,IL,Postal Worker,To Tang,,,1st Voted OutDay 3,7,18.0,False
1,Jennifer Lanzetti,Jennifer,[],37,Salt Lake City,UT,Contractor,To Tang,,,2nd Voted OutDay 6,3,17.0,False
2,Liz Markham,Liz,[],26,New York City,NY,Quantitative Strategist,Chan Loh,,,3rd Voted OutDay 8,5,16.0,False
3,Caleb Reynolds,Caleb,[],27,Hopkinsville,KY,Army Veteran,Gondol,,,EvacuatedDay 9,0,15.0,False
4,Alecia Holden,Alecia,[],23,Dallas,TX,Real Estate Agent,To Tang,,,4th Voted OutDay 11,8,14.0,False
5,Anna Khait,Anna,[],26,Brooklyn,NY,Professional Poker Player,Gondol,Gondol,,5th Voted OutDay 13,5,13.0,False
6,Peter Baggenstos,Peter,[],34,Minneapolis,MN,ER Doctor,Chan Loh,Gondol,,6th Voted OutDay 16,7,12.0,False
7,Neal Gottlieb,Neal,[],38,Sausalito,CA,Ice Cream Entrepreneur,Chan Loh,Chan Loh,Dara,Evacuated1st Jury MemberDay 19,0,11.0,False
8,Nick Maiorano,Nick,[],30,Redondo Beach,CA,Personal Trainer,Gondol,Chan Loh,Dara,7th Voted Out2nd Jury MemberDay 22,6,10.0,False
9,Debbie Wanner,Debbie,[],49,Reading,PA,Chemist,Chan Loh,Chan Loh,Dara,8th Voted Out3rd Jury MemberDay 24,5,9.0,False
10,Scot Pollard,Scot,[],40,Carmel,IN,Former NBA Champion,To Tang,Gondol,Dara,9th Voted Out4th Jury MemberDay 27,7,8.0,False
11,Julia Sokolowski,Julia,[],18,Boston,MA,College Student,Gondol,Gondol,Dara,10th Voted Out5th Jury MemberDay 29,7,7.0,False
12,Kyle Jason,Jason,[],30,Detroit,MI,Bounty Hunter,To Tang,Chan Loh,Dara,11th Voted Out6th Jury MemberDay 32,5,6.0,False
13,Joe del Campo,Joe,[],71,Vero Beach,FL,Former FBI Agent,Chan Loh,Gondol,Dara,Evacuated7th Jury MemberDay 34,1,5.0,False
14,Cydney Gillon,Cydney,[],22,Douglasville,GA,Bodybuilder,To Tang,Chan Loh,Dara,12th Voted Out8th Jury MemberDay 37,5,4.0,False
15,Tai Trang,Tai,[],51,San Francisco,CA,Gardener,Gondol,Gondol,Dara,SecondRunner-Up,4,3.0,False
16,Aubry Bracco,Aubry,[],29,Cambridge,MA,Social Media Marketer,Chan Loh,Gondol,Dara,Runner-Up,8,2.0,False
17,Michele Fitzgerald,Michele,[],24,Freehold,NJ,Bartender,Gondol,Chan Loh,Dara,Sole Survivor,2,1.0,False
