,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Cydney,Jason,1.0,1.0,,,1.0,,,,0.0,0.0,0.0,0.0,0.0,,
Cydney,Scot,0.0,0.0,,,1.0,,,,0.0,0.0,0.0,,,,
Cydney,Alecia,0.0,1.0,,,0.0,,,,,,,,,,
Cydney,Jennifer,0.0,0.0,,,,,,,,,,,,,
Cydney,Darnell,1.0,,,,,,,,,,,,,,
Jason,Scot,0.0,0.0,,,1.0,,,,1.0,1.0,1.0,,,,
Jason,Alecia,0.0,1.0,,,0.0,,,,,,,,,,
Jason,Jennifer,0.0,0.0,,,,,,,,,,,,,
Jason,Darnell,1.0,,,,,,,,,,,,,,
Scot,Alecia,1.0,0.0,,,0.0,,,,,,,,,,
Scot,Jennifer,1.0,1.0,,,,,,,,,,,,,
Scot,Darnell,0.0,,,,,,,,,,,,,,
Alecia,Jennifer,1.0,0.0,,,,,,,,,,,,,
Alecia,Darnell,0.0,,,,,,,,,,,,,,
Jennifer,Darnell,0.0,,,,,,,,,,,,,,
Aubry,Joe,,,1.0,,,1.0,0.0,,1.0,0.0,1.0,1.0,1.0,,
Aubry,Debbie,,,1.0,,,,,,1.0,0.0,,,,,
Aubry,Neal,,,1.0,,,,,,,,,,,,
Aubry,Peter,,,0.0,,,1.0,0.0,,,,,,,,
Aubry,Liz,,,0.0,,,,,,,,,,,,
Joe,Debbie,,,1.0,,,,,,1.0,1.0,,,,,
Joe,Neal,,,1.0,,,,,,,,,,,,
Joe,Peter,,,0.0,,,1.0,1.0,,,,,,,,
Joe,Liz,,,0.0,,,,,,,,,,,,
Debbie,Neal,,,1.0,,,,,,,,,,,,
Debbie,Peter,,,0.0,,,,,,,,,,,,
Debbie,Liz,,,0.0,,,,,,,,,,,,
Neal,Peter,,,0.0,,,,,,,,,,,,
Neal,Liz,,,0.0,,,,,,,,,,,,
Peter,Liz,,,1.0,,,,,,,,,,,,
Aubry,Tai,,,,,,1.0,1.0,,0.0,0.0,1.0,1.0,0.0,,1.0
Aubry,Scot,,,,,,1.0,1.0,,0.0,0.0,0.0,,,,
Aubry,Anna,,,,,,0.0,,,,,,,,,
Tai,Joe,,,,,,1.0,0.0,,0.0,0.0,1.0,1.0,0.0,,
Tai,Scot,,,,,,1.0,1.0,,0.0,1.0,0.0,,,,
Tai,Peter,,,,,,1.0,0.0,,,,,,,,
Tai,Anna,,,,,,0.0,,,,,,,,,
Joe,Scot,,,,,,1.0,0.0,,0.0,0.0,0.0,,,,
Joe,Anna,,,,,,0.0,,,,,,,,,
Scot,Peter,,,,,,1.0,0.0,,,,,,,,
Scot,Anna,,,,,,0.0,,,,,,,,,
Peter,Anna,,,,,,0.0,,,,,,,,,
Aubry,Julia,,,,,,,1.0,,1.0,1.0,0.0,0.0,,,
Tai,Julia,,,,,,,1.0,,0.0,0.0,0.0,0.0,,,
Joe,Julia,,,,,,,0.0,,1.0,0.0,0.0,0.0,,,
Julia,Scot,,,,,,,1.0,,0.0,0.0,1.0,,,,
Julia,Peter,,,,,,,0.0,,,,,,,,
Michele,Aubry,,,,,,,,,1.0,1.0,0.0,1.0,1.0,,0.0
Michele,Tai,,,,,,,,,0.0,0.0,0.0,1.0,0.0,,0.0
Michele,Cydney,,,,,,,,,1.0,1.0,0.0,1.0,1.0,,1.0
Michele,Joe,,,,,,,,,1.0,0.0,0.0,1.0,1.0,,
Michele,Jason,,,,,,,,,0.0,0.0,1.0,0.0,0.0,,
Michele,Julia,,,,,,,,,1.0,1.0,1.0,0.0,,,
Michele,Scot,,,,,,,,,0.0,0.0,1.0,,,,
Michele,Debbie,,,,,,,,,1.0,0.0,,,,,
Michele,Nick,,,,,,,,,0.0,,,,,,
Aubry,Cydney,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,0.0
Aubry,Jason,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Aubry,Nick,,,,,,,,,0.0,,,,,,
Tai,Cydney,,,,,,,,,0.0,0.0,1.0,1.0,0.0,,0.0
Tai,Jason,,,,,,,,,0.0,1.0,0.0,0.0,1.0,,
Tai,Debbie,,,,,,,,,0.0,0.0,,,,,
Tai,Nick,,,,,,,,,0.0,,,,,,
Cydney,Joe,,,,,,,,,1.0,0.0,1.0,1.0,1.0,,
Cydney,Julia,,,,,,,,,1.0,1.0,0.0,0.0,,,
Cydney,Debbie,,,,,,,,,1.0,0.0,,,,,
Cydney,Nick,,,,,,,,,0.0,,,,,,
Joe,Jason,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Joe,Nick,,,,,,,,,0.0,,,,,,
Jason,Julia,,,,,,,,,0.0,0.0,1.0,1.0,,,
Jason,Debbie,,,,,,,,,0.0,0.0,,,,,
Jason,Nick,,,,,,,,,1.0,,,,,,
Julia,Debbie,,,,,,,,,1.0,0.0,,,,,
Julia,Nick,,,,,,,,,0.0,,,,,,
Scot,Debbie,,,,,,,,,0.0,0.0,,,,,
Scot,Nick,,,,,,,,,1.0,,,,,,
Debbie,Nick,,,,,,,,,0.0,,,,,,
