,Alliance_1,Tribal Count_1,Index_1,Alliance_2,Tribal Count_2,Index_2,Alliance_3,Tribal Count_3,Index_3,Alliance_4,Tribal Count_4,Index_4,Alliance_5,Tribal Count_5,Index_5
Adam,Ken,10.0,0.9,Zeke,5.0,0.8,David,9.0,0.7777777777777778,Jessica,4.0,0.75,Hannah,10.0,0.7
Hannah,Ken,9.0,0.8888888888888888,David,9.0,0.7777777777777778,Adam,10.0,0.7,Will,7.0,0.5714285714285714,Bret,9.0,0.4444444444444444
Ken,Adam,10.0,0.9,Hannah,9.0,0.8888888888888888,David,12.0,0.8333333333333334,Zeke,4.0,0.75,Chris,6.0,0.6666666666666666
David,Ken,12.0,0.8333333333333334,Zeke,5.0,0.8,Adam,9.0,0.7777777777777778,Hannah,9.0,0.7777777777777778,Chris,7.0,0.5714285714285714
Bret,Chris,6.0,0.8333333333333334,Sunday,10.0,0.6,Jay,8.0,0.5,Adam,8.0,0.5,Zeke,4.0,0.5
Jay,Will,7.0,0.5714285714285714,Sunday,7.0,0.5714285714285714,Bret,8.0,0.5,Zeke,5.0,0.4,Ken,7.0,0.14285714285714285
Sunday,Zeke,4.0,0.75,Chris,6.0,0.6666666666666666,Bret,10.0,0.6,Jay,7.0,0.5714285714285714,Ken,9.0,0.5555555555555556
Will,Hannah,7.0,0.5714285714285714,Jay,7.0,0.5714285714285714,Ken,5.0,0.4,David,5.0,0.4,Adam,6.0,0.3333333333333333
Zeke,Adam,5.0,0.8,David,5.0,0.8,Chris,4.0,0.75,Ken,4.0,0.75,Sunday,4.0,0.75
Jessica,Adam,4.0,0.75,Ken,7.0,0.5714285714285714,David,6.0,0.5,Sunday,6.0,0.5,Bret,6.0,0.3333333333333333
Chris,Bret,6.0,0.8333333333333334,Zeke,4.0,0.75,Ken,6.0,0.6666666666666666,Sunday,6.0,0.6666666666666666,David,7.0,0.5714285714285714
Taylor,Adam,4.0,0.0,,,,,,,,,,,,
CeCe,David,4.0,0.5,Chris,4.0,0.0,,,,,,,,,
