,Idx,Episode,Air date,Reward,Immunity,Eliminated(Vote),Finish,Viewers(in millions),Ratings/Share(18-49),Immunity_2
0,1,"""May the Best Generation Win""","September 21, 2016",Vanua,Vanua,"['Rachel', '5-3-1-1']",1st Voted OutDay 4,9.46,2.3/8,['Vanua']
1,2,"""Love Goggles""","September 28, 2016",Takali,Takali,"['Mari', '7-3']",2nd Voted OutDay 7,9.16,2.1/8,['Takali']
2,3,"""Your Job Is Recon""","October 5, 2016",Vanua,Vanua,"['Paul', '6-3']",3rd Voted OutDay 10,8.52,1.8/7,['Vanua']
3,4,"""Who's the Sucker at the Table?""","October 12, 2016",Takali,Vanua,"['Lucy', '2-1-0']",4th Voted OutDay 12,9.06,2.0/8,['Vanua']
4,5,"""Idol Search Party""","October 19, 2016",None,"['Ikabula', 'Takali']","['CeCe', '4-1']",5th Voted OutDay 15,8.59,1.9/7,"['Ikabula', 'Takali']"
5,6,"""The Truth Works Well""","October 26, 2016","['Vanua', 'Ikabula']","['Ikabula', 'Vanua']","['Figgy', '3-2']",6th Voted OutDay 18,8.30,1.9/7,"['Ikabula', 'Vanua']"
6,7,"""I Will Destroy You""","November 2, 2016","['Vanua', 'Ikabula']","['Takali', 'Vanua']","['Michaela', '4-2']",7th Voted OutDay 20,6.93,1.6/5,"['Takali', 'Vanua']"
7,8,"""I'm the Kingpin""","November 9, 2016",None,Will,"['Michelle', '9-4']",8th Voted Out1st Jury MemberDay 23,8.81,1.9/7,['Will']
8,9,"""Still Throwin' Punches""","November 16, 2016","Bret, Chris,David, Ken,Sunday,Taylor",Ken,"['Taylor', '7-4-1']",9th Voted Out2nd Jury MemberDay 25,8.49,1.8/6,['Ken']
9,10,"""Million Dollar Gamble""","November 23, 2016","Adam, Bret,Hannah,Sunday,Zeke",David,"['Chris', '7-4']",10th Voted Out3rd Jury MemberDay 28,7.59,1.5/5,['David']
10,10,"""Million Dollar Gamble""","November 23, 2016","Bret,Sunday,Zeke[David]",Jay,"['Jessica', '5-5;4-4;Tiebreaker']",Eliminated4th Jury MemberDay 30,7.59,1.5/5,['Jay']
11,11,"""About to Have a Rumble""","November 30, 2016","Jay[Adam,Sunday,Will]",Adam,"['Zeke', '5-0']",11th Voted Out5th Jury MemberDay 33,8.77,1.9/7,['Adam']
12,12,"""Slayed the Survivor Dragon""","December 7, 2016",None,Jay,"['Will', '6-2']",12th Voted Out6th Jury MemberDay 34,8.50,1.7/6,['Jay']
13,12,"""Slayed the Survivor Dragon""","December 7, 2016",None,Ken,"['Sunday', '4-2-0']",13th Voted Out7th Jury MemberDay 35,8.50,1.7/6,['Ken']
14,13,"""I'm Going for a Million Bucks""","December 14, 2016","['David', '[Adam,Jay]']","['David', '']","['Jay', '5-0']",14th Voted Out8th Jury MemberDay 36,9.14,2.0/7,['David']
15,13,"""I'm Going for a Million Bucks""","December 14, 2016",None,Ken,"['Bret', '3-2']",15th Voted Out9th Jury MemberDay 37,9.14,2.0/7,['Ken']
16,13,"""I'm Going for a Million Bucks""","December 14, 2016",None,Ken,"['David', '3-1']",16th Voted Out10th Jury MemberDay 38,9.14,2.0/7,['Ken']
17,13,"""I'm Going for a Million Bucks""","December 14, 2016",Jury Vote,Jury Vote,"['HannahKen', '10-0-0']",Runners-Up,9.14,2.0/7,[]
18,13,"""I'm Going for a Million Bucks""","December 14, 2016",Jury Vote,Jury Vote,"['Adam', '10-0-0']",Sole Survivor,9.14,2.0/7,[]
19,14,"""Reunion""","December 14, 2016",,,,,6.40,1.3/5,[]
