,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Rob,Phillip,1.0,1.0,,0.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rob,Natalie,1.0,1.0,,0.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rob,Ashley,1.0,1.0,,0.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Rob,Andrea,1.0,1.0,,0.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,
Rob,Grant,1.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,
Rob,Matt,1.0,0.0,,,,,,0.0,,,,,,,,,
Rob,Kristina,0.0,0.0,,1.0,,,,,,,,,,,,,
Rob,Francesca,0.0,,,,,,,,,,,,,,,,
Phillip,Natalie,1.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phillip,Ashley,1.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Phillip,Andrea,1.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,
Phillip,Grant,1.0,1.0,,0.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,
Phillip,Matt,1.0,0.0,,,,,,0.0,,,,,,,,,
Phillip,Kristina,0.0,0.0,,0.0,,,,,,,,,,,,,
Phillip,Francesca,0.0,,,,,,,,,,,,,,,,
Natalie,Ashley,1.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Natalie,Andrea,1.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,
Natalie,Grant,1.0,1.0,,0.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,
Natalie,Matt,1.0,0.0,,,,,,0.0,,,,,,,,,
Natalie,Kristina,0.0,0.0,,0.0,,,,,,,,,,,,,
Natalie,Francesca,0.0,,,,,,,,,,,,,,,,
Ashley,Andrea,1.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,
Ashley,Grant,1.0,1.0,,0.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,
Ashley,Matt,1.0,0.0,,,,,,0.0,,,,,,,,,
Ashley,Kristina,0.0,0.0,,0.0,,,,,,,,,,,,,
Ashley,Francesca,0.0,,,,,,,,,,,,,,,,
Andrea,Grant,1.0,1.0,,0.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,
Andrea,Matt,1.0,0.0,,,,,,0.0,,,,,,,,,
Andrea,Kristina,0.0,0.0,,0.0,,,,,,,,,,,,,
Andrea,Francesca,0.0,,,,,,,,,,,,,,,,
Grant,Matt,1.0,0.0,,,,,,0.0,,,,,,,,,
Grant,Kristina,0.0,0.0,,1.0,,,,,,,,,,,,,
Grant,Francesca,0.0,,,,,,,,,,,,,,,,
Matt,Kristina,0.0,1.0,,,,,,,,,,,,,,,
Matt,Francesca,0.0,,,,,,,,,,,,,,,,
Kristina,Francesca,1.0,,,,,,,,,,,,,,,,
Steve,Ralph,,,1.0,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,
Steve,Julie,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
Steve,David,,,1.0,,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,
Steve,Mike,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,
Steve,Sarita,,,1.0,,1.0,1.0,0.0,,,,,,,,,,
Steve,Stephanie,,,0.0,,0.0,0.0,,,,,,,,,,,
Steve,Krista,,,0.0,,0.0,,,,,,,,,,,,
Steve,Russell,,,0.0,,,,,,,,,,,,,,
Ralph,Julie,,,1.0,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,
Ralph,David,,,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,,,,,,,
Ralph,Mike,,,1.0,,1.0,1.0,0.0,1.0,1.0,,,,,,,,
Ralph,Sarita,,,1.0,,1.0,1.0,1.0,,,,,,,,,,
Ralph,Stephanie,,,0.0,,0.0,0.0,,,,,,,,,,,
Ralph,Krista,,,0.0,,0.0,,,,,,,,,,,,
Ralph,Russell,,,0.0,,,,,,,,,,,,,,
Julie,David,,,1.0,,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,
Julie,Mike,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,
Julie,Sarita,,,1.0,,1.0,1.0,0.0,,,,,,,,,,
Julie,Stephanie,,,0.0,,0.0,0.0,,,,,,,,,,,
Julie,Krista,,,0.0,,0.0,,,,,,,,,,,,
Julie,Russell,,,0.0,,,,,,,,,,,,,,
David,Mike,,,1.0,,1.0,0.0,1.0,1.0,1.0,,,,,,,,
David,Sarita,,,1.0,,1.0,0.0,0.0,,,,,,,,,,
David,Stephanie,,,0.0,,0.0,1.0,,,,,,,,,,,
David,Krista,,,0.0,,0.0,,,,,,,,,,,,
David,Russell,,,0.0,,,,,,,,,,,,,,
Mike,Sarita,,,1.0,,1.0,1.0,0.0,,,,,,,,,,
Mike,Stephanie,,,0.0,,0.0,0.0,,,,,,,,,,,
Mike,Krista,,,0.0,,0.0,,,,,,,,,,,,
Mike,Russell,,,0.0,,,,,,,,,,,,,,
Sarita,Stephanie,,,0.0,,0.0,0.0,,,,,,,,,,,
Sarita,Krista,,,0.0,,0.0,,,,,,,,,,,,
Sarita,Russell,,,0.0,,,,,,,,,,,,,,
Stephanie,Krista,,,1.0,,1.0,,,,,,,,,,,,
Stephanie,Russell,,,1.0,,,,,,,,,,,,,,
Krista,Russell,,,1.0,,,,,,,,,,,,,,
Rob,Steve,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Rob,Ralph,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
Rob,Julie,,,,,,,,0.0,0.0,0.0,0.0,,,,,,
Rob,David,,,,,,,,0.0,0.0,0.0,,,,,,,
Rob,Mike,,,,,,,,0.0,0.0,,,,,,,,
Phillip,Steve,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Phillip,Ralph,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
Phillip,Julie,,,,,,,,0.0,0.0,0.0,0.0,,,,,,
Phillip,David,,,,,,,,0.0,0.0,0.0,,,,,,,
Phillip,Mike,,,,,,,,0.0,0.0,,,,,,,,
Natalie,Steve,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Natalie,Ralph,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
Natalie,Julie,,,,,,,,0.0,0.0,0.0,0.0,,,,,,
Natalie,David,,,,,,,,0.0,0.0,0.0,,,,,,,
Natalie,Mike,,,,,,,,0.0,0.0,,,,,,,,
Ashley,Steve,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Ashley,Ralph,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
Ashley,Julie,,,,,,,,0.0,0.0,0.0,0.0,,,,,,
Ashley,David,,,,,,,,0.0,0.0,0.0,,,,,,,
Ashley,Mike,,,,,,,,0.0,0.0,,,,,,,,
Andrea,Steve,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Andrea,Ralph,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
Andrea,Julie,,,,,,,,0.0,0.0,0.0,0.0,,,,,,
Andrea,David,,,,,,,,0.0,0.0,0.0,,,,,,,
Andrea,Mike,,,,,,,,0.0,0.0,,,,,,,,
Grant,Steve,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Grant,Ralph,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
Grant,Julie,,,,,,,,0.0,0.0,0.0,0.0,,,,,,
Grant,David,,,,,,,,0.0,0.0,0.0,,,,,,,
Grant,Mike,,,,,,,,0.0,0.0,,,,,,,,
Steve,Matt,,,,,,,,0.0,,,,,,,,,
