,Alliance_1,Tribal Count_1,Index_1,Alliance_2,Tribal Count_2,Index_2,Alliance_3,Tribal Count_3,Index_3,Alliance_4,Tribal Count_4,Index_4,Alliance_5,Tribal Count_5,Index_5
Rob,Phillip,13.0,0.9230769230769231,Natalie,13.0,0.9230769230769231,Grant,11.0,0.9090909090909091,Ashley,13.0,0.8461538461538461,Andrea,11.0,0.7272727272727273
Phillip,Natalie,13.0,1.0,Rob,13.0,0.9230769230769231,Ashley,13.0,0.9230769230769231,Andrea,11.0,0.8181818181818182,Grant,11.0,0.8181818181818182
Natalie,Phillip,13.0,1.0,Rob,13.0,0.9230769230769231,Ashley,13.0,0.9230769230769231,Andrea,11.0,0.8181818181818182,Grant,11.0,0.8181818181818182
Ashley,Phillip,13.0,0.9230769230769231,Natalie,13.0,0.9230769230769231,Rob,13.0,0.8461538461538461,Andrea,11.0,0.8181818181818182,Grant,11.0,0.8181818181818182
Andrea,Phillip,11.0,0.8181818181818182,Natalie,11.0,0.8181818181818182,Ashley,11.0,0.8181818181818182,Grant,10.0,0.8,Rob,11.0,0.7272727272727273
Grant,Rob,11.0,0.9090909090909091,Phillip,11.0,0.8181818181818182,Natalie,11.0,0.8181818181818182,Ashley,11.0,0.8181818181818182,Andrea,10.0,0.8
Steve,Julie,8.0,1.0,Mike,6.0,1.0,Ralph,9.0,0.8888888888888888,David,7.0,0.8571428571428571,Sarita,4.0,0.75
Ralph,Sarita,4.0,1.0,Steve,9.0,0.8888888888888888,Julie,8.0,0.875,Mike,6.0,0.8333333333333334,David,7.0,0.7142857142857143
Julie,Steve,8.0,1.0,Mike,6.0,1.0,Ralph,8.0,0.875,David,7.0,0.8571428571428571,Sarita,4.0,0.75
David,Steve,7.0,0.8571428571428571,Julie,7.0,0.8571428571428571,Mike,6.0,0.8333333333333334,Ralph,7.0,0.7142857142857143,Sarita,4.0,0.5
Mike,Steve,6.0,1.0,Julie,6.0,1.0,Ralph,6.0,0.8333333333333334,David,6.0,0.8333333333333334,Sarita,4.0,0.75
Sarita,Ralph,4.0,1.0,Steve,4.0,0.75,Julie,4.0,0.75,Mike,4.0,0.75,David,4.0,0.5
