,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Sundra,Nate,0.0,,,,,,,,,,,0.0,,,,,
Sundra,Rebecca,1.0,,,,,,,,,,,,,,,,
Sundra,Stephannie,1.0,,,,,,,,,,,,,,,,
Sundra,Sekou,0.0,,,,,,,,,,,,,,,,
Nate,Rebecca,0.0,,,0.0,1.0,,,,1.0,0.0,,,,,,,
Nate,Stephannie,0.0,,,0.0,0.0,,,,,,,,,,,,
Nate,Sekou,1.0,,,,,,,,,,,,,,,,
Rebecca,Stephannie,1.0,,,1.0,0.0,,,,,,,,,,,,
Rebecca,Sekou,0.0,,,,,,,,,,,,,,,,
Stephannie,Sekou,0.0,,,,,,,,,,,,,,,,
Ozzy,Cristina,,1.0,,,,,,,,,,,,,,,
Ozzy,J.P.,,1.0,,,,,,,,,,,,,,,
Ozzy,Cecilia,,1.0,1.0,,,,,,,,,,,,,,
Ozzy,Billy,,0.0,,,,,,,,,,,,,,,
Cristina,J.P.,,1.0,,0.0,,,,,,,,,,,,,
Cristina,Cecilia,,1.0,,,,,,,,,,,,,,,
Cristina,Billy,,0.0,,,,,,,,,,,,,,,
J.P.,Cecilia,,1.0,,,,,,,,,,,,,,,
J.P.,Billy,,0.0,,,,,,,,,,,,,,,
Cecilia,Billy,,0.0,,,,,,,,,,,,,,,
Yul,Ozzy,,,0.0,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,0.0
Yul,Becky,,,1.0,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0
Yul,Sundra,,,0.0,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,0.0
Yul,Jonathan,,,1.0,,,1.0,,1.0,,,,1.0,1.0,0.0,,,
Yul,Jessica,,,1.0,,,0.0,,0.0,,,,,,,,,
Yul,Cao Boi,,,1.0,,,0.0,,,,,,,,,,,
Yul,Cecilia,,,0.0,,,,,,,,,,,,,,
Ozzy,Becky,,,0.0,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,0.0
Ozzy,Sundra,,,1.0,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0
Ozzy,Jonathan,,,0.0,,,1.0,,1.0,,,,1.0,1.0,0.0,,,
Ozzy,Jessica,,,0.0,,,0.0,,0.0,,,,,,,,,
Ozzy,Cao Boi,,,0.0,,,0.0,,,,,,,,,,,
Becky,Sundra,,,0.0,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,0.0
Becky,Jonathan,,,1.0,,,1.0,,1.0,,,,1.0,1.0,0.0,,,
Becky,Jessica,,,1.0,,,0.0,,0.0,,,,,,,,,
Becky,Cao Boi,,,1.0,,,0.0,,,,,,,,,,,
Becky,Cecilia,,,0.0,,,,,,,,,,,,,,
Sundra,Jonathan,,,0.0,,,1.0,,1.0,,,,1.0,1.0,0.0,,,
Sundra,Jessica,,,0.0,,,0.0,,0.0,,,,,,,,,
Sundra,Cao Boi,,,0.0,,,0.0,,,,,,,,,,,
Sundra,Cecilia,,,1.0,,,,,,,,,,,,,,
