,,1,2,3,4,5,6,7,8,9,10,11,12,13,14
J.T.,Stephen,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,
J.T.,Taj,1.0,,,0.0,1.0,1.0,,1.0,1.0,0.0,1.0,0.0,0.0,
J.T.,Joe,1.0,,,1.0,1.0,0.0,,,,,,,,
J.T.,Sydney,1.0,,,1.0,1.0,0.0,,,,,,,,
J.T.,Spencer,1.0,,,1.0,0.0,,,,,,,,,
J.T.,Sandy,1.0,,,0.0,,,,,,,,,,
J.T.,Carolina,0.0,,,,,,,,,,,,,
Stephen,Taj,1.0,,,0.0,1.0,1.0,,1.0,1.0,0.0,1.0,1.0,0.0,
Stephen,Joe,1.0,,,1.0,1.0,0.0,,,,,,,,
Stephen,Sydney,1.0,,,1.0,1.0,0.0,,,,,,,,
Stephen,Spencer,1.0,,,1.0,0.0,,,,,,,,,
Stephen,Sandy,1.0,,,0.0,,,,,,,,,,
Stephen,Carolina,0.0,,,,,,,,,,,,,
Taj,Joe,1.0,,,0.0,1.0,0.0,,,,,,,,
Taj,Sydney,1.0,,,0.0,1.0,0.0,,,,,,,,
Taj,Spencer,1.0,,,0.0,0.0,,,,,,,,,
Taj,Sandy,1.0,,,1.0,,,,,,,,,,
Taj,Carolina,0.0,,,,,,,,,,,,,
Joe,Sydney,1.0,,,1.0,1.0,1.0,,,,,,,,
Joe,Spencer,1.0,,,1.0,0.0,,,,,,,,,
Joe,Sandy,1.0,,,0.0,,,,,,,,,,
Joe,Carolina,0.0,,,,,,,,,,,,,
Sydney,Spencer,1.0,,,1.0,0.0,,,,,,,,,
Sydney,Sandy,1.0,,,0.0,,,,,,,,,,
Sydney,Carolina,0.0,,,,,,,,,,,,,
Spencer,Sandy,1.0,,,0.0,,,,,,,,,,
Spencer,Carolina,0.0,,,,,,,,,,,,,
Sandy,Carolina,0.0,,,,,,,,,,,,,
Erinn,Coach,,1.0,1.0,,,,,1.0,0.0,0.0,0.0,0.0,,
Erinn,Debbie,,1.0,1.0,,,,,1.0,0.0,0.0,0.0,,,
Erinn,Sierra,,1.0,1.0,,,,,0.0,1.0,1.0,,,,
Erinn,Tyson,,1.0,1.0,,,,,1.0,0.0,,,,,
Erinn,Brendan,,1.0,1.0,,,,,0.0,,,,,,
Erinn,Jerry,,1.0,0.0,,,,,,,,,,,
Erinn,Candace,,0.0,,,,,,,,,,,,
Coach,Debbie,,1.0,1.0,,,,,1.0,1.0,1.0,0.0,,,
Coach,Sierra,,1.0,1.0,,,,,0.0,0.0,0.0,,,,
Coach,Tyson,,1.0,1.0,,,,,1.0,1.0,,,,,
Coach,Brendan,,1.0,1.0,,,,,0.0,,,,,,
Coach,Jerry,,1.0,0.0,,,,,,,,,,,
Coach,Candace,,0.0,,,,,,,,,,,,
Debbie,Sierra,,1.0,1.0,,,,,0.0,0.0,0.0,,,,
Debbie,Tyson,,1.0,1.0,,,,,1.0,1.0,,,,,
Debbie,Brendan,,1.0,1.0,,,,,0.0,,,,,,
Debbie,Jerry,,1.0,0.0,,,,,,,,,,,
Debbie,Candace,,0.0,,,,,,,,,,,,
Sierra,Tyson,,1.0,1.0,,,,,0.0,0.0,,,,,
Sierra,Brendan,,1.0,1.0,,,,,1.0,,,,,,
Sierra,Jerry,,1.0,0.0,,,,,,,,,,,
Sierra,Candace,,0.0,,,,,,,,,,,,
Tyson,Brendan,,1.0,1.0,,,,,0.0,,,,,,
Tyson,Jerry,,1.0,0.0,,,,,,,,,,,
Tyson,Candace,,0.0,,,,,,,,,,,,
Brendan,Jerry,,1.0,0.0,,,,,,,,,,,
Brendan,Candace,,0.0,,,,,,,,,,,,
Jerry,Candace,,0.0,,,,,,,,,,,,
J.T.,Erinn,,,,,,,,1.0,1.0,0.0,1.0,0.0,1.0,
J.T.,Coach,,,,,,,,1.0,0.0,1.0,0.0,1.0,,
J.T.,Debbie,,,,,,,,1.0,0.0,1.0,0.0,,,
J.T.,Sierra,,,,,,,,0.0,1.0,0.0,,,,
J.T.,Tyson,,,,,,,,1.0,0.0,,,,,
J.T.,Brendan,,,,,,,,0.0,,,,,,
Stephen,Erinn,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,
Stephen,Coach,,,,,,,,1.0,0.0,1.0,0.0,0.0,,
Stephen,Debbie,,,,,,,,1.0,0.0,1.0,0.0,,,
Stephen,Sierra,,,,,,,,0.0,1.0,0.0,,,,
Stephen,Tyson,,,,,,,,1.0,0.0,,,,,
Stephen,Brendan,,,,,,,,0.0,,,,,,
Erinn,Taj,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,
Taj,Coach,,,,,,,,1.0,0.0,0.0,0.0,0.0,,
Taj,Debbie,,,,,,,,1.0,0.0,0.0,0.0,,,
Taj,Sierra,,,,,,,,0.0,1.0,1.0,,,,
Taj,Tyson,,,,,,,,1.0,0.0,,,,,
Taj,Brendan,,,,,,,,0.0,,,,,,
