,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee,Sole_Survivor,Made_Finale,Voted_Off,Made_Merge,Tm_IC,Tm_IC_W,Idv_IC,Idv_IC_W,Weeks_Played,Votes_Around,Votes_Safe,Votes_Cast,Votes_Sat_Out,Vote_Boot,Vote_Wrong,Wgt_Avg_IC,Wgt_Avg_Idv_IC,Final_Votes,Votes_Against
0,Carolina Eastwood,Carolina,[],27,West Hollywood,CA,Bartender,Jalapao,,1st Voted OutDay 3,7,16.0,False,False,False,1,False,1,0,0,0,2,1,0,1,0,0,1,0.0,,0,7
1,Candace Smith,Candace,[],31,Los Angeles,CA,Attorney,Timbira,,2nd Voted OutDay 6,7,15.0,False,False,False,2,False,2,1,0,0,3,2,1,1,0,0,1,0.5,,0,7
2,Jerry Sims,Jerry,[],49,Rock Hill,SC,U.S. Army Sergeant,Timbira,,3rd Voted OutDay 9,6,14.0,False,False,False,3,False,3,1,0,0,4,3,1,2,0,1,1,0.3333333333333333,,0,6
3,Sandy Burgin,Sandy,[],53,Louisville,KY,Bus Driver,Jalapao,,4th Voted OutDay 12,6,13.0,False,False,False,4,False,4,2,0,0,5,4,2,2,0,1,1,0.5,,0,6
4,Spencer Duhm,Spencer,[],18,Gainesville,FL,Student,Jalapao,,5th Voted OutDay 15,5,12.0,False,False,False,5,False,5,2,0,0,6,5,2,3,0,2,1,0.4,,0,5
5,Sydney Wheeler,Sydney,[],24,San Diego,CA,Model,Jalapao,,6th Voted OutDay 18,4,11.0,False,False,False,6,False,6,2,0,0,7,6,2,4,0,3,1,0.3333333333333333,,0,4
6,Joe Dowdle,Joe,[],26,Austin,TX,Real Estate Salesman,Jalapao,Forza,EvacuatedDay 20,1,10.0,False,False,False,7,True,6,2,1,0,8,6,2,4,0,3,1,0.2857142857142857,0.0,0,1
7,Brendan Synnott,Brendan,[],30,Vail,CO,Entrepreneur,Timbira,Forza,7th Voted Out1st Jury MemberDay 24,4,9.0,False,False,False,8,True,6,4,2,0,9,7,4,3,0,2,1,0.5,0.0,0,4
8,Tyson Apostol,Tyson,[],29,Heber City,UT,Professional Cyclist,Timbira,Forza,8th Voted Out2nd Jury MemberDay 27,5,8.0,False,False,False,9,True,6,4,3,2,10,8,4,4,0,2,2,2.3333333333333335,5.666666666666667,0,5
9,Sierra Reed,Sierra,[],23,Los Angeles,CA,Model,Timbira,Forza,9th Voted Out3rd Jury MemberDay 30,11,7.0,False,False,False,10,True,6,4,4,0,11,9,4,5,0,3,2,0.4,0.0,0,11
10,Debbie Beebe,Debbie,[],46,Auburn,AL,School Principal,Timbira,Forza,10th Voted Out4th Jury MemberDay 33,6,6.0,False,False,False,11,True,6,4,5,1,12,10,4,6,0,4,2,1.0,1.4,0,6
11,Coach Wade,Coach,[],37,Bolivar,MO,Soccer Coach,Timbira,Forza,11th Voted Out5th Jury MemberDay 36,6,5.0,False,False,False,12,True,6,4,6,1,13,11,4,7,0,4,3,0.8333333333333334,1.0,0,6
12,Taj Johnson-George,Taj,[],37,Nashville,TN,Former Pop Star,Jalapao,Forza,12th Voted Out6th Jury MemberDay 37,7,4.0,False,False,False,13,True,6,2,7,0,14,12,2,10,0,7,3,0.15384615384615385,0.0,0,7
13,Erinn Lobdell,Erinn,[],26,Milwaukee,WI,Hairstylist,Timbira,Forza,13th Voted Out7th Jury MemberDay 38,5,3.0,False,False,False,14,True,6,4,8,0,15,13,4,8,1,6,2,0.2857142857142857,0.0,0,5
14,Stephen Fishbach,Stephen,[],29,New York City,NY,Corporate Consultant,Jalapao,Forza,Runner-Up,1,2.0,False,False,True,15,True,6,2,8,1,16,13,2,10,1,10,0,0.5,0.625,0,1
15,J.T. Thomas,J.T.,[],24,Mobile,AL,Cattle Rancher,Jalapao,Forza,Sole Survivor,0,1.0,False,True,True,15,True,6,2,8,3,16,13,2,11,0,9,2,0.7857142857142857,1.125,7,0
