,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee
0,Marisa Calihan,Marisa,[],25,Cincinnati,OH,Student,Foa Foa,,1st Voted OutDay 3,7,20.0,False
1,Mike Borassi,Mike,[],62,Marina del Rey,CA,Personal Chef,Foa Foa,,EvacuatedDay 5,0,19.0,False
2,Betsy Bolan,Betsy,[],48,Campton,NH,Police Officer,Foa Foa,,2nd Voted OutDay 6,7,18.0,False
3,Ben Browning,Ben,[],28,Los Angeles,CA,Bar Manager,Foa Foa,,3rd Voted OutDay 8,7,17.0,False
4,Yasmin Giles,Yasmin,[],33,Los Angeles,CA,Hairstylist,Galu,,4th Voted OutDay 11,8,16.0,False
5,Ashley Trainer,Ashley,[],22,Maple Grove,MN,Spa Saleswoman,Foa Foa,,5th Voted OutDay 14,9,15.0,False
6,Russell Swan,Russell S.,[],42,Glenside,PA,Attorney,Galu,,EvacuatedDay 15,0,14.0,False
7,Liz Kim,Liz,[],33,New York City,NY,Urban Planner,Foa Foa,,6th Voted OutDay 18,5,13.0,False
8,Erik Cardona,Erik,[],28,Los Angeles,CA,Bartender,Galu,Aiga,7th Voted Out1st Jury MemberDay 21,10,12.0,False
9,Kelly Sharbaugh,Kelly,[],25,San Diego,CA,Hairstylist,Galu,Aiga,8th Voted Out2nd Jury MemberDay 24,4,11.0,False
10,Laura Morett,Laura,[],39,Salem,OR,Office Manager,Galu,Aiga,9th Voted Out3rd Jury MemberDay 27,10,10.0,False
11,John Fincher,John,[],25,Santa Monica,CA,Rocket Scientist,Galu,Aiga,10th Voted Out4th Jury MemberDay 30,7,9.0,False
12,Dave Ball,Dave,[],38,Los Angeles,CA,Fitness Instructor,Galu,Aiga,11th Voted Out5th Jury MemberDay 31,8,8.0,False
13,Monica Padilla,Monica,[],24,San Diego,CA,Law Student,Galu,Aiga,12th Voted Out6th Jury MemberDay 33,7,7.0,False
14,Shambo Waters,Shambo,[],45,Renton,WA,Saleswoman,Galu,Aiga,13th Voted Out7th Jury MemberDay 36,6,6.0,False
15,Jaison Robinson,Jaison,[],28,Chicago,IL,Law Student,Foa Foa,Aiga,14th Voted Out8th Jury MemberDay 37,7,5.0,False
16,Brett Clouser,Brett,[],23,Los Angeles,CA,T-shirt Designer,Galu,Aiga,15th Voted Out9th Jury MemberDay 38,3,4.0,False
17,Mick Trimming,Mick,[],33,Los Angeles,CA,Doctor,Foa Foa,Aiga,SecondRunner-Up,4,3.0,False
18,Russell Hantz,Russell H.,[],36,Dayton,TX,Oil Company Owner,Foa Foa,Aiga,Runner-Up,9,2.0,False
19,Natalie White,Natalie,[],26,Van Buren,AR,Pharmaceutical Saleswoman,Foa Foa,Aiga,Sole Survivor,8,1.0,False
