,Idx,Episode,Air date,Reward,Immunity,Eliminated(Vote),Finish,Viewership(in millions),Rating/Share(18-49),Immunity_2
0,1,"""She Annoys Me Greatly""","February 13, 2013",Bikal,Gota,"['Francesca', '6-4']",1st Voted OutDay 3,8.94,2.4/7,['Gota']
1,2,"""Honey Badger""","February 20, 2013",Bikal,Bikal,"['Allie', '6-4']",2nd Voted OutDay 5,9.32,2.4/7,['Bikal']
2,3,"""There's Gonna Be Hell to Pay""","February 27, 2013",Bikal,Bikal,"['Hope', '3-3-3;5-1-0']",3rd Voted OutDay 7,9.17,2.6/8,['Bikal']
3,4,"""Kill or Be Killed""","March 6, 2013",Bikal,Bikal,"['Shamar', 'No Vote']",EvacuatedDay 10,9.58,2.6/7,['Bikal']
4,4,"""Kill or Be Killed""","March 6, 2013",Bikal,Bikal,"['Laura', '6-0']",4th Voted OutDay 10,9.58,2.6/7,['Bikal']
5,5,"""Persona Non Grata""","March 13, 2013",Bikal,(Gota),"['Brandon', '8-1']",5th Voted OutDay 13,9.89,2.7/8,['']
6,6,"""Operation Thunder Dome""","March 20, 2013",None,Gota,"['Matt', '4-2-1']",6th Voted OutDay 16,9.79,2.6/8,['Gota']
7,7,"""Tubby Lunchbox""","March 27, 2013",Gota,Gota,"['Julia', '3-3;4-0']",7th Voted OutDay 19,9.43,2.5/7,['Gota']
8,8,"""Blindside Time""","April 3, 2013",None,Cochran,"['Corinne', '7-5']",8th Voted OutDay 22,9.25,2.5/7,['Cochran']
9,9,"""Cut Off the Head of the Snake""","April 10, 2013","Cochran,Eddie, Erik,Michael,Reynold",Brenda,"['Michael', '7-3-1']",9th Voted Out1st Jury MemberDay 25,9.38,2.6/8,['Brenda']
10,10,"""Zipping Over the Cuckoo's Nest""","April 17, 2013","Cochran,Dawn, Erik,Phillip,Reynold",Reynold,"['Phillip', '4-0-0']",10th Voted Out2nd Jury MemberDay 28,9.99,2.7/8,['Reynold']
11,11,"""Come Over to the Dark Side""","April 24, 2013",SurvivorAuction,Cochran,"['Malcolm', '3-3-3,6-0-0']",11th Voted Out3rd Jury MemberDay 30,10.31,2.9/8,['Cochran']
12,12,"""The Beginning of the End""","May 1, 2013",Andrea,Andrea,"['Reynold', '4-2-1-1']",12th Voted Out4th Jury MemberDay 31,9.25,2.4/8,['Andrea']
13,12,"""The Beginning of the End""","May 1, 2013",None,Erik,"['Andrea', '3-2-2']",13th Voted Out5th Jury MemberDay 33,9.25,2.4/8,['Erik']
14,13,"""Don't Say Anything About My Mom""","May 8, 2013","Brenda[Dawn](Cochran,Eddie, Erik,Sherri)",Dawn,"['Brenda', '3-2-1']",14th Voted Out6th Jury MemberDay 36,9.51,2.6/8,['Dawn']
15,14,"""Last Push""","May 12, 2013",None,None,"['Erik', 'No Vote']",Evacuated7th Jury MemberDay 36,10.16,2.7/8,[]
16,14,"""Last Push""","May 12, 2013",Cochran,Cochran,"['Eddie', '3-1']",15th Voted Out8th Jury MemberDay 38,10.16,2.7/8,['Cochran']
17,14,"""Last Push""","May 12, 2013",Jury Vote,Jury Vote,"['SherriDawn', '8-0-0']",Runners-Up,10.16,2.7/8,[]
18,14,"""Last Push""","May 12, 2013",Jury Vote,Jury Vote,"['Cochran', '8-0-0']",Sole Survivor,10.16,2.7/8,[]
19,15,"""Reunion""","May 12, 2013",,,,,8.13,2.2/6,[]
