,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Switched Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee,Sole_Survivor,Made_Finale,Voted_Off,Made_Merge,Tm_IC,Tm_IC_W,Idv_IC,Idv_IC_W,Weeks_Played,Votes_Around,Votes_Safe,Votes_Cast,Votes_Sat_Out,Vote_Boot,Vote_Wrong,Wgt_Avg_IC,Wgt_Avg_Idv_IC,Final_Votes,Votes_Against
0,Francesca Hogi,Francesca,['Redemption Island'],38,Brooklyn,NY,,Bikal,,,1st Voted OutDay 3,6,20.0,True,False,False,1,False,1,0,0,0,2,1,0,1,0,0,1,0.0,,0,6
1,Allie Pohevitz,Allie,[],24,Oceanside,NY,Bartender,Gota,,,2nd Voted OutDay 5,6,19.0,False,False,False,2,False,2,1,0,0,3,2,1,1,0,0,1,0.5,,0,6
2,Hope Driskill,Hope,[],22,Jefferson City,MO,Pre-Law Student,Gota,,,3rd Voted OutDay 7,8,18.0,False,False,False,3,False,3,1,0,0,4,3,1,2,0,0,2,0.3333333333333333,,0,3
3,Shamar Thomas,Shamar,[],26,Brooklyn,NY,Iraq War Veteran,Gota,,,EvacuatedDay 10,8,17.0,False,False,False,4,False,4,1,0,0,5,3,1,2,0,1,1,0.25,,0,7
4,Laura Alexander,Laura,[],22,Washington,D.,Administrative Officer,Gota,,,4th Voted OutDay 10,6,16.0,False,False,False,5,False,5,1,0,0,6,4,1,3,0,2,1,0.2,,0,6
5,Brandon Hantz,Brandon,['South Pacific'],20,Katy,TX,,Bikal,,,5th Voted OutDay 13,8,15.0,True,False,False,6,False,5,4,0,0,7,5,3,2,0,0,2,0.8,,0,8
6,Matt Bischoff,Matt,[],38,Cincinnati,OH,BMX Bike Salesman,Gota,Bikal,,6th Voted OutDay 16,4,14.0,False,False,False,7,False,6,1,0,0,8,6,2,4,0,2,2,0.16666666666666666,,0,4
7,Julia Landauer,Julia,[],20,Stanford,CA,Racecar Driver,Gota,Bikal,,7th Voted OutDay 19,9,13.0,False,False,False,8,False,7,1,0,0,9,7,2,5,0,3,2,0.14285714285714285,,0,5
8,Corinne Kaplan,Corinne,['Gabon'],33,Los Angeles,CA,,Bikal,Bikal,Enil Edam,8th Voted OutDay 22,7,12.0,True,False,False,9,True,7,4,1,0,10,8,3,5,0,4,1,0.5,0.0,0,7
9,Michael Snow,Michael,[],43,New York City,NY,Event Planner,Gota,Bikal,Enil Edam,9th Voted Out1st Jury MemberDay 25,10,11.0,False,False,False,10,True,7,1,2,0,11,9,2,7,0,3,4,0.1111111111111111,0.0,0,10
10,Phillip Sheppard,Phillip,['Redemption Island'],54,Santa Monica,CA,,Bikal,Bikal,Enil Edam,10th Voted Out2nd Jury MemberDay 28,5,10.0,True,False,False,11,True,7,4,3,0,12,10,3,7,0,5,2,0.4,0.0,0,5
11,Malcolm Freberg,Malcolm,['Philippines'],25,Hermosa Beach,CA,,Bikal,Gota,Enil Edam,11th Voted Out3rd Jury MemberDay 30,11,9.0,True,False,False,12,True,7,6,4,0,13,11,5,6,0,3,3,0.5454545454545454,0.0,0,5
12,Reynold Toepfer,Reynold,[],29,San Francisco,CA,Real Estate Salesman,Gota,Gota,Enil Edam,12th Voted Out4th Jury MemberDay 31,9,8.0,False,False,False,13,True,7,3,5,1,14,12,4,8,0,2,6,1.0,1.8,0,9
13,Andrea Boehlke,Andrea,['Redemption Island'],23,New York City,NY,,Bikal,Gota,Enil Edam,13th Voted Out5th Jury MemberDay 33,13,7.0,True,False,False,14,True,7,6,6,1,15,13,5,8,0,6,2,1.0,1.1666666666666667,0,13
14,Brenda Lowe,Brenda,['Nicaragua'],29,Miami,FL,,Bikal,Gota,Enil Edam,14th Voted Out6th Jury MemberDay 36,5,6.0,True,False,False,15,True,7,6,7,1,16,14,5,9,0,5,4,1.1428571428571428,1.4285714285714286,0,5
15,Erik Reichenbach,Erik,['Micronesia'],26,Santa Clarita,CA,,Bikal,Gota,Enil Edam,Evacuated7th Jury MemberDay 36,2,5.0,True,False,False,16,True,7,6,7,1,17,14,5,9,0,6,3,0.8571428571428571,0.8571428571428571,0,2
16,Eddie Fox,Eddie,[],23,East Brunswick,NJ,Fireman/EMT,Gota,Gota,Enil Edam,15th Voted Out8th Jury MemberDay 38,16,4.0,False,False,False,17,True,7,3,8,0,18,15,4,11,0,2,9,0.2,0.0,0,16
17,Dawn Meehan,Dawn,['South Pacific'],41,South Jordan,UT,,Bikal,Bikal,Enil Edam,Runners-Up,2,3.0,True,False,True,18,True,7,4,8,1,19,15,3,12,0,9,3,0.6,0.625,0,2
18,Sherri Biethman,Sherri,[],40,Boise,ID,Fast Food Franchisee,Gota,Gota,Enil Edam,Runners-Up,6,2.0,False,False,True,18,True,7,3,8,0,19,15,4,11,0,9,2,0.2,0.0,0,6
19,John Cochran,Cochran,['South Pacific'],25,Washington,D.,,Bikal,Bikal,Enil Edam,Sole Survivor,0,1.0,True,True,True,18,True,7,4,8,3,19,15,3,12,0,8,4,1.7333333333333334,2.75,8,0
