,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Switched Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee
0,Francesca Hogi,Francesca,['Redemption Island'],38,Brooklyn,NY,,Bikal,,,1st Voted OutDay 3,6,20.0,True
1,Allie Pohevitz,Allie,[],24,Oceanside,NY,Bartender,Gota,,,2nd Voted OutDay 5,6,19.0,False
2,Hope Driskill,Hope,[],22,Jefferson City,MO,Pre-Law Student,Gota,,,3rd Voted OutDay 7,8,18.0,False
3,Shamar Thomas,Shamar,[],26,Brooklyn,NY,Iraq War Veteran,Gota,,,EvacuatedDay 10,8,17.0,False
4,Laura Alexander,Laura,[],22,Washington,D.,Administrative Officer,Gota,,,4th Voted OutDay 10,6,16.0,False
5,Brandon Hantz,Brandon,['South Pacific'],20,Katy,TX,,Bikal,,,5th Voted OutDay 13,8,15.0,True
6,Matt Bischoff,Matt,[],38,Cincinnati,OH,BMX Bike Salesman,Gota,Bikal,,6th Voted OutDay 16,4,14.0,False
7,Julia Landauer,Julia,[],20,Stanford,CA,Racecar Driver,Gota,Bikal,,7th Voted OutDay 19,9,13.0,False
8,Corinne Kaplan,Corinne,['Gabon'],33,Los Angeles,CA,,Bikal,Bikal,Enil Edam,8th Voted OutDay 22,7,12.0,True
9,Michael Snow,Michael,[],43,New York City,NY,Event Planner,Gota,Bikal,Enil Edam,9th Voted Out1st Jury MemberDay 25,10,11.0,False
10,Phillip Sheppard,Phillip,['Redemption Island'],54,Santa Monica,CA,,Bikal,Bikal,Enil Edam,10th Voted Out2nd Jury MemberDay 28,5,10.0,True
11,Malcolm Freberg,Malcolm,['Philippines'],25,Hermosa Beach,CA,,Bikal,Gota,Enil Edam,11th Voted Out3rd Jury MemberDay 30,11,9.0,True
12,Reynold Toepfer,Reynold,[],29,San Francisco,CA,Real Estate Salesman,Gota,Gota,Enil Edam,12th Voted Out4th Jury MemberDay 31,9,8.0,False
13,Andrea Boehlke,Andrea,['Redemption Island'],23,New York City,NY,,Bikal,Gota,Enil Edam,13th Voted Out5th Jury MemberDay 33,13,7.0,True
14,Brenda Lowe,Brenda,['Nicaragua'],29,Miami,FL,,Bikal,Gota,Enil Edam,14th Voted Out6th Jury MemberDay 36,5,6.0,True
15,Erik Reichenbach,Erik,['Micronesia'],26,Santa Clarita,CA,,Bikal,Gota,Enil Edam,Evacuated7th Jury MemberDay 36,2,5.0,True
16,Eddie Fox,Eddie,[],23,East Brunswick,NJ,Fireman/EMT,Gota,Gota,Enil Edam,15th Voted Out8th Jury MemberDay 38,16,4.0,False
17,Dawn Meehan,Dawn,['South Pacific'],41,South Jordan,UT,,Bikal,Bikal,Enil Edam,Runners-Up,2,3.0,True
18,Sherri Biethman,Sherri,[],40,Boise,ID,Fast Food Franchisee,Gota,Gota,Enil Edam,Runners-Up,6,2.0,False
19,John Cochran,Cochran,['South Pacific'],25,Washington,D.,,Bikal,Bikal,Enil Edam,Sole Survivor,0,1.0,True
