,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Nick,Davie,,0.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,
Nick,Christian,,1.0,,,,,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,
Nick,Gabby,,1.0,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,,,,
Nick,Carl,,0.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
Nick,Elizabeth,,1.0,,,,,,0.0,,,,,,,,,
Nick,Lyrsa,,1.0,,,,1.0,0.0,,,,,,,,,,
Nick,Bi,,0.0,,,,,,,,,,,,,,,
Nick,Jessica,,0.0,,,,,,,,,,,,,,,
Davie,Christian,,0.0,,,,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,,
Davie,Gabby,,0.0,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,,,,
Davie,Carl,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,
Davie,Elizabeth,,0.0,,,1.0,,,0.0,,,,,,,,,
Davie,Lyrsa,,0.0,,,,,,,,,,,,,,,
Davie,Bi,,1.0,,,,,,,,,,,,,,,
Davie,Jessica,,1.0,,,,,,,,,,,,,,,
Christian,Gabby,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,,,,
Christian,Carl,,0.0,,,,,,1.0,1.0,1.0,1.0,0.0,,,,,
Christian,Elizabeth,,1.0,,,,,,0.0,,,,,,,,,
Christian,Lyrsa,,1.0,,,,,,,,,,,,,,,
Christian,Bi,,0.0,,,,,,,,,,,,,,,
Christian,Jessica,,0.0,,,,,,,,,,,,,,,
Gabby,Carl,,0.0,,,,,,1.0,1.0,1.0,1.0,0.0,,,,,
Gabby,Elizabeth,,1.0,,,,,,0.0,,,,,,,,,
Gabby,Lyrsa,,1.0,,,,,,,,,,,,,,,
Gabby,Bi,,0.0,,,,,,,,,,,,,,,
Gabby,Jessica,,0.0,,,,,,,,,,,,,,,
Carl,Elizabeth,,0.0,,,,,,0.0,,,,,,,,,
Carl,Lyrsa,,0.0,,,,,,,,,,,,,,,
Carl,Bi,,1.0,,,,,,,,,,,,,,,
Carl,Jessica,,1.0,,,,,,,,,,,,,,,
Elizabeth,Lyrsa,,1.0,,,,,,,,,,,,,,,
Elizabeth,Bi,,0.0,,,,,,,,,,,,,,,
Elizabeth,Jessica,,0.0,,,,,,,,,,,,,,,
Lyrsa,Bi,,0.0,,,,,,,,,,,,,,,
Lyrsa,Jessica,,0.0,,,,,,,,,,,,,,,
Bi,Jessica,,1.0,,,,,,,,,,,,,,,
Mike,Angelina,,,1.0,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,
Mike,Kara,,,1.0,,,,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,
Mike,Alison,,,1.0,,,,,1.0,1.0,,1.0,1.0,0.0,1.0,1.0,0.0,
Mike,Alec,,,1.0,,,,,1.0,1.0,0.0,0.0,,,,,,
Mike,Dan,,,1.0,,,,,1.0,1.0,1.0,,,,,,,
Mike,John,,,1.0,,,,,1.0,1.0,,,,,,,,
Mike,Natalie,,,1.0,,,0.0,,,,,,,,,,,
Mike,Natalia,,,1.0,,,,,,,,,,,,,,
Mike,Jeremy,,,0.0,,,,,,,,,,,,,,
Angelina,Kara,,,1.0,,,,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,
Angelina,Alison,,,1.0,,,,,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,0.0,
Angelina,Alec,,,1.0,,,,,1.0,1.0,0.0,0.0,,,,,,
Angelina,Dan,,,1.0,,,,,1.0,1.0,1.0,,,,,,,
Angelina,John,,,1.0,,,,,1.0,1.0,,,,,,,,
Angelina,Natalie,,,1.0,,,1.0,,,,,,,,,,,
Angelina,Natalia,,,1.0,,,,,,,,,,,,,,
Angelina,Jeremy,,,0.0,,,,,,,,,,,,,,
Kara,Alison,,,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,
Kara,Alec,,,1.0,,0.0,,,1.0,1.0,1.0,0.0,,,,,,
Kara,Dan,,,1.0,,,,,1.0,1.0,0.0,,,,,,,
Kara,John,,,1.0,,,,,1.0,1.0,,,,,,,,
Kara,Natalie,,,1.0,,,,,,,,,,,,,,
Kara,Natalia,,,1.0,,1.0,,,,,,,,,,,,
Kara,Jeremy,,,0.0,,,,,,,,,,,,,,
Alison,Alec,,,1.0,,,,,1.0,1.0,,0.0,,,,,,
Alison,Dan,,,1.0,,,,,1.0,1.0,,,,,,,,
Alison,John,,,1.0,,,,,1.0,1.0,,,,,,,,
Alison,Natalie,,,1.0,,,,,,,,,,,,,,
Alison,Natalia,,,1.0,,,,,,,,,,,,,,
Alison,Jeremy,,,0.0,,,,,,,,,,,,,,
Alec,Dan,,,1.0,,,,,1.0,1.0,0.0,,,,,,,
Alec,John,,,1.0,,,,,1.0,1.0,,,,,,,,
Alec,Natalie,,,1.0,,,,,,,,,,,,,,
Alec,Natalia,,,1.0,,0.0,,,,,,,,,,,,
Alec,Jeremy,,,0.0,,,,,,,,,,,,,,
Dan,John,,,1.0,,,,,1.0,1.0,,,,,,,,
Dan,Natalie,,,1.0,,,,,,,,,,,,,,
Dan,Natalia,,,1.0,,,,,,,,,,,,,,
Dan,Jeremy,,,0.0,,,,,,,,,,,,,,
John,Natalie,,,1.0,,,,,,,,,,,,,,
John,Natalia,,,1.0,,,,,,,,,,,,,,
John,Jeremy,,,0.0,,,,,,,,,,,,,,
Natalie,Natalia,,,1.0,,,,,,,,,,,,,,
Natalie,Jeremy,,,0.0,,,,,,,,,,,,,,
Natalia,Jeremy,,,0.0,,,,,,,,,,,,,,
Kara,Davie,,,,,0.0,,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,
Kara,Elizabeth,,,,,0.0,,,0.0,,,,,,,,,
Davie,Alec,,,,,1.0,,,1.0,0.0,1.0,0.0,,,,,,
Davie,Natalia,,,,,0.0,,,,,,,,,,,,
Alec,Elizabeth,,,,,1.0,,,0.0,,,,,,,,,
Elizabeth,Natalia,,,,,0.0,,,,,,,,,,,,
Nick,Mike,,,,,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,
Nick,Angelina,,,,,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,
Nick,Natalie,,,,,,0.0,,,,,,,,,,,
Mike,Lyrsa,,,,,,1.0,0.0,,,,,,,,,,
Angelina,Lyrsa,,,,,,0.0,0.0,,,,,,,,,,
Lyrsa,Natalie,,,,,,0.0,,,,,,,,,,,
Nick,Kara,,,,,,,,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,
Nick,Alison,,,,,,,,1.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,
Nick,Alec,,,,,,,,1.0,0.0,1.0,0.0,,,,,,
Nick,Dan,,,,,,,,1.0,0.0,0.0,,,,,,,
Nick,John,,,,,,,,1.0,0.0,,,,,,,,
Mike,Davie,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
Mike,Christian,,,,,,,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,,
Mike,Gabby,,,,,,,,1.0,0.0,0.0,1.0,1.0,0.0,,,,
Mike,Carl,,,,,,,,1.0,0.0,0.0,1.0,0.0,,,,,
Mike,Elizabeth,,,,,,,,0.0,,,,,,,,,
Angelina,Davie,,,,,,,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,
Angelina,Christian,,,,,,,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,
Angelina,Gabby,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,,,,
Angelina,Carl,,,,,,,,1.0,0.0,0.0,1.0,1.0,,,,,
Angelina,Elizabeth,,,,,,,,0.0,,,,,,,,,
Kara,Christian,,,,,,,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,,
Kara,Gabby,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,,,,
Kara,Carl,,,,,,,,1.0,0.0,1.0,1.0,0.0,,,,,
Alison,Davie,,,,,,,,1.0,0.0,,1.0,0.0,1.0,0.0,0.0,,
Alison,Christian,,,,,,,,1.0,0.0,,1.0,1.0,0.0,0.0,,,
Alison,Gabby,,,,,,,,1.0,0.0,,1.0,1.0,1.0,,,,
Alison,Carl,,,,,,,,1.0,0.0,,1.0,0.0,,,,,
Alison,Elizabeth,,,,,,,,0.0,,,,,,,,,
Davie,Dan,,,,,,,,1.0,0.0,0.0,,,,,,,
Davie,John,,,,,,,,1.0,0.0,,,,,,,,
Christian,Alec,,,,,,,,1.0,0.0,1.0,0.0,,,,,,
Christian,Dan,,,,,,,,1.0,0.0,0.0,,,,,,,
Christian,John,,,,,,,,1.0,0.0,,,,,,,,
Gabby,Alec,,,,,,,,1.0,0.0,1.0,0.0,,,,,,
Gabby,Dan,,,,,,,,1.0,0.0,0.0,,,,,,,
Gabby,John,,,,,,,,1.0,0.0,,,,,,,,
Carl,Alec,,,,,,,,1.0,0.0,1.0,0.0,,,,,,
Carl,Dan,,,,,,,,1.0,0.0,0.0,,,,,,,
Carl,John,,,,,,,,1.0,0.0,,,,,,,,
Dan,Elizabeth,,,,,,,,0.0,,,,,,,,,
John,Elizabeth,,,,,,,,0.0,,,,,,,,,
