,Alliance_1,Tribal Count_1,Index_1,Alliance_2,Tribal Count_2,Index_2,Alliance_3,Tribal Count_3,Index_3,Alliance_4,Tribal Count_4,Index_4,Alliance_5,Tribal Count_5,Index_5
Nick,Gabby,7.0,0.8571428571428571,Carl,6.0,0.8333333333333334,Davie,9.0,0.7777777777777778,Kara,9.0,0.6666666666666666,Christian,8.0,0.625
Mike,Dan,4.0,1.0,Angelina,12.0,0.8333333333333334,Kara,10.0,0.8,Alison,9.0,0.7777777777777778,Alec,5.0,0.6
Angelina,Dan,4.0,1.0,Mike,12.0,0.8333333333333334,Kara,10.0,0.7,Alison,9.0,0.6666666666666666,Alec,5.0,0.6
Kara,Alison,9.0,0.8888888888888888,Gabby,6.0,0.8333333333333334,Mike,10.0,0.8,Dan,4.0,0.75,Angelina,10.0,0.7
Alison,Kara,9.0,0.8888888888888888,Gabby,5.0,0.8,Mike,9.0,0.7777777777777778,Alec,4.0,0.75,Angelina,9.0,0.6666666666666666
Davie,Carl,6.0,1.0,Nick,9.0,0.7777777777777778,Gabby,7.0,0.7142857142857143,Christian,8.0,0.625,Alec,5.0,0.6
Christian,Gabby,7.0,0.8571428571428571,Carl,6.0,0.6666666666666666,Nick,8.0,0.625,Davie,8.0,0.625,Mike,7.0,0.5714285714285714
Gabby,Nick,7.0,0.8571428571428571,Christian,7.0,0.8571428571428571,Kara,6.0,0.8333333333333334,Alison,5.0,0.8,Davie,7.0,0.7142857142857143
Carl,Davie,6.0,1.0,Nick,6.0,0.8333333333333334,Christian,6.0,0.6666666666666666,Gabby,6.0,0.6666666666666666,Angelina,5.0,0.6
Alec,Alison,4.0,0.75,Dan,4.0,0.75,Kara,6.0,0.6666666666666666,Mike,5.0,0.6,Angelina,5.0,0.6
Dan,Mike,4.0,1.0,Angelina,4.0,1.0,Kara,4.0,0.75,Alec,4.0,0.75,,,
