,Idx,Episode,Air date,Reward,Immunity,Exiled,Eliminated(Vote),Finish,Viewers(in millions),Ratings/Share(18-49),Immunity_2
0,1,"""Suck It Up and Survive""","September 24, 2014",Hunahpu,Hunahpu,"['Val', 'Keith']","['Nadiya', '5-3-1']",1st Voted OutDay 3,9.75,2.7/9,['Hunahpu']
1,2,"""Method to This Madness""","October 1, 2014",Hunahpu,Hunahpu,"['John', 'Jeremy']","['Val', '4-4;5-1']",2nd Voted OutDay 6,9.49,2.4/9,['Hunahpu']
2,3,"""Actions vs. Accusations""","October 8, 2014",Coyopa,Hunahpu,"['Keith', 'Josh']","['John', '5-2']",3rd Voted OutDay 8,9.59,2.5/8,['Hunahpu']
3,4,"""We're a Hot Mess""","October 15, 2014",Hunahpu,Coyopa,"['Jaclyn', 'Drew']","['Drew', '5-2-1-1']",4th Voted OutDay 10,9.33,2.3/8,['Coyopa']
4,5,"""Blood Is Blood""","October 22, 2014",None,Hunahpu,None,"['Kelley', '3-2-2']",5th Voted OutDay 13,9.22,2.2/7,['Hunahpu']
5,6,"""Make Some Magic Happen""","October 29, 2014",Hunahpu,Hunahpu,"['Baylor', 'Natalie']","['Dale', '3-2-1']",6th Voted OutDay 15,9.07,2.2/7,['Hunahpu']
6,7,"""Million Dollar Decision""","November 5, 2014",None,Keith,None,"['Julie', 'No Vote']",QuitDay 18,9.31,2.3/7,['Keith']
7,8,"""Wrinkle in the Plan""","November 12, 2014","Jeremy,Keith,Natalie,Reed, Wes",Jeremy,Jon,"['Josh', '6-5']",7th Voted Out1st Jury MemberDay 21,9.51,2.3/7,['Jeremy']
8,9,"""Gettin' to Crunch Time""","November 19, 2014","Alec, Baylor,Jeremy,Natalie,Reed(Jaclyn, Jon)",Baylor,Jeremy,"['Jeremy', '5-3-2']",8th Voted Out2nd Jury MemberDay 24,9.85,2.4/8,['Baylor']
9,10,"""This Is Where We Build Trust""","November 26, 2014","Alec, Jaclyn,Jon, Reed(Missy)",Reed,Wes,"['Wes', '2-0-0']",9th Voted Out3rd Jury MemberDay 26,8.93,2.1/7,['Reed']
10,11,"""Kind of Like Cream Cheese""","December 3, 2014","Missy[Baylor,Natalie]",Keith,Jon,"['Reed', '7-1']",10th Voted Out4th Jury MemberDay 29,8.71,2.1/7,['Keith']
11,12,"""Still Holdin' On""","December 3, 2014","Natalie[Jaclyn,Jon]",Jon,Alec,"['Alec', '4-3']",11th Voted Out5th Jury MemberDay 32,8.71,2.1/7,['Jon']
12,13,"""Let's Make a Move""","December 10, 2014","Jon, Keith,Missy(Baylor)",Natalie,Natalie,"['Jon', '2-2-2;2-1-0']",12th Voted Out6th Jury MemberDay 35,9.47,2.4/8,['Natalie']
13,14,"""This Is My Time""","December 17, 2014",Keith,Keith,Jaclyn,"['Baylor', '2-0']",13th Voted Out7th Jury MemberDay 37,9.79,2.4/8,['Keith']
14,14,"""This Is My Time""","December 17, 2014",None,Jaclyn,None,"['Keith', '3-1']",14th Voted Out8th Jury MemberDay 38,9.79,2.4/8,['Jaclyn']
15,14,"""This Is My Time""","December 17, 2014",Jury Vote,Jury Vote,Jury Vote,"['Missy', '5-2-1']",Second Runner-Up,9.79,2.4/8,[]
16,14,"""This Is My Time""","December 17, 2014",Jury Vote,Jury Vote,Jury Vote,"['Jaclyn', '5-2-1']",Runner-Up,9.79,2.4/8,[]
17,14,"""This Is My Time""","December 17, 2014",Jury Vote,Jury Vote,Jury Vote,"['Natalie', '5-2-1']",Sole Survivor,9.79,2.4/8,[]
18,15,"""Reunion""","December 17, 2014",,,,,,7.31,1.8/8,[]
