,Alliance_1,Tribal Count_1,Index_1,Alliance_2,Tribal Count_2,Index_2,Alliance_3,Tribal Count_3,Index_3,Alliance_4,Tribal Count_4,Index_4,Alliance_5,Tribal Count_5,Index_5
Natalie,Missy,9.0,0.7777777777777778,Baylor,7.0,0.7142857142857143,Jaclyn,8.0,0.625,Jon,7.0,0.42857142857142855,Keith,9.0,0.3333333333333333
Jaclyn,Jon,8.0,1.0,Natalie,8.0,0.625,Missy,10.0,0.6,Baylor,12.0,0.5,Alec,8.0,0.5
Missy,Baylor,9.0,1.0,Natalie,9.0,0.7777777777777778,Jaclyn,10.0,0.6,Jon,9.0,0.5555555555555556,Keith,11.0,0.45454545454545453
Keith,Alec,5.0,0.8,Reed,5.0,0.6,Baylor,9.0,0.5555555555555556,Missy,11.0,0.45454545454545453,Natalie,9.0,0.3333333333333333
Baylor,Missy,9.0,1.0,Natalie,7.0,0.7142857142857143,Jon,8.0,0.625,Keith,9.0,0.5555555555555556,Jaclyn,12.0,0.5
Jon,Jaclyn,8.0,1.0,Baylor,8.0,0.625,Missy,9.0,0.5555555555555556,Natalie,7.0,0.42857142857142855,Alec,5.0,0.4
Alec,Wes,6.0,0.8333333333333334,Keith,5.0,0.8,Jaclyn,8.0,0.5,Josh,4.0,0.5,Reed,4.0,0.5
Reed,Keith,5.0,0.6,Alec,4.0,0.5,Jaclyn,4.0,0.25,Baylor,4.0,0.25,Missy,5.0,0.2
Wes,Alec,6.0,0.8333333333333334,Josh,4.0,0.75,Baylor,6.0,0.5,Jaclyn,6.0,0.16666666666666666,,,
Josh,Wes,4.0,0.75,Jaclyn,4.0,0.5,Baylor,4.0,0.5,Alec,4.0,0.5,,,
Dale,Baylor,5.0,0.4,Jaclyn,5.0,0.0,,,,,,,,,
