,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Switched Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee,Sole_Survivor,Made_Finale,Voted_Off,Made_Merge,Tm_IC,Tm_IC_W,Idv_IC,Idv_IC_W,Weeks_Played,Votes_Around,Votes_Safe,Votes_Cast,Votes_Sat_Out,Vote_Boot,Vote_Wrong,Wgt_Avg_IC,Wgt_Avg_Idv_IC,Final_Votes,Votes_Against
0,Nadiya Anderson,Nadiya,[],28,Edgewater,NJ,Natalie's twin sister,Coyopa,,,1st Voted OutDay 3,5,18.0,False,False,False,1,False,1,0,0,0,2,1,0,1,0,0,1,0.0,,0,5
1,Val Collins,Val,[],35,Foxboro,MA,Jeremy's wife,Coyopa,,,2nd Voted OutDay 6,9,17.0,False,False,False,2,False,2,0,0,0,3,2,0,2,0,0,2,0.0,,0,4
2,John Rocker,John,[],39,Atlanta,GA,Julie's boyfriend,Coyopa,,,3rd Voted OutDay 8,5,16.0,False,False,False,3,False,3,0,0,0,4,3,0,3,0,1,2,0.0,,0,5
3,Drew Christy,Drew,[],25,Winter Park,FL,Alec's brother,Hunahpu,,,4th Voted OutDay 10,5,15.0,False,False,False,4,False,4,3,0,0,5,4,3,1,0,0,1,0.75,,0,5
4,Kelley Wentworth,Kelley,[],27,Seattle,WA,Dale's daughter,Hunahpu,Coyopa,,5th Voted OutDay 13,4,14.0,False,False,False,5,False,5,3,0,0,6,5,3,2,0,1,1,0.6,,0,4
5,Dale Wentworth,Dale,[],55,Ephrata,WA,Kelley's father,Coyopa,Coyopa,,6th Voted OutDay 15,8,13.0,False,False,False,6,False,6,1,0,0,7,6,1,5,0,2,3,0.16666666666666666,,0,8
6,Julie McGee,Julie,[],34,Atlanta,GA,John's girlfriend,Hunahpu,Hunahpu,Huyopa,QuitDay 18,2,12.0,False,False,False,7,True,6,5,0,0,7,6,5,1,0,1,0,0.8333333333333334,,0,2
7,Josh Canfield,Josh,[],32,New York City,NY,Reed's boyfriend,Coyopa,Hunahpu,Huyopa,7th Voted Out 1st Jury MemberDay 21,6,11.0,False,False,False,8,True,6,3,2,0,9,7,3,4,0,2,2,0.375,0.0,0,6
8,Jeremy Collins,Jeremy,[],36,Foxboro,MA,Val's husband,Hunahpu,Hunahpu,Huyopa,8th Voted Out 2nd Jury MemberDay 24,5,10.0,False,False,False,9,True,6,5,3,1,10,8,5,3,0,2,1,1.6666666666666667,3.3333333333333335,0,5
9,Wes Nale,Wes,[],23,Shreveport,LA,Keith's son,Coyopa,Hunahpu,Huyopa,9th Voted Out 3rd Jury MemberDay 26,2,9.0,False,False,False,10,True,6,3,4,0,11,9,3,6,0,3,3,0.3,0.0,0,2
10,Reed Kelly,Reed,[],31,New York City,NY,Josh's boyfriend,Hunahpu,Hunahpu,Huyopa,10th Voted Out 4th Jury MemberDay 29,10,8.0,False,False,False,11,True,6,5,5,1,12,10,5,5,0,1,4,1.1818181818181819,1.6,0,10
11,Alec Christy,Alec,[],22,Winter Park,FL,Drew's brother,Coyopa,Hunahpu,Huyopa,11th Voted Out 5th Jury MemberDay 32,4,7.0,False,False,False,12,True,6,3,6,0,13,11,3,8,0,3,5,0.25,0.0,0,4
12,Jon Misch,Jon,[],26,Waterford,MI,Jaclyn's boyfriend,Hunahpu,Coyopa,Huyopa,12th Voted Out 6th Jury MemberDay 35,8,6.0,False,False,False,13,True,6,3,7,1,14,12,3,9,0,5,4,0.6923076923076923,0.8571428571428571,0,6
13,Baylor Wilson,Baylor,[],20,Nashville,TN,Missy's daughter,Coyopa,Coyopa,Huyopa,13th Voted Out 7th Jury MemberDay 37,17,5.0,False,False,False,14,True,6,1,8,1,15,13,1,12,0,8,4,0.7142857142857143,1.125,0,16
14,Keith Nale,Keith,[],53,Shreveport,LA,Wes's father,Hunahpu,Coyopa,Huyopa,14th Voted Out 8th Jury MemberDay 38,16,4.0,False,False,False,15,True,6,3,9,3,16,14,3,11,0,4,7,1.6,2.3333333333333335,0,16
15,Missy Payne,Missy,[],46,Dallas,TX,Baylor's mother,Hunahpu,Coyopa,Huyopa,SecondRunner-Up,3,3.0,False,False,True,16,True,6,3,9,0,17,14,3,11,0,7,4,0.2,0.0,1,3
16,Jaclyn Schultz,Jaclyn,[],25,Las Vegas,NV,Jon's girlfriend,Coyopa,Coyopa,Huyopa,Runner-Up,6,2.0,False,False,True,16,True,6,1,9,1,17,14,1,13,0,9,4,0.26666666666666666,0.3333333333333333,2,5
17,Natalie Anderson,Natalie,[],28,Edgewater,NJ,Nadiya's twin sister,Hunahpu,Hunahpu,Huyopa,Sole Survivor,0,1.0,False,True,True,16,True,6,5,9,1,17,14,5,9,0,7,2,0.6666666666666666,0.5555555555555556,5,0
