,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Jaclyn,Baylor,0.0,0.0,1.0,,1.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
Jaclyn,Alec,0.0,1.0,1.0,,,,,0.0,0.0,0.0,1.0,1.0,,,
Jaclyn,Wes,0.0,0.0,1.0,,,,,0.0,0.0,0.0,,,,,
Jaclyn,Josh,1.0,0.0,1.0,,,,,0.0,,,,,,,
Jaclyn,Dale,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,
Jaclyn,John,0.0,1.0,0.0,,,,,,,,,,,,
Jaclyn,Val,1.0,1.0,,,,,,,,,,,,,
Jaclyn,Nadiya,1.0,,,,,,,,,,,,,,
Baylor,Alec,1.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,0.0,,,
Baylor,Wes,1.0,1.0,1.0,,,,,0.0,0.0,0.0,,,,,
Baylor,Josh,0.0,1.0,1.0,,,,,0.0,,,,,,,
Baylor,Dale,1.0,1.0,0.0,,0.0,0.0,,,,,,,,,
Baylor,John,1.0,0.0,0.0,,,,,,,,,,,,
Baylor,Val,0.0,0.0,,,,,,,,,,,,,
Baylor,Nadiya,0.0,,,,,,,,,,,,,,
Alec,Wes,1.0,0.0,1.0,,,,,1.0,1.0,1.0,,,,,
Alec,Josh,0.0,0.0,1.0,,,,,1.0,,,,,,,
Alec,Dale,1.0,0.0,0.0,,,,,,,,,,,,
Alec,John,1.0,1.0,0.0,,,,,,,,,,,,
Alec,Val,0.0,1.0,,,,,,,,,,,,,
Alec,Nadiya,0.0,,,,,,,,,,,,,,
Wes,Josh,0.0,1.0,1.0,,,,,1.0,,,,,,,
Wes,Dale,1.0,1.0,0.0,,,,,,,,,,,,
Wes,John,1.0,0.0,0.0,,,,,,,,,,,,
Wes,Val,0.0,0.0,,,,,,,,,,,,,
Wes,Nadiya,0.0,,,,,,,,,,,,,,
Josh,Dale,0.0,1.0,0.0,,,,,,,,,,,,
Josh,John,0.0,0.0,0.0,,,,,,,,,,,,
Josh,Val,1.0,0.0,,,,,,,,,,,,,
Josh,Nadiya,1.0,,,,,,,,,,,,,,
Dale,John,1.0,0.0,1.0,,,,,,,,,,,,
Dale,Val,0.0,0.0,,,,,,,,,,,,,
Dale,Nadiya,0.0,,,,,,,,,,,,,,
John,Val,0.0,1.0,,,,,,,,,,,,,
John,Nadiya,0.0,,,,,,,,,,,,,,
Val,Nadiya,1.0,,,,,,,,,,,,,,
Natalie,Missy,,,,1.0,,,,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Natalie,Keith,,,,0.0,,,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
Natalie,Jon,,,,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,,
Natalie,Reed,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,
Natalie,Jeremy,,,,1.0,,,,1.0,1.0,,,,,,
Natalie,Julie,,,,1.0,,,,,,,,,,,
Natalie,Kelley,,,,1.0,,,,,,,,,,,
Natalie,Drew,,,,0.0,,,,,,,,,,,
Missy,Keith,,,,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Missy,Jon,,,,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,
Missy,Reed,,,,0.0,,,,0.0,1.0,0.0,0.0,,,,
Missy,Jeremy,,,,1.0,,,,1.0,0.0,,,,,,
Missy,Julie,,,,1.0,,,,,,,,,,,
Missy,Kelley,,,,1.0,0.0,,,,,,,,,,
Missy,Drew,,,,0.0,,,,,,,,,,,
Keith,Jon,,,,0.0,1.0,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,,
