,,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Matthew,Rob,0.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
Matthew,Butch,0.0,,1.0,,,,0.0,1.0,1.0,1.0,0.0,1.0,0.0,
Matthew,Alex,0.0,,1.0,,,0.0,1.0,1.0,1.0,0.0,,,,
Matthew,Dave,0.0,,1.0,,,,0.0,0.0,,,,,,
Matthew,Roger,0.0,,1.0,,,,0.0,,,,,,,
Matthew,Daniel,1.0,,0.0,,,,,,,,,,,
Matthew,Ryan,1.0,,,,,,,,,,,,,
Rob,Butch,1.0,,1.0,,,,0.0,1.0,1.0,1.0,0.0,1.0,0.0,
Rob,Alex,1.0,,1.0,,,0.0,1.0,1.0,1.0,0.0,,,,
Rob,Dave,1.0,,1.0,,,,0.0,0.0,,,,,,
Rob,Roger,1.0,,1.0,,,,0.0,,,,,,,
Rob,Daniel,0.0,,0.0,,,,,,,,,,,
Rob,Ryan,0.0,,,,,,,,,,,,,
Butch,Alex,1.0,,1.0,,,,0.0,1.0,1.0,0.0,,,,
Butch,Dave,1.0,,1.0,,1.0,,1.0,0.0,,,,,,
Butch,Roger,1.0,,1.0,,1.0,,1.0,,,,,,,
Butch,Daniel,0.0,,0.0,,,,,,,,,,,
Butch,Ryan,0.0,,,,,,,,,,,,,
Alex,Dave,1.0,,1.0,,,,0.0,0.0,,,,,,
Alex,Roger,1.0,,1.0,,,,0.0,,,,,,,
Alex,Daniel,0.0,,0.0,,,,,,,,,,,
Alex,Ryan,0.0,,,,,,,,,,,,,
Dave,Roger,1.0,,1.0,,1.0,,1.0,,,,,,,
Dave,Daniel,0.0,,0.0,,,,,,,,,,,
Dave,Ryan,0.0,,,,,,,,,,,,,
Roger,Daniel,0.0,,0.0,,,,,,,,,,,
Roger,Ryan,0.0,,,,,,,,,,,,,
Daniel,Ryan,1.0,,,,,,,,,,,,,
Jenna,Heidi,,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,
Jenna,Christy,,0.0,,1.0,,,1.0,1.0,0.0,0.0,0.0,,,
Jenna,Deena,,1.0,,1.0,,1.0,1.0,1.0,0.0,,,,,
Jenna,Shawna,,1.0,,0.0,,0.0,,,,,,,,
Jenna,Jeanne,,1.0,,0.0,,,,,,,,,,
Jenna,JoAnna,,0.0,,0.0,,,,,,,,,,
Jenna,Janet,,0.0,,,,,,,,,,,,
Heidi,Christy,,0.0,,1.0,0.0,,1.0,1.0,0.0,0.0,0.0,,,
Heidi,Deena,,1.0,,1.0,,,1.0,1.0,0.0,,,,,
Heidi,Shawna,,1.0,,0.0,,,,,,,,,,
Heidi,Jeanne,,1.0,,0.0,0.0,,,,,,,,,
Heidi,JoAnna,,0.0,,0.0,,,,,,,,,,
Heidi,Janet,,0.0,,,,,,,,,,,,
Christy,Deena,,0.0,,1.0,,,1.0,1.0,1.0,,,,,
Christy,Shawna,,0.0,,0.0,,,,,,,,,,
Christy,Jeanne,,0.0,,0.0,1.0,,,,,,,,,
Christy,JoAnna,,0.0,,0.0,,,,,,,,,,
Christy,Janet,,1.0,,,,,,,,,,,,
Deena,Shawna,,1.0,,0.0,,0.0,,,,,,,,
Deena,Jeanne,,1.0,,0.0,,,,,,,,,,
Deena,JoAnna,,0.0,,0.0,,,,,,,,,,
Deena,Janet,,0.0,,,,,,,,,,,,
Shawna,Jeanne,,1.0,,0.0,,,,,,,,,,
Shawna,JoAnna,,0.0,,0.0,,,,,,,,,,
Shawna,Janet,,0.0,,,,,,,,,,,,
Jeanne,JoAnna,,0.0,,1.0,,,,,,,,,,
Jeanne,Janet,,0.0,,,,,,,,,,,,
JoAnna,Janet,,0.0,,,,,,,,,,,,
Butch,Heidi,,,,,1.0,,0.0,1.0,1.0,0.0,0.0,0.0,,
Butch,Christy,,,,,0.0,,0.0,1.0,0.0,1.0,1.0,,,
Butch,Jeanne,,,,,0.0,,,,,,,,,
Heidi,Dave,,,,,1.0,,0.0,0.0,,,,,,
Heidi,Roger,,,,,1.0,,0.0,,,,,,,
Christy,Dave,,,,,0.0,,0.0,0.0,,,,,,
Christy,Roger,,,,,0.0,,0.0,,,,,,,
Dave,Jeanne,,,,,0.0,,,,,,,,,
Roger,Jeanne,,,,,0.0,,,,,,,,,
Jenna,Matthew,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,
Jenna,Rob,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,
Jenna,Alex,,,,,,0.0,1.0,1.0,1.0,1.0,,,,
Matthew,Deena,,,,,,1.0,1.0,1.0,0.0,,,,,
Matthew,Shawna,,,,,,0.0,,,,,,,,
Rob,Deena,,,,,,1.0,1.0,1.0,0.0,,,,,
Rob,Shawna,,,,,,0.0,,,,,,,,
Alex,Deena,,,,,,0.0,1.0,1.0,0.0,,,,,
Alex,Shawna,,,,,,1.0,,,,,,,,
Jenna,Butch,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,
Jenna,Dave,,,,,,,0.0,0.0,,,,,,
Jenna,Roger,,,,,,,0.0,,,,,,,
Matthew,Heidi,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,,
Matthew,Christy,,,,,,,1.0,1.0,0.0,1.0,0.0,,,
Rob,Heidi,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,,
Rob,Christy,,,,,,,1.0,1.0,0.0,1.0,0.0,,,
Butch,Deena,,,,,,,0.0,1.0,0.0,,,,,
Heidi,Alex,,,,,,,1.0,1.0,1.0,1.0,,,,
