,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Switched Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee
0,Ryan Aiken,Ryan,[],23,Ellicott City,MD,Model,Tambaqui,,,1st Voted OutDay 3,4,16.0,False
1,Janet Koth,Janet,[],46,Manchester,MO,Homemaker,Jaburu,,,2nd Voted OutDay 6,5,15.0,False
2,Daniel Lue,Daniel,[],26,Houston,TX,Tax Accountant,Tambaqui,,,3rd Voted OutDay 9,7,14.0,False
3,JoAnna Ward,JoAnna,[],31,Orangeburg,SC,Guidance Counselor,Jaburu,,,4th Voted OutDay 12,4,13.0,False
4,Jeanne Hebert,Jeanne,[],40,North Attleboro,MA,Marketing Director,Jaburu,Tambaqui,,5th Voted OutDay 15,5,12.0,False
5,Shawna Mitchell,Shawna,[],23,Los Angeles,CA,Retail Saleswoman,Jaburu,Jaburu,,6th Voted OutDay 18,6,11.0,False
6,Roger Sexton,Roger,[],56,Valencia,CA,Construction Company VP,Tambaqui,Tambaqui,Jacaré,7th Voted OutDay 21,11,10.0,False
7,Dave Johnson,Dave,[],23,Pasadena,CA,Rocket Scientist,Tambaqui,Tambaqui,Jacaré,8th Voted Out1st Jury MemberDay 24,8,9.0,False
8,Deena Bennett,Deena,[],35,Riverside,CA,Deputy District Attorney,Jaburu,Jaburu,Jacaré,9th Voted Out2nd Jury MemberDay 27,6,8.0,False
9,Alex Bell,Alex,[],32,Los Angeles,CA,Triathlon Coach,Tambaqui,Jaburu,Jacaré,10th Voted Out3rd Jury MemberDay 30,6,7.0,False
10,Christy Smith,Christy,[],24,Basalt,CO,Children's Adventure Guide,Jaburu,Tambaqui,Jacaré,11th Voted Out4th Jury MemberDay 33,9,6.0,False
11,Heidi Strobel,Heidi,[],24,Jefferson City,MO,Gym Teacher,Jaburu,Tambaqui,Jacaré,12th Voted Out5th Jury MemberDay 36,3,5.0,False
12,Butch Lockley,Butch,[],50,Olney,IL,School Principal,Tambaqui,Tambaqui,Jacaré,13th Voted Out6th Jury MemberDay 37,5,4.0,False
13,Rob Cesternino,Rob,[],24,Wantagh,NY,Computer Projects Coordinator,Tambaqui,Jaburu,Jacaré,14th Voted Out7th Jury MemberDay 38,4,3.0,False
14,Matthew von Ertfelda,Matthew,[],33,Washington,D.,Restaurant Designer,Tambaqui,Jaburu,Jacaré,Runner-Up,6,2.0,False
15,Jenna Morasca,Jenna,[],21,Bridgeville,PA,Swimsuit Model,Jaburu,Jaburu,Jacaré,Sole Survivor,3,1.0,False
