,Alliance_1,Tribal Count_1,Index_1,Alliance_2,Tribal Count_2,Index_2,Alliance_3,Tribal Count_3,Index_3,Alliance_4,Tribal Count_4,Index_4,Alliance_5,Tribal Count_5,Index_5
Jenna,Heidi,8.0,1.0,Deena,6.0,0.8333333333333334,Alex,5.0,0.8,Matthew,8.0,0.75,Rob,8.0,0.75
Matthew,Rob,10.0,0.9,Jenna,8.0,0.75,Deena,4.0,0.75,Heidi,6.0,0.6666666666666666,Christy,5.0,0.6
Rob,Matthew,10.0,0.9,Jenna,8.0,0.75,Deena,4.0,0.75,Alex,7.0,0.7142857142857143,Butch,9.0,0.6666666666666666
Butch,Roger,4.0,1.0,Dave,5.0,0.8,Rob,9.0,0.6666666666666666,Alex,6.0,0.6666666666666666,Matthew,9.0,0.5555555555555556
Heidi,Jenna,8.0,1.0,Alex,4.0,1.0,Deena,5.0,0.8,Matthew,6.0,0.6666666666666666,Rob,6.0,0.6666666666666666
Christy,Deena,5.0,0.8,Matthew,5.0,0.6,Rob,5.0,0.6,Butch,6.0,0.5,Alex,4.0,0.5
Alex,Heidi,4.0,1.0,Jenna,5.0,0.8,Rob,7.0,0.7142857142857143,Butch,6.0,0.6666666666666666,Matthew,7.0,0.5714285714285714
Deena,Jenna,6.0,0.8333333333333334,Heidi,5.0,0.8,Christy,5.0,0.8,Matthew,4.0,0.75,Rob,4.0,0.75
Dave,Roger,4.0,1.0,Butch,5.0,0.8,Rob,4.0,0.5,Alex,4.0,0.5,Matthew,4.0,0.25
Roger,Butch,4.0,1.0,Dave,4.0,1.0,,,,,,,,,
