,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Stephenie,Bobby Jon,,,0.0,1.0,0.0,1.0,,0.0,0.0,1.0,,,,,,,,
Stephenie,Ibrehem,,,0.0,0.0,1.0,1.0,,1.0,0.0,0.0,,,,,,,,
Stephenie,James,,,1.0,1.0,0.0,1.0,,0.0,1.0,,,,,,,,,
Stephenie,Angie,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,
Stephenie,Kim,,,1.0,1.0,1.0,0.0,,,,,,,,,,,,
Stephenie,Jeff,,,1.0,1.0,0.0,,,,,,,,,,,,,
Stephenie,Ashlee,,,1.0,0.0,,,,,,,,,,,,,,
Stephenie,Jolanda,,,0.0,,,,,,,,,,,,,,,
Bobby Jon,Ibrehem,,,1.0,0.0,0.0,1.0,,0.0,1.0,0.0,,,,,,,,
Bobby Jon,James,,,0.0,1.0,1.0,1.0,,1.0,0.0,,,,,,,,,
Bobby Jon,Angie,,,0.0,1.0,0.0,1.0,,0.0,,,,,,,,,,
Bobby Jon,Kim,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,
Bobby Jon,Jeff,,,0.0,1.0,0.0,,,,,,,,,,,,,
Bobby Jon,Ashlee,,,0.0,0.0,,,,,,,,,,,,,,
Bobby Jon,Jolanda,,,1.0,,,,,,,,,,,,,,,
Ibrehem,James,,,0.0,0.0,0.0,1.0,,0.0,0.0,,,,,,,,,
Ibrehem,Angie,,,0.0,0.0,1.0,1.0,,1.0,,,,,,,,,,
Ibrehem,Kim,,,0.0,0.0,1.0,0.0,,,,,,,,,,,,
Ibrehem,Jeff,,,0.0,0.0,0.0,,,,,,,,,,,,,
Ibrehem,Ashlee,,,0.0,1.0,,,,,,,,,,,,,,
Ibrehem,Jolanda,,,1.0,,,,,,,,,,,,,,,
James,Angie,,,1.0,1.0,0.0,1.0,,0.0,,,,,,,,,,
James,Kim,,,1.0,1.0,0.0,0.0,,,,,,,,,,,,
James,Jeff,,,1.0,1.0,0.0,,,,,,,,,,,,,
James,Ashlee,,,1.0,0.0,,,,,,,,,,,,,,
James,Jolanda,,,0.0,,,,,,,,,,,,,,,
Angie,Kim,,,1.0,1.0,1.0,0.0,,,,,,,,,,,,
Angie,Jeff,,,1.0,1.0,0.0,,,,,,,,,,,,,
Angie,Ashlee,,,1.0,0.0,,,,,,,,,,,,,,
Angie,Jolanda,,,0.0,,,,,,,,,,,,,,,
Kim,Jeff,,,1.0,1.0,0.0,,,,,,,,,,,,,
Kim,Ashlee,,,1.0,0.0,,,,,,,,,,,,,,
Kim,Jolanda,,,0.0,,,,,,,,,,,,,,,
Jeff,Ashlee,,,1.0,0.0,,,,,,,,,,,,,,
Jeff,Jolanda,,,0.0,,,,,,,,,,,,,,,
Ashlee,Jolanda,,,0.0,,,,,,,,,,,,,,,
Tom,Katie,,,,,,,1.0,,,,,1.0,,1.0,1.0,1.0,,
Tom,Ian,,,,,,,1.0,,,,,1.0,,1.0,1.0,1.0,,
Tom,Jenn,,,,,,,1.0,,,,,1.0,,1.0,0.0,1.0,,
Tom,Caryn,,,,,,,1.0,,,,,1.0,,1.0,1.0,0.0,,
Tom,Gregg,,,,,,,1.0,,,,,1.0,,1.0,0.0,,,
Tom,Janu,,,,,,,1.0,,,,,0.0,,,,,,
Tom,Coby,,,,,,,1.0,,,,,0.0,,,,,,
Tom,Willard,,,,,,,0.0,,,,,,,,,,,
Katie,Ian,,,,,,,1.0,,,,,1.0,,1.0,1.0,1.0,,
Katie,Jenn,,,,,,,1.0,,,,,1.0,,1.0,0.0,1.0,,
Katie,Caryn,,,,,,,1.0,,,,,1.0,,1.0,1.0,0.0,,
