,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Joel,Mikey B.,,1.0,,0.0,,,,,,,,,,,,,,
Joel,Mary,,1.0,,,,,,,,,,,,,,,,
Mikey B.,Mary,,1.0,,,,,,,,,,,,,,,,
Amanda,Erik,,,,,0.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,,
Amanda,Tracy,,,,,1.0,,0.0,,0.0,,,,,,,,,
Amanda,Chet,,,,,1.0,,0.0,,,,,,,,,,,
Amanda,Joel,,,,,0.0,,,,,,,,,,,,,
Cirie,Erik,,,,,0.0,,1.0,,1.0,1.0,1.0,0.0,1.0,,1.0,0.0,,
Cirie,Tracy,,,,,1.0,,0.0,,0.0,,,,,,,,,
Cirie,Chet,,,,,1.0,,0.0,,,,,,,,,,,
Cirie,Joel,,,,,0.0,,,,,,,,,,,,,
Erik,Ozzy,,,,,0.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,
Erik,Ami,,,,,0.0,,1.0,,1.0,0.0,,,,,,,,
Ozzy,Tracy,,,,,1.0,,0.0,,0.0,,,,,,,,,
Ozzy,Chet,,,,,1.0,,0.0,,,,,,,,,,,
Ozzy,Joel,,,,,0.0,,,,,,,,,,,,,
Ami,Tracy,,,,,1.0,,0.0,,0.0,,,,,,,,,
Ami,Chet,,,,,1.0,,0.0,,,,,,,,,,,
Ami,Joel,,,,,0.0,,,,,,,,,,,,,
Parvati,Natalie,,,,,,,,,,,1.0,1.0,0.0,,0.0,1.0,0.0,
Parvati,Erik,,,,,,,,,,,1.0,0.0,1.0,,0.0,0.0,,
Parvati,Alexis,,,,,,,,,,,1.0,1.0,0.0,,0.0,,,
Parvati,Jason,,,,,,,,,,,0.0,1.0,0.0,,,,,
Amanda,Natalie,,,,,,,,,,,1.0,0.0,0.0,,0.0,1.0,0.0,
Amanda,Alexis,,,,,,,,,,,1.0,0.0,0.0,,0.0,,,
Amanda,Jason,,,,,,,,,,,0.0,0.0,0.0,,,,,
Cirie,Natalie,,,,,,,,,,,1.0,1.0,0.0,,1.0,1.0,0.0,
Cirie,Alexis,,,,,,,,,,,1.0,1.0,0.0,,1.0,,,
Cirie,Jason,,,,,,,,,,,0.0,1.0,0.0,,,,,
Natalie,James,,,,,,,,,,,1.0,0.0,0.0,,,,,
Natalie,Ozzy,,,,,,,,,,,1.0,0.0,,,,,,
Natalie,Eliza,,,,,,,,,,,0.0,,,,,,,
Erik,James,,,,,,,,,,,1.0,1.0,0.0,,,,,
Erik,Eliza,,,,,,,,,,,0.0,,,,,,,
Alexis,James,,,,,,,,,,,1.0,0.0,0.0,,,,,
Alexis,Ozzy,,,,,,,,,,,1.0,0.0,,,,,,
Alexis,Eliza,,,,,,,,,,,0.0,,,,,,,
James,Jason,,,,,,,,,,,0.0,0.0,0.0,,,,,
Jason,Ozzy,,,,,,,,,,,0.0,0.0,,,,,,
Jason,Eliza,,,,,,,,,,,1.0,,,,,,,
