,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Switched Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee
0,Jon Dalton,Jon,['Pearl Islands'],33,Los Angeles,CA,,Malakal,,,1st Voted OutDay 3,9,20.0,True
1,Mary Sartain,Mary,[],28,Emeryville,CA,Real Estate Manager,Airai,,,2nd Voted OutDay 6,6,19.0,False
2,Yau-Man Chan,Yau-Man,['Fiji'],55,Martinez,CA,,Malakal,,,3rd Voted OutDay 8,6,18.0,True
3,Mikey Bortone,Mikey B.,[],33,Los Angeles,CA,Aspiring Writer,Airai,,,4th Voted OutDay 11,6,17.0,False
4,Joel Anderson,Joel,[],32,Avondale,AZ,Firefighter,Airai,Malakal,,5th Voted OutDay 14,6,16.0,False
5,Jonathan Penner,Jonathan,['Cook Islands'],45,Los Angeles,CA,,Malakal,Airai,,EvacuatedDay 15,0,15.0,True
6,Chet Welch,Chet,[],48,Ford City,PA,Pageant Coach,Airai,Malakal,,6th Voted OutDay 17,12,14.0,False
7,Kathy Sleckman,Kathy,[],45,Glen Ellyn,IL,Golf Course Vendor,Airai,Airai,,QuitDay 19,0,13.0,False
8,Tracy Hughes-Wolf,Tracy,[],43,Fredericksburg,VA,Residential Builder,Airai,Malakal,,7th Voted OutDay 20,7,12.0,False
9,Ami Cusack,Ami,['Vanuatu'],34,Golden,CO,,Malakal,Malakal,,8th Voted OutDay 21,4,11.0,True
10,Eliza Orlins,Eliza,['Vanuatu'],24,Manhattan,NY,,Malakal,Airai,Dabu,9th Voted Out1st Jury MemberDay 24,8,10.0,True
11,Ozzy Lusth,Ozzy,['Cook Islands'],26,Venice,CA,,Malakal,Malakal,Dabu,10th Voted Out2nd Jury MemberDay 27,9,9.0,True
12,Jason Siska,Jason,[],22,Fox River Grove,IL,Gymnastics Coach,Airai,Airai,Dabu,11th Voted Out3rd Jury MemberDay 30,8,8.0,False
13,James Clement,James,['China'],30,Lafayette,LA,,Malakal,Airai,Dabu,Evacuated4th Jury MemberDay 31,3,7.0,True
14,Alexis Jones,Alexis,[],24,Beverly Hills,CA,Motivational Speaker,Airai,Airai,Dabu,12th Voted Out5th Jury MemberDay 33,2,6.0,False
15,Erik Reichenbach,Erik,[],21,Ypsilanti,MI,Ice Cream Scooper,Airai,Malakal,Dabu,13th Voted Out6th Jury MemberDay 36,7,5.0,False
16,Natalie Bolton,Natalie,[],31,West Hollywood,CA,Personal Trainer,Airai,Airai,Dabu,14th Voted Out7th Jury MemberDay 37,3,4.0,False
17,Cirie Fields,Cirie,['Panama'],37,Norwalk,CT,,Malakal,Malakal,Dabu,15th Voted Out8th Jury MemberDay 38,3,3.0,True
18,Amanda Kimmel,Amanda,['China'],23,Los Angeles,CA,,Malakal,Malakal,Dabu,Runner-Up,4,2.0,True
19,Parvati Shallow,Parvati,['Cook Islands'],25,Los Angeles,CA,,Malakal,Airai,Dabu,Sole Survivor,4,1.0,True
