,Alliance_1,Tribal Count_1,Index_1,Alliance_2,Tribal Count_2,Index_2,Alliance_3,Tribal Count_3,Index_3,Alliance_4,Tribal Count_4,Index_4,Alliance_5,Tribal Count_5,Index_5
Wendell,Domenick,9.0,1.0,Laurel,9.0,0.6666666666666666,Sebastian,6.0,0.6666666666666666,Donathan,8.0,0.5,Michael,4.0,0.5
Domenick,Wendell,9.0,1.0,Libby,4.0,0.75,Laurel,9.0,0.6666666666666666,Sebastian,6.0,0.6666666666666666,Donathan,9.0,0.5555555555555556
Laurel,Jenna,5.0,0.8,Wendell,9.0,0.6666666666666666,Domenick,9.0,0.6666666666666666,Michael,6.0,0.6666666666666666,Libby,5.0,0.6
Angela,Kellyn,5.0,0.6,Sebastian,6.0,0.5,Chelsea,4.0,0.5,Wendell,7.0,0.42857142857142855,Domenick,7.0,0.42857142857142855
Donathan,Libby,5.0,1.0,Jenna,5.0,0.8,Michael,4.0,0.75,Sebastian,7.0,0.5714285714285714,Laurel,9.0,0.5555555555555556
Sebastian,Kellyn,7.0,0.7142857142857143,Jenna,6.0,0.6666666666666666,Wendell,6.0,0.6666666666666666,Domenick,6.0,0.6666666666666666,Michael,5.0,0.6
Kellyn,Chelsea,6.0,0.8333333333333334,Sebastian,7.0,0.7142857142857143,Michael,7.0,0.7142857142857143,Desiree,6.0,0.6666666666666666,Jenna,5.0,0.6
Chelsea,Kellyn,6.0,0.8333333333333334,Desiree,5.0,0.8,Michael,5.0,0.6,Sebastian,7.0,0.5714285714285714,Laurel,4.0,0.5
Michael,Donathan,4.0,0.75,Libby,4.0,0.75,Jenna,7.0,0.7142857142857143,Kellyn,7.0,0.7142857142857143,Laurel,6.0,0.6666666666666666
Jenna,Laurel,5.0,0.8,Donathan,5.0,0.8,Libby,4.0,0.75,Stephanie,4.0,0.75,Michael,7.0,0.7142857142857143
Desiree,Chelsea,5.0,0.8,Kellyn,6.0,0.6666666666666666,Michael,6.0,0.5,Sebastian,5.0,0.4,Jenna,5.0,0.2
Libby,Donathan,5.0,1.0,Michael,4.0,0.75,Jenna,4.0,0.75,Domenick,4.0,0.75,Laurel,5.0,0.6
Stephanie,Jenna,4.0,0.75,Michael,4.0,0.5,,,,,,,,,
