,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Switched Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee
0,Kourtney Moon,Kourtney,[],29,Austin,TX,Motorcycle Repairwoman,Salani,,,EvacuatedDay 3,0,18.0,False
1,Nina Acosta,Nina,[],51,Clovis,CA,Retired LAPD Officer,Salani,,,1st Voted OutDay 5,6,17.0,False
2,Matt Quinlan,Matt,[],33,San Francisco,CA,Attorney,Manono,,,2nd Voted OutDay 8,7,16.0,False
3,Bill Posley,Bill,[],27,Venice,CA,Stand-Up Comedian,Manono,,,3rd Voted OutDay 11,8,15.0,False
4,Monica Culpepper,Monica,[],41,Tampa,FL,Ex-NFL Player's Wife,Salani,Manono,,4th Voted OutDay 14,5,14.0,False
5,Colton Cumbie,Colton,[],20,Monroeville,AL,Student,Manono,Manono,,EvacuatedDay 16,1,13.0,False
6,Jonas Otsuji,Jonas,[],37,Lehi,UT,Sushi Chef,Manono,Manono,Tikiano,5th Voted Out1st Jury MemberDay 20,10,12.0,False
7,Michael Jefferson,Michael,[],29,Seattle,WA,Banker,Manono,Salani,Tikiano,6th Voted Out2nd Jury MemberDay 22,9,11.0,False
8,Jay Byars,Jay,[],24,Gaffney,SC,Model,Manono,Salani,Tikiano,7th Voted Out3rd Jury MemberDay 25,5,10.0,False
9,Leif Manson,Leif,[],27,San Diego,CA,Phlebotomist,Manono,Manono,Tikiano,8th Voted Out4th Jury MemberDay 27,5,9.0,False
10,Troyzan Robertson,Troyzan,[],50,Miami,FL,Swimsuit Photographer,Manono,Salani,Tikiano,9th Voted Out5th Jury MemberDay 30,6,8.0,False
11,Kat Edorsson,Kat,[],22,Orlando,FL,Timeshare Representative,Salani,Salani,Tikiano,10th Voted Out6th Jury MemberDay 33,7,7.0,False
12,Tarzan Smith,Tarzan,[],63,Houston,TX,Plastic Surgeon,Manono,Manono,Tikiano,11th Voted Out7th Jury MemberDay 36,12,6.0,False
13,Alicia Rosa,Alicia,[],24,Chicago,IL,Special Education Teacher,Salani,Manono,Tikiano,12th Voted Out8th Jury MemberDay 37,5,5.0,False
14,Christina Cha,Christina,[],28,West Hollywood,CA,Career Consultant,Salani,Manono,Tikiano,13th Voted Out9th Jury MemberDay 38,9,4.0,False
15,Chelsea Meissner,Chelsea,[],26,Charleston,SC,Medical Saleswoman,Salani,Salani,Tikiano,SecondRunner-Up,4,3.0,False
16,Sabrina Thompson,Sabrina,[],33,Brooklyn,NY,High School Teacher,Salani,Salani,Tikiano,Runner-Up,2,2.0,False
17,Kim Spradlin,Kim,[],28,San Antonio,TX,Bridal Shop Owner,Salani,Salani,Tikiano,Sole Survivor,3,1.0,False
