,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Kim,Sabrina,,1.0,,,,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
Kim,Chelsea,,1.0,,,,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Kim,Christina,,1.0,,,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
Kim,Alicia,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
Kim,Kat,,1.0,,,,,1.0,1.0,0.0,0.0,1.0,0.0,,,
Kim,Monica,,0.0,,,,,,,,,,,,,
Kim,Nina,,0.0,,,,,,,,,,,,,
Sabrina,Chelsea,,1.0,,,,,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
Sabrina,Christina,,1.0,,,,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Sabrina,Alicia,,1.0,,,,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,
Sabrina,Kat,,1.0,,,,,1.0,1.0,0.0,1.0,0.0,0.0,,,
Sabrina,Monica,,0.0,,,,,,,,,,,,,
Sabrina,Nina,,0.0,,,,,,,,,,,,,
Chelsea,Christina,,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Chelsea,Alicia,,1.0,,,,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,
Chelsea,Kat,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,0.0,,,
Chelsea,Monica,,0.0,,,,,,,,,,,,,
Chelsea,Nina,,0.0,,,,,,,,,,,,,
Christina,Alicia,,1.0,,,0.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,
Christina,Kat,,1.0,,,,,1.0,1.0,0.0,0.0,0.0,0.0,,,
Christina,Monica,,0.0,,,1.0,,,,,,,,,,
Christina,Nina,,0.0,,,,,,,,,,,,,
