,Idx,Episode,Air date,Reward,Immunity,Eliminated(Vote),Finish,Viewership(in millions),Rating/Share(18-49),Immunity_2
0,1,"""Slay Everyone, Trust No One""","February 11, 2010",Heroes,Villains,"['Sugar', '9-1']",1st Voted OutDay 3,14.15,4.5/12,['Villains']
1,2,"""It's Getting the Best of Me""","February 18, 2010",Villains,Villains,"['Stephenie', '6-3']",2nd Voted OutDay 6,11.97,3.9/11,['Villains']
2,3,"""That Girl Is Like a Virus""","February 25, 2010",Heroes,Heroes,"['Randy', '9-1']",3rd Voted OutDay 8,11.60,3.7/10,['Heroes']
3,4,"""Tonight, We Make Our Move""","March 4, 2010",Villains,Villains,"['Cirie', '3-2-0']",4th Voted OutDay 11,12.72,3.8/11,['Villains']
4,5,"""Knights of the Round Table""","March 11, 2010",Villains,Villains,"['Tom', '5-2']",5th Voted OutDay 14,12.12,3.6/11,['Villains']
5,6,"""Banana Etiquette""","March 24, 2010",Villains,Rob,"['Tyson', '3-2-0']",6th Voted OutDay 15,11.15,3.4/11,['Rob']
6,6,"""Banana Etiquette""","March 24, 2010",Villains,Candice,"['James', '5-1']",7th Voted OutDay 15,11.15,3.4/11,['Candice']
7,7,"""I'm Not a Good Villain""","April 1, 2010",Heroes,Heroes,"['Rob', '4-3-1']",8th Voted OutDay 18,11.26,3.5/13,['Heroes']
8,8,"""Expectations""","April 8, 2010",Heroes,Heroes,"['Coach', '4-3']",9th Voted Out1st Jury MemberDay 21,11.28,3.8/12,['Heroes']
9,9,"""Survivor History""","April 15, 2010",Villains,Heroes,"['Courtney', '5-1']",10th Voted Out2nd Jury MemberDay 24,12.31,3.8/12,['Heroes']
10,10,"""Going Down in Flames""","April 22, 2010",None,Danielle,"['J.T.', '5-0']",11th Voted Out3rd Jury MemberDay 27,11.89,3.6/11,['Danielle']
11,11,"""Jumping Ship""","April 29, 2010","Amanda,Colby,Danielle",Jerri,"['Amanda', '6-3']",12th Voted Out4th Jury MemberDay 30,12.74,4.1/13,['Jerri']
12,12,"""A Sinking Ship""","May 6, 2010",None,Parvati,"['Candice', '5-3']",13th Voted Out5th Jury MemberDay 31,13.06,4.1/14,['Parvati']
13,12,"""A Sinking Ship""","May 6, 2010",None,Russell,"['Danielle', '4-3']",14th Voted Out6th Jury MemberDay 33,13.06,4.1/14,['Russell']
14,13,"""Loose Lips Sink Ships""","May 13, 2010","Jerri[Parvati,Sandra]",Parvati,"['Rupert', '4-0']",15th Voted Out7th Jury MemberDay 36,13.28,4.1/13,['Parvati']
15,14,"""Anything Could Happen""","May 16, 2010",None,Parvati,"['Colby', '4-1']",16th Voted Out8th Jury MemberDay 37,13.46,4.2/11,['Parvati']
16,14,"""Anything Could Happen""","May 16, 2010",None,Russell,"['Jerri', '3-1']",17th Voted Out9th Jury MemberDay 38,13.46,4.2/11,['Russell']
17,14,"""Anything Could Happen""","May 16, 2010",Jury Vote,Jury Vote,"['Russell', '6-3-0']",Second Runner-Up,13.46,4.2/11,[]
18,14,"""Anything Could Happen""","May 16, 2010",Jury Vote,Jury Vote,"['Parvati', '6-3-0']",Runner-Up,13.46,4.2/11,[]
19,14,"""Anything Could Happen""","May 16, 2010",Jury Vote,Jury Vote,"['Sandra', '6-3-0']",Sole Survivor,13.46,4.2/11,[]
20,15,"""Reunion""","May 16, 2010",,,,,10.65,3.6/10,[]
