,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee
0,Sugar Kiper,Sugar,['Gabon'],30,Los Angeles,CA,,Heroes,,1st Voted OutDay 3,9,20.0,True
1,Stephenie LaGrossa,Stephenie,"['Palau', 'Guatemala']",29,Philadelphia,PA,,Heroes,,2nd Voted OutDay 6,6,19.0,True
2,Randy Bailey,Randy,['Gabon'],50,Austin,TX,,Villains,,3rd Voted OutDay 8,9,18.0,True
3,Cirie Fields,Cirie,"['Panama', 'Micronesia']",39,Norwalk,CT,,Heroes,,4th Voted OutDay 11,3,17.0,True
4,Tom Westman,Tom,['Palau'],45,New York City,NY,,Heroes,,5th Voted OutDay 14,8,16.0,True
5,Tyson Apostol,Tyson,['Tocantins'],30,Heber City,UT,,Villains,,6th Voted OutDay 15,3,15.0,True
6,James Clement,James,"['China', 'Micronesia']",32,Lafayette,LA,,Heroes,,7th Voted OutDay 15,7,14.0,True
7,Rob Mariano,Rob,"['Marquesas', 'All-Stars']",33,Pensacola,FL,,Villains,,8th Voted OutDay 18,5,13.0,True
8,Coach Wade,Coach,['Tocantins'],37,Susanville,CA,,Villains,,9th Voted Out1st Jury MemberDay 21,4,12.0,True
9,Courtney Yates,Courtney,['China'],28,New York City,NY,,Villains,,10th Voted Out2nd Jury MemberDay 24,9,11.0,True
10,J.T. Thomas,J.T.,['Tocantins'],25,Mobile,AL,,Heroes,Yin Yang,11th Voted Out3rd Jury MemberDay 27,5,10.0,True
11,Amanda Kimmel,Amanda,"['China', 'Micronesia']",25,Los Angeles,CA,,Heroes,Yin Yang,12th Voted Out4th Jury MemberDay 30,10,9.0,True
12,Candice Woodcock,Candice,['Cook Islands'],26,Washington,D.,,Heroes,Yin Yang,13th Voted Out5th Jury MemberDay 31,5,8.0,True
13,Danielle DiLorenzo,Danielle,['Panama'],28,Los Angeles,CA,,Villains,Yin Yang,14th Voted Out6th Jury MemberDay 33,4,7.0,True
14,Rupert Boneham,Rupert,"['Pearl Islands', 'All-Stars']",45,Indianapolis,IN,,Heroes,Yin Yang,15th Voted Out7th Jury MemberDay 36,10,6.0,True
15,Colby Donaldson,Colby,"['The Australian Outback', 'All-Stars']",35,Los Angeles,CA,,Heroes,Yin Yang,16th Voted Out8th Jury MemberDay 37,7,5.0,True
16,Jerri Manthey,Jerri,"['The Australian Outback', 'All-Stars']",38,Los Angeles,CA,,Villains,Yin Yang,17th Voted Out9th Jury MemberDay 38,9,4.0,True
17,Russell Hantz,Russell,['Samoa'],36,Dayton,TX,,Villains,Yin Yang,SecondRunner-Up,5,3.0,True
18,Parvati Shallow,Parvati,"['Cook Islands', 'Micronesia']",26,Los Angeles,CA,,Villains,Yin Yang,Runner-Up,8,2.0,True
19,Sandra Diaz-Twine,Sandra,['Pearl Islands'],35,Fayetteville,NC,,Villains,Yin Yang,Sole Survivor,3,1.0,True
