,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee,Sole_Survivor,Made_Finale,Voted_Off,Made_Merge,Tm_IC,Tm_IC_W,Idv_IC,Idv_IC_W,Weeks_Played,Votes_Around,Votes_Safe,Votes_Cast,Votes_Sat_Out,Vote_Boot,Vote_Wrong,Wgt_Avg_IC,Wgt_Avg_Idv_IC,Final_Votes,Votes_Against
0,Sugar Kiper,Sugar,['Gabon'],30,Los Angeles,CA,,Heroes,,1st Voted OutDay 3,9,20.0,True,False,False,1,False,1,0,0,0,2,1,0,1,0,0,1,0.0,,0,9
1,Stephenie LaGrossa,Stephenie,"['Palau', 'Guatemala']",29,Philadelphia,PA,,Heroes,,2nd Voted OutDay 6,6,19.0,True,False,False,2,False,2,0,0,0,3,2,0,2,0,1,1,0.0,,0,6
2,Randy Bailey,Randy,['Gabon'],50,Austin,TX,,Villains,,3rd Voted OutDay 8,9,18.0,True,False,False,3,False,3,2,0,0,4,3,2,1,0,0,1,0.6666666666666666,,0,9
3,Cirie Fields,Cirie,"['Panama', 'Micronesia']",39,Norwalk,CT,,Heroes,,4th Voted OutDay 11,3,17.0,True,False,False,4,False,4,1,0,0,5,4,1,3,0,2,1,0.25,,0,3
4,Tom Westman,Tom,['Palau'],45,New York City,NY,,Heroes,,5th Voted OutDay 14,8,16.0,True,False,False,5,False,5,1,0,0,6,5,1,4,0,2,2,0.2,,0,8
5,Tyson Apostol,Tyson,['Tocantins'],30,Heber City,UT,,Villains,,6th Voted OutDay 15,3,15.0,True,False,False,6,False,5,4,1,0,7,6,4,2,0,1,1,0.6666666666666666,,0,3
6,James Clement,James,"['China', 'Micronesia']",32,Lafayette,LA,,Heroes,,7th Voted OutDay 15,7,14.0,True,False,False,7,False,5,1,2,0,8,7,2,5,0,3,2,0.14285714285714285,,0,7
7,Rob Mariano,Rob,"['Marquesas', 'All-Stars']",33,Pensacola,FL,,Villains,,8th Voted OutDay 18,5,13.0,True,False,False,8,False,6,4,2,1,9,8,5,3,0,1,2,1.5,,0,5
8,Coach Wade,Coach,['Tocantins'],37,Susanville,CA,,Villains,,9th Voted Out1st Jury MemberDay 21,4,12.0,True,False,False,9,False,7,4,2,0,10,9,5,4,0,1,3,0.4444444444444444,,0,4
9,Courtney Yates,Courtney,['China'],28,New York City,NY,,Villains,,10th Voted Out2nd Jury MemberDay 24,9,11.0,True,False,False,10,False,8,4,2,0,11,10,5,5,0,2,3,0.4,,0,9
10,J.T. Thomas,J.T.,['Tocantins'],25,Mobile,AL,,Heroes,Yin Yang,11th Voted Out3rd Jury MemberDay 27,5,10.0,True,False,False,11,True,8,4,3,0,12,11,5,6,0,5,1,0.36363636363636365,0.0,0,5
11,Amanda Kimmel,Amanda,"['China', 'Micronesia']",25,Los Angeles,CA,,Heroes,Yin Yang,12th Voted Out4th Jury MemberDay 30,10,9.0,True,False,False,12,True,8,4,4,0,13,12,5,7,0,4,3,0.3333333333333333,0.0,0,10
12,Candice Woodcock,Candice,['Cook Islands'],26,Washington,D.,,Heroes,Yin Yang,13th Voted Out5th Jury MemberDay 31,5,8.0,True,False,False,13,True,8,4,5,1,14,13,5,8,0,5,3,0.6923076923076923,0.0,0,5
13,Danielle DiLorenzo,Danielle,['Panama'],28,Los Angeles,CA,,Villains,Yin Yang,14th Voted Out6th Jury MemberDay 33,4,7.0,True,False,False,14,True,8,4,6,1,15,14,5,9,0,7,2,0.9285714285714286,2.25,0,4
14,Rupert Boneham,Rupert,"['Pearl Islands', 'All-Stars']",45,Indianapolis,IN,,Heroes,Yin Yang,15th Voted Out7th Jury MemberDay 36,10,6.0,True,False,False,15,True,8,4,7,0,16,15,5,10,0,6,4,0.26666666666666666,0.0,0,10
15,Colby Donaldson,Colby,"['The Australian Outback', 'All-Stars']",35,Los Angeles,CA,,Heroes,Yin Yang,16th Voted Out8th Jury MemberDay 37,7,5.0,True,False,False,16,True,8,4,8,0,17,16,5,11,0,5,6,0.25,0.0,0,7
16,Jerri Manthey,Jerri,"['The Australian Outback', 'All-Stars']",38,Los Angeles,CA,,Villains,Yin Yang,17th Voted Out9th Jury MemberDay 38,9,4.0,True,False,False,17,True,8,4,9,1,18,17,5,12,0,9,3,0.7058823529411765,1.1428571428571428,0,9
17,Russell Hantz,Russell,['Samoa'],36,Dayton,TX,,Villains,Yin Yang,SecondRunner-Up,5,3.0,True,False,True,18,True,8,4,9,2,19,17,5,12,0,11,1,0.7647058823529411,1.2857142857142858,0,5
18,Parvati Shallow,Parvati,"['Cook Islands', 'Micronesia']",26,Los Angeles,CA,,Villains,Yin Yang,Runner-Up,8,2.0,True,False,True,18,True,8,4,9,3,19,17,5,12,0,10,2,1.1764705882352942,2.2857142857142856,3,8
19,Sandra Diaz-Twine,Sandra,['Pearl Islands'],35,Fayetteville,NC,,Villains,Yin Yang,Sole Survivor,3,1.0,True,True,True,18,True,8,4,9,0,19,17,5,12,0,9,3,0.23529411764705882,0.0,6,3
