,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Jenna L.,Rupert,1.0,0.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,
Jenna L.,Jerri,1.0,1.0,,,,,,,,,,,,,,
Jenna L.,Ethan,0.0,1.0,,,,,,,,,,,,,,
Jenna L.,Rudy,1.0,0.0,,,,,,,,,,,,,,
Jenna L.,Tina,0.0,,,,,,,,,,,,,,,
Rupert,Jerri,1.0,0.0,,,,,,,,,,,,,,
Rupert,Ethan,0.0,0.0,,,,,,,,,,,,,,
Rupert,Rudy,1.0,1.0,,,,,,,,,,,,,,
Rupert,Tina,0.0,,,,,,,,,,,,,,,
Jerri,Ethan,0.0,1.0,,,1.0,,0.0,0.0,,,,,,,,
Jerri,Rudy,1.0,0.0,,,,,,,,,,,,,,
Jerri,Tina,0.0,,,,,,,,,,,,,,,
Ethan,Rudy,0.0,0.0,,,,,,,,,,,,,,
Ethan,Tina,1.0,,,,,,,,,,,,,,,
Rudy,Tina,0.0,,,,,,,,,,,,,,,
Amber,Rob M.,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,
Amber,Tom,,,,1.0,,,,,,1.0,1.0,1.0,1.0,0.0,,
Amber,Alicia,,,,1.0,,,,,,1.0,1.0,0.0,,,,
Amber,Susan,,,,1.0,,,,,,,,,,,,
Amber,Rob C.,,,,0.0,,,,,,,,,,,,
Rob M.,Tom,,,,1.0,,,,,,1.0,1.0,1.0,1.0,0.0,,
Rob M.,Alicia,,,,1.0,,,,,,1.0,1.0,0.0,,,,
Rob M.,Susan,,,,1.0,,,,,,,,,,,,
Rob M.,Rob C.,,,,0.0,,,,,,,,,,,,
Tom,Alicia,,,,1.0,,,,,,1.0,1.0,0.0,,,,
Tom,Susan,,,,1.0,,,,,,,,,,,,
Tom,Rob C.,,,,0.0,,,,,,,,,,,,
Alicia,Susan,,,,1.0,,,,,,,,,,,,
Alicia,Rob C.,,,,0.0,,,,,,,,,,,,
Susan,Rob C.,,,,0.0,,,,,,,,,,,,
Shii Ann,Kathy,,,,,1.0,,,1.0,1.0,0.0,1.0,,,,,
Shii Ann,Lex,,,,,1.0,,1.0,1.0,1.0,0.0,,,,,,
Shii Ann,Jerri,,,,,1.0,,1.0,1.0,0.0,,,,,,,
Shii Ann,Ethan,,,,,1.0,,0.0,0.0,,,,,,,,
Shii Ann,Colby,,,,,1.0,,0.0,,,,,,,,,
Shii Ann,Richard,,,,,0.0,,,,,,,,,,,
Kathy,Lex,,,,,1.0,,,1.0,1.0,1.0,,,,,,
Kathy,Jerri,,,,,1.0,,,1.0,0.0,,,,,,,
Kathy,Ethan,,,,,1.0,,,0.0,,,,,,,,
Kathy,Colby,,,,,1.0,,,,,,,,,,,
Kathy,Richard,,,,,0.0,,,,,,,,,,,
Lex,Jerri,,,,,1.0,,1.0,1.0,0.0,,,,,,,
Lex,Ethan,,,,,1.0,,0.0,0.0,,,,,,,,
Lex,Colby,,,,,1.0,,0.0,,,,,,,,,
Lex,Richard,,,,,0.0,,,,,,,,,,,
Jerri,Colby,,,,,1.0,,0.0,,,,,,,,,
Jerri,Richard,,,,,0.0,,,,,,,,,,,
Ethan,Colby,,,,,1.0,,1.0,,,,,,,,,
Ethan,Richard,,,,,0.0,,,,,,,,,,,
Colby,Richard,,,,,0.0,,,,,,,,,,,
Amber,Shii Ann,,,,,,,,,1.0,1.0,0.0,1.0,0.0,,,
Amber,Kathy,,,,,,,,,1.0,0.0,0.0,,,,,
Amber,Lex,,,,,,,,,1.0,0.0,,,,,,
Amber,Jerri,,,,,,,,,0.0,,,,,,,
Amber,Jenna L.,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,
Amber,Rupert,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,
Rob M.,Jenna L.,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,
Rob M.,Rupert,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,
Rob M.,Shii Ann,,,,,,,,,,1.0,0.0,1.0,0.0,,,
Rob M.,Kathy,,,,,,,,,,0.0,0.0,,,,,
Rob M.,Lex,,,,,,,,,,0.0,,,,,,
Jenna L.,Tom,,,,,,,,,,1.0,1.0,1.0,1.0,0.0,,
Jenna L.,Shii Ann,,,,,,,,,,1.0,0.0,1.0,0.0,,,
Jenna L.,Alicia,,,,,,,,,,1.0,1.0,0.0,,,,
Jenna L.,Kathy,,,,,,,,,,0.0,0.0,,,,,
Jenna L.,Lex,,,,,,,,,,0.0,,,,,,
Rupert,Tom,,,,,,,,,,1.0,1.0,1.0,1.0,0.0,,
Rupert,Shii Ann,,,,,,,,,,1.0,0.0,1.0,0.0,,,
Rupert,Alicia,,,,,,,,,,1.0,1.0,0.0,,,,
Rupert,Kathy,,,,,,,,,,0.0,0.0,,,,,
Rupert,Lex,,,,,,,,,,0.0,,,,,,
Tom,Shii Ann,,,,,,,,,,1.0,0.0,1.0,0.0,,,
Tom,Kathy,,,,,,,,,,0.0,0.0,,,,,
Tom,Lex,,,,,,,,,,0.0,,,,,,
Shii Ann,Alicia,,,,,,,,,,1.0,0.0,0.0,,,,
Alicia,Kathy,,,,,,,,,,0.0,0.0,,,,,
Alicia,Lex,,,,,,,,,,0.0,,,,,,
