,Idx,Episode,Air date,Reward,Immunity,Exiled,Eliminated(Vote),Finish,Viewers(in millions),Ratings/Share(18-49),Immunity_2
0,1,"""I Vote You Out and That's It""","September 25, 2019",Vokai,Vokai,Elizabeth,"['Ronnie', '7-2']",1st Voted OutDay 3,6.29,1.3/6,['Vokai']
1,2,"""YOLO, Let's Play!""","October 2, 2019",Lairo,Lairo,Kellee,"['Molly', '7-2-1']",2nd Voted OutDay 6,6.57,1.2/6,['Lairo']
2,3,"""Honesty Would Be Chill""","October 9, 2019",Vokai,Vokai,Vince,"['Vince', '5-3-1']",3rd Voted OutDay 8,6.51,1.2/6,['Vokai']
3,4,"""Plan Z""","October 16, 2019",Vokai,Vokai,Noura,"['Chelsea', '6-2']",4th Voted OutDay 11,6.91,1.4/7,['Vokai']
4,5,"""Don't Bite the Hand That Feeds You""","October 23, 2019",Vokai,Vokai,None,"['Tom', '5-2']",5th Voted OutDay 14,6.82,1.3/6,['Vokai']
5,6,"""Suck It Up Buttercup""","October 30, 2019",Vokai,Lairo,Elaine,"['Jason', '4-3']",6th Voted OutDay 16,6.37,1.2/6,['Lairo']
6,7,"""I Was Born at Night, but Not Last Night""","November 6, 2019",Vokai,Vokai,Janet,"['Jack', '2-0']",7th Voted Out1st Jury MemberDay 19,6.82,1.3/6,['Vokai']
7,8,"""We Made It to the Merge!""","November 13, 2019",None,Aaron,None,"['Kellee', '8-5']",8th Voted Out2nd Jury MemberDay 22,6.07,1.1/6,['Aaron']
8,8,"""We Made It to the Merge!""","November 13, 2019","Dan, Dean,Elaine,Elizabeth,Noura,Tommy","['Aaron', 'Missy']",Jamal,"['Jamal', '6-3-0']",9th Voted Out3rd Jury MemberDay 24,6.07,1.1/6,"['Aaron', 'Missy']"
9,9,"""Two for the Price of One""","November 20, 2019",,Noura,None,"['Aaron', '5-1']",10th Voted Out4th Jury MemberDay 27,6.63,1.2/6,['Noura']
10,9,"""Two for the Price of One""","November 20, 2019","['Elaine', 'Elizabeth,Karishma,Missy,Tommy']","['Elaine', '']",None,"['Missy', '3-2']",11th Voted Out5th Jury MemberDay 27,6.63,1.2/6,['Elaine']
11,10,"""Bring On the Bacon""","November 27, 2019",None,Noura,Lauren,"['Elizabeth', '1-1-0;7-0']",12th Voted Out6th Jury MemberDay 30,6.48,1.1/6,['Noura']
12,11,"""A Very Simple Plan""","December 4, 2019","Janet,Tommy[Dan,Lauren]",Lauren,None,"['Karishma', '5-3']",13th Voted Out7th Jury MemberDay 32,6.86,1.2/6,['Lauren']
13,12,"""Just Go for It""","December 11, 2019","Tommy[Dean,Noura]",Dean,Dean,"['Elaine', '5-2']",14th Voted Out8th Jury MemberDay 35,6.82,1.2/7,['Dean']
14,12,"""Just Go for It""","December 11, 2019","Tommy[Dean,Noura]",Dean,Dean,"['Dan', 'No Vote']",EjectedDay 36,6.82,1.2/7,['Dean']
15,13,"""Mama, Look at Me Now""","December 18, 2019","['Dean', '[Noura]']","['Dean', '']",None,"['Janet', '4-1']",15th Voted Out9th Jury MemberDay 37,6.52,1.2/6,['Dean']
16,13,"""Mama, Look at Me Now""","December 18, 2019",None,Noura,None,"['Lauren', 'No Vote']",Eliminated10th Jury MemberDay 38,6.52,1.2/6,['Noura']
17,13,"""Mama, Look at Me Now""","December 18, 2019",Jury Vote,Jury Vote,Jury Vote,"['Noura', '8-2-0']",SecondRunner-Up,6.52,1.2/6,[]
18,13,"""Mama, Look at Me Now""","December 18, 2019",Jury Vote,Jury Vote,Jury Vote,"['Dean', '8-2-0']",Runner-Up,6.52,1.2/6,[]
19,13,"""Mama, Look at Me Now""","December 18, 2019",Jury Vote,Jury Vote,Jury Vote,"['Tommy', '8-2-0']",Sole Survivor,6.52,1.2/6,[]
20,14,"""Reunion""","December 18, 2019",,,,,,4.61,0.9/5,[]
