,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Elizabeth,Chelsea,,,1.0,0.0,,,,,,,,,,,,,
Elizabeth,Vince,,,0.0,,,,,,,,,,,,,,
Dean,Janet,,,,,0.0,,0.0,0.0,1.0,1.0,,1.0,0.0,1.0,,0.0,
Dean,Jamal,,,,,0.0,,0.0,0.0,,,,,,,,,
Dean,Kellee,,,,,0.0,,0.0,0.0,,,,,,,,,
Dean,Jack,,,,,0.0,,0.0,,,,,,,,,,
Janet,Karishma,,,,,1.0,,1.0,1.0,0.0,,,0.0,1.0,,,,
Janet,Tom,,,,,0.0,,,,,,,,,,,,
Karishma,Jamal,,,,,1.0,,1.0,1.0,,,,,,,,,
Karishma,Kellee,,,,,1.0,,1.0,1.0,,,,,,,,,
Karishma,Jack,,,,,1.0,,1.0,,,,,,,,,,
Jamal,Tom,,,,,0.0,,,,,,,,,,,,
Kellee,Tom,,,,,0.0,,,,,,,,,,,,
Jack,Tom,,,,,0.0,,,,,,,,,,,,
Tommy,Elaine,,,,,,0.0,,1.0,0.0,,1.0,1.0,1.0,0.0,,,
Tommy,Elizabeth,,,,,,0.0,,1.0,0.0,,0.0,1.0,,,,,
Tommy,Missy,,,,,,0.0,,1.0,0.0,,0.0,,,,,,
Tommy,Aaron,,,,,,0.0,,1.0,1.0,,,,,,,,
Lauren,Elaine,,,,,,0.0,,1.0,1.0,,,1.0,1.0,0.0,,,
Lauren,Elizabeth,,,,,,0.0,,1.0,1.0,,,1.0,,,,,
Lauren,Missy,,,,,,0.0,,1.0,0.0,,,,,,,,
Lauren,Aaron,,,,,,0.0,,1.0,0.0,0.0,,,,,,,
Dan,Elaine,,,,,,0.0,,1.0,0.0,,,0.0,0.0,1.0,,,
Dan,Elizabeth,,,,,,0.0,,1.0,0.0,,,0.0,,,,,
Dan,Missy,,,,,,0.0,,1.0,0.0,,,,,,,,
Dan,Aaron,,,,,,0.0,,1.0,1.0,0.0,,,,,,,
Dean,Noura,,,,,,,1.0,0.0,1.0,1.0,,1.0,1.0,1.0,,1.0,
Noura,Karishma,,,,,,,0.0,1.0,0.0,,,0.0,0.0,,,,
Tommy,Dean,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,,1.0,
Tommy,Karishma,,,,,,,,0.0,0.0,,1.0,0.0,0.0,,,,
Dean,Lauren,,,,,,,,1.0,0.0,1.0,,1.0,1.0,1.0,,1.0,
Dean,Dan,,,,,,,,1.0,1.0,1.0,,0.0,0.0,0.0,,,
Noura,Elaine,,,,,,,,0.0,0.0,,,1.0,1.0,0.0,,,
Noura,Elizabeth,,,,,,,,0.0,0.0,,,1.0,,,,,
Noura,Missy,,,,,,,,0.0,0.0,,,,,,,,
Noura,Aaron,,,,,,,,0.0,1.0,0.0,,,,,,,
Lauren,Karishma,,,,,,,,0.0,0.0,,,0.0,0.0,,,,
Janet,Elaine,,,,,,,,0.0,0.0,,,1.0,0.0,0.0,,,
Janet,Elizabeth,,,,,,,,0.0,0.0,,,1.0,,,,,
Janet,Missy,,,,,,,,0.0,0.0,,,,,,,,
Janet,Aaron,,,,,,,,0.0,1.0,0.0,,,,,,,
Dan,Karishma,,,,,,,,0.0,0.0,,,1.0,1.0,,,,
Elaine,Jamal,,,,,,,,0.0,,,,,,,,,
Elaine,Kellee,,,,,,,,0.0,,,,,,,,,
Elizabeth,Jamal,,,,,,,,0.0,,,,,,,,,
Elizabeth,Kellee,,,,,,,,0.0,,,,,,,,,
Missy,Jamal,,,,,,,,0.0,,,,,,,,,
Missy,Kellee,,,,,,,,0.0,,,,,,,,,
Aaron,Jamal,,,,,,,,0.0,,,,,,,,,
Aaron,Kellee,,,,,,,,0.0,,,,,,,,,
