,Idx,Episode,Air date,Reward,Immunity,Eliminated(Vote),Finish,Viewers(in millions),Rating/Share(18-49),Immunity_2
0,1,"""The Marooning""","May 31, 2000",Pagong,Pagong,"['Sonja', '4-3-1']",1st Voted OutDay 3,15.51,6.1/20,['Pagong']
1,2,"""The Generation Gap""","June 7, 2000",PagongThere was an unaired Reward ,Tagi,"['B.B.', '6-2']",2nd Voted OutDay 6,18.10,7.5/25,['Tagi']
2,3,"""Quest for Food""","June 14, 2000",Tagi,Pagong,"['Stacey', '5-2']",3rd Voted OutDay 9,23.25,9.4/29,['Pagong']
3,4,"""Too Little, Too Late?""","June 21, 2000",Tagi,Tagi,"['Ramona', '4-2-1']",4th Voted OutDay 12,24.20,9.8/33,['Tagi']
4,5,"""Pulling Your Own Weight""","June 28, 2000",Pagong,Pagong,"['Dirk', '4-1-1']",5th Voted OutDay 15,23.98,9.6/31,['Pagong']
5,6,"""Udder Revenge""","July 5, 2000",Pagong,Tagi,"['Joel', '4-2']",6th Voted OutDay 18,24.50,10.6/33,['Tagi']
6,7,"""The Merger""","July 12, 2000",None,Greg,"['Gretchen', '4-1-1-1-1-1-1']",7th Voted OutDay 21,24.50,10.4/34,['Greg']
7,8,"""Thy Name Is Duplicity""","July 19, 2000",Greg,Gervase,"['Greg', '6-3']",8th Voted Out1st Jury MemberDay 24,26.15,11.4/35,['Gervase']
8,9,"""Old and New Bonds""","July 26, 2000",Colleen[Jenna],Rudy,"['Jenna', '4-3-1']",9th Voted Out2nd Jury MemberDay 27,27.18,11.9/36,['Rudy']
9,10,"""Crack in the Alliance""","August 2, 2000",Gervase,Richard,"['Gervase', '5-2']",10th Voted Out3rd Jury MemberDay 30,24.41,11.9/38,['Richard']
10,11,"""Long Hard Days""","August 9, 2000","['Sean[Richard]Challenge Title: Survivor Quiz ShowThe castaways will be quizzed about island living.Reward: An overnight stay on the Sipadan Princess. The winner will use host Jeff Probst’s Visa card.', 'ColleenThere was an unaired challenge on Day 32, where the castaways would have to guess how much weight they lost. The person who comes closest wins.Reward: A chocolate bar.']",Kelly,"['Colleen', '4-2']",11th Voted Out4th Jury MemberDay 33,28.00,12.1/38,['Kelly']
11,12,"""Death of an Alliance""","August 16, 2000",Kelly,Kelly,"['Sean', '4-1']",12th Voted Out5th Jury MemberDay 36,22.67,12.7/38,['Kelly']
12,13,"""The Final Four""","August 23, 2000",None,Kelly,"['Susan', '2-2;2-0']",13th Voted Out6th Jury MemberDay 37,51.69,22.8/54,['Kelly']
13,13,"""The Final Four""","August 23, 2000",None,Kelly,"['Rudy', '1-0']",14th Voted Out7th Jury MemberDay 38,51.69,22.8/54,['Kelly']
14,13,"""The Final Four""","August 23, 2000",Jury Vote,Jury Vote,"['Kelly', '4-3']",Runner-Up,51.69,22.8/54,[]
15,13,"""The Final Four""","August 23, 2000",Jury Vote,Jury Vote,"['Richard', '4-3']",Sole Survivor,51.69,22.8/54,[]
16,14,"""Survivor: The Reunion""","August 23, 2000",,,,,N/A,N/A,[]
