,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee
0,Sonja Christopher,Sonja,[],63,Walnut Creek,CA,Musician,Tagi,,1st Voted OutDay 3,4,16.0,False
1,B.B. Andersen,B.B.,[],64,Mission Hills,KS,Real Estate Developer,Pagong,,2nd Voted OutDay 6,6,15.0,False
2,Stacey Stillman,Stacey,[],27,San Francisco,CA,Attorney,Tagi,,3rd Voted OutDay 9,6,14.0,False
3,Ramona Gray,Ramona,[],29,Edison,NJ,Biochemist,Pagong,,4th Voted OutDay 12,6,13.0,False
4,Dirk Been,Dirk,[],23,Spring Green,WI,Dairy Farmer,Tagi,,5th Voted OutDay 15,4,12.0,False
5,Joel Klug,Joel,[],27,Sherwood,AR,Health Club Consultant,Pagong,,6th Voted OutDay 18,4,11.0,False
6,Gretchen Cordy,Gretchen,[],38,Clarksville,TN,Teacher,Pagong,Rattana,7th Voted OutDay 21,4,10.0,False
7,Greg Buis,Greg,[],24,Gold Hill,CO,Ivy League Graduate,Pagong,Rattana,8th Voted Out1st Jury MemberDay 24,6,9.0,False
8,Jenna Lewis,Jenna,[],22,Franklin,NH,Student,Pagong,Rattana,9th Voted Out2nd Jury MemberDay 27,11,8.0,False
9,Gervase Peterson,Gervase,[],30,Willingboro,NJ,YMCA Basketball Coach,Pagong,Rattana,10th Voted Out3rd Jury MemberDay 30,6,7.0,False
10,Colleen Haskell,Colleen,[],23,Miami Beach,FL,Student,Pagong,Rattana,11th Voted Out4th Jury MemberDay 33,7,6.0,False
11,Sean Kenniff,Sean,[],30,Carle Place,NY,Neurosurgeon,Tagi,Rattana,12th Voted Out5th Jury MemberDay 36,9,5.0,False
12,Susan Hawk,Susan,[],38,Palmyra,WI,Truck Driver,Tagi,Rattana,13th Voted Out6th Jury MemberDay 37,7,4.0,False
13,Rudy Boesch,Rudy,[],72,Virginia Beach,VA,Retired Navy SEAL,Tagi,Rattana,14th Voted Out7th Jury MemberDay 38,8,3.0,False
14,Kelly Wiglesworth,Kelly,[],22,Kernville,CA,River Rafting Guide,Tagi,Rattana,Runner-Up,0,2.0,False
15,Richard Hatch,Richard,[],38,Newport,RI,Corporate Trainer,Tagi,Rattana,Sole Survivor,6,1.0,False
