,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee,Sole_Survivor,Made_Finale,Voted_Off,Made_Merge,Tm_IC,Tm_IC_W,Idv_IC,Idv_IC_W,Weeks_Played,Votes_Around,Votes_Safe,Votes_Cast,Votes_Sat_Out,Vote_Boot,Vote_Wrong,Wgt_Avg_IC,Wgt_Avg_Idv_IC,Final_Votes,Votes_Against
0,Sonja Christopher,Sonja,[],63,Walnut Creek,CA,Musician,Tagi,,1st Voted OutDay 3,4,16.0,False,False,False,1,False,1,0,0,0,2,1,0,1,0,0,1,0.0,,0,4
1,B.B. Andersen,B.B.,[],64,Mission Hills,KS,Real Estate Developer,Pagong,,2nd Voted OutDay 6,6,15.0,False,False,False,2,False,2,1,0,0,3,2,1,1,0,0,1,0.5,,0,6
2,Stacey Stillman,Stacey,[],27,San Francisco,CA,Attorney,Tagi,,3rd Voted OutDay 9,6,14.0,False,False,False,3,False,3,1,0,0,4,3,1,2,0,0,2,0.3333333333333333,,0,6
3,Ramona Gray,Ramona,[],29,Edison,NJ,Biochemist,Pagong,,4th Voted OutDay 12,6,13.0,False,False,False,4,False,4,2,0,0,5,4,2,2,0,1,1,0.5,,0,6
4,Dirk Been,Dirk,[],23,Spring Green,WI,Dairy Farmer,Tagi,,5th Voted OutDay 15,4,12.0,False,False,False,5,False,5,2,0,0,6,5,2,3,0,2,1,0.4,,0,4
5,Joel Klug,Joel,[],27,Sherwood,AR,Health Club Consultant,Pagong,,6th Voted OutDay 18,4,11.0,False,False,False,6,False,6,3,0,0,7,6,3,3,0,2,1,0.5,,0,4
6,Gretchen Cordy,Gretchen,[],38,Clarksville,TN,Teacher,Pagong,Rattana,7th Voted OutDay 21,4,10.0,False,False,False,7,True,6,3,1,0,8,7,3,4,0,3,1,0.42857142857142855,0.0,0,4
7,Greg Buis,Greg,[],24,Gold Hill,CO,Ivy League Graduate,Pagong,Rattana,8th Voted Out1st Jury MemberDay 24,6,9.0,False,False,False,8,True,6,3,2,1,9,8,3,5,0,1,4,1.5,4.5,0,6
8,Jenna Lewis,Jenna,[],22,Franklin,NH,Student,Pagong,Rattana,9th Voted Out2nd Jury MemberDay 27,11,8.0,False,False,False,9,True,6,3,3,0,10,9,3,6,0,4,2,0.3333333333333333,0.0,0,11
9,Gervase Peterson,Gervase,[],30,Willingboro,NJ,YMCA Basketball Coach,Pagong,Rattana,10th Voted Out3rd Jury MemberDay 30,6,7.0,False,False,False,10,True,6,3,4,1,11,10,3,7,0,1,6,1.1,2.0,0,6
10,Colleen Haskell,Colleen,[],23,Miami Beach,FL,Student,Pagong,Rattana,11th Voted Out4th Jury MemberDay 33,7,6.0,False,False,False,11,True,6,3,5,0,12,11,3,8,0,3,5,0.2727272727272727,0.0,0,7
11,Sean Kenniff,Sean,[],30,Carle Place,NY,Neurosurgeon,Tagi,Rattana,12th Voted Out5th Jury MemberDay 36,9,5.0,False,False,False,12,True,6,3,6,0,13,12,3,9,0,6,3,0.25,0.0,0,9
12,Susan Hawk,Susan,[],38,Palmyra,WI,Truck Driver,Tagi,Rattana,13th Voted Out6th Jury MemberDay 37,7,4.0,False,False,False,13,True,6,3,7,0,14,13,3,10,0,9,1,0.23076923076923078,0.0,0,5
13,Rudy Boesch,Rudy,[],72,Virginia Beach,VA,Retired Navy SEAL,Tagi,Rattana,14th Voted Out7th Jury MemberDay 38,8,3.0,False,False,False,14,True,6,3,8,1,15,14,3,10,1,10,0,0.7142857142857143,0.875,0,8
14,Kelly Wiglesworth,Kelly,[],22,Kernville,CA,River Rafting Guide,Tagi,Rattana,Runner-Up,0,2.0,False,False,True,15,True,6,3,8,4,16,14,3,11,0,6,5,1.2142857142857142,1.75,3,0
15,Richard Hatch,Richard,[],38,Newport,RI,Corporate Trainer,Tagi,Rattana,Sole Survivor,6,1.0,False,True,True,15,True,6,3,8,1,16,14,3,10,1,9,1,0.6428571428571429,0.75,4,6
