,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Switched Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee
0,Jessica deBen,Jessica,[],27,Los Angeles,CA,Fashion Stylist,Ravu,,,1st Voted OutDay 3,6,19.0,False
1,Erica Durousseau,Erica,[],26,Baton Rouge,LA,Non-profit Fundraiser,Ravu,,,2nd Voted OutDay 6,6,18.0,False
2,Sylvia Kwan,Sylvia,[],52,Ross,CA,Architect,Ravu,,,3rd Voted OutDay 8,6,17.0,False
3,Gary Stritesky,Gary,[],55,Ramsey,MN,School Bus Driver,Moto,,,QuitDay 10,0,16.0,False
4,Liliana Gomez,Liliana,[],25,Los Angeles,CA,Loan Officer,Moto,,,4th Voted OutDay 11,6,15.0,False
5,Rita Verreos,Rita,[],38,San Antonio,TX,Single Mother,Ravu,,,5th Voted OutDay 14,6,14.0,False
6,Anthony Robinson,Anthony,[],32,Compton,CA,Expert Witness Locator,Ravu,Ravu,,6th Voted OutDay 16,10,13.0,False
7,Rocky Reid,Rocky,[],28,Los Angeles,CA,Bartender,Ravu,Ravu,,7th Voted Out1st Jury MemberDay 19,5,12.0,False
8,Lisi Linares,Lisi,[],36,Los Angeles,CA,Customer Service Representative,Moto,Ravu,,8th Voted Out2nd Jury MemberDay 21,7,11.0,False
9,Michelle Yi,Michelle,[],22,Cincinnati,OH,Student,Ravu,Moto,Bula Bula,9th Voted Out3rd Jury MemberDay 24,3,10.0,False
10,Edgardo Rivera,Edgardo,[],28,Miami Beach,FL,Advertising Executive,Moto,Ravu,Bula Bula,10th Voted Out4th Jury MemberDay 27,5,9.0,False
11,Mookie Lee,Mookie,[],24,Chicago,IL,Business Consultant,Ravu,Ravu,Bula Bula,11th Voted Out5th Jury MemberDay 30,6,8.0,False
12,Alex Angarita,Alex,[],28,Los Angeles,CA,Lawyer,Moto,Ravu,Bula Bula,12th Voted Out6th Jury MemberDay 33,9,7.0,False
13,Stacy Kimball,Stacy,[],27,Boulder,CO,Web Producer,Moto,Moto,Bula Bula,13th Voted Out7th Jury MemberDay 36,4,6.0,False
14,Boo Bernis,Boo,[],34,Lafayette,LA,Construction Worker,Moto,Moto,Bula Bula,14th Voted Out8th Jury MemberDay 37,5,5.0,False
15,Yau-Man Chan,Yau-Man,[],54,Martinez,CA,Internet Technology Director,Ravu,Moto,Bula Bula,15th Voted Out9th Jury MemberDay 38,9,4.0,False
16,Cassandra Franklin,Cassandra,[],42,Los Angeles,CA,College Administrator,Moto,Moto,Bula Bula,Runners-Up,5,3.0,False
17,Dreamz Herd,Dreamz,[],24,Wilmington,NC,Cheerleading Coach,Moto,Ravu,Bula Bula,Runners-Up,2,2.0,False
18,Earl Cole,Earl,[],35,Santa Monica,CA,Advertising Executive,Ravu,Moto,Bula Bula,Sole Survivor,1,1.0,False
