,Idx,Episode,Air date,Reward,Immunity,Exiled,Eliminated(Vote),Finish,Viewers(in millions),Rating/Share(18-49),Immunity_2
0,1,"""Something Cruel Is About to Happen... Real Soon""","February 8, 2007",Moto,Moto,Sylvia,"['Jessica', '6-1-1-1']",1st Voted OutDay 3,16.44,5.7/15,['Moto']
1,2,"""Snakes Are Misunderstood... We Have an Understanding Now""","February 15, 2007",Moto,Moto,Earl,"['Erica', '6-2']",2nd Voted OutDay 6,16.08,5.6/15,['Moto']
2,3,"""This Is Not Survival... It's a Thrival""","February 22, 2007",Moto,Moto,Sylvia,"['Sylvia', '4-3-1']",3rd Voted OutDay 8,13.47,4.6/12,['Moto']
3,4,"""Let's Just Call Jeff on the Jeff Phone""","March 1, 2007",Moto,Moto,Yau-Man,"['Gary', 'No Vote']",QuitDay 10,14.67,5.0/13,['Moto']
4,4,"""Let's Just Call Jeff on the Jeff Phone""","March 1, 2007",Moto,(Ravu),Yau-Man,"['Liliana', '6-1-1']",4th Voted OutDay 11,14.67,5.0/13,['']
5,5,"""Love Many, Trust Few, Do Wrong to None""","March 8, 2007",Moto,Moto,Earl,"['Rita', '5-2']",5th Voted OutDay 14,13.81,4.6/12,['Moto']
6,6,"""I've Got Strength Now to Carry the Flag""","March 21, 2007",None,Moto,Lisi,"['Anthony', '5-1']",6th Voted OutDay 16,12.78,4.2/12,['Moto']
7,7,"""An Evil Thought""","March 29, 2007",Ravu,Moto,Earl,"['Rocky', '4-2']",7th Voted Out1st Jury MemberDay 19,13.71,4.5/14,['Moto']
8,8,"""So You Think You Can Meke?""","April 5, 2007",Moto,Moto,Lisi,"['Lisi', '4-1']",8th Voted Out2nd Jury MemberDay 21,13.58,4.3/13,['Moto']
9,9,"""Are We Gonna Live on Exile Island?!""","April 12, 2007","Boo, Cassandra, Earl,Edgardo, Yau-Man","Boo, Cassandra, Earl,Edgardo, Yau-Man",Bula Bula,"['Michelle', '3-2']",9th Voted Out3rd Jury MemberDay 24,14.25,4.5/13,"['Boo, Cassandra, Earl,Edgardo, Yau-Man']"
10,10,"""It's a Turtle?!""","April 19, 2007","Cassandra,[Boo,Dreamz,Yau-Man]",Yau-Man,Mookie,"['Edgardo', '5-3-1']",10th Voted Out4th Jury MemberDay 27,13.33,4.5/13,['Yau-Man']
11,11,"""Blackmail or Betrayal""","April 26, 2007","Alex,Dreamz,Earl, Stacy",Stacy,Boo,"['Mookie', '4-3-1']",11th Voted Out5th Jury MemberDay 30,13.83,4.6/14,['Stacy']
12,12,"""A Smile, Velvet Gloves and a Dagger in My Pocket""","May 3, 2007","['Boo', 'Yau-Man', 'Dreamz']",Boo,Earl,"['Alex', '6-1']",12th Voted Out6th Jury MemberDay 33,13.74,4.6/14,['Boo']
13,13,"""I Wanna See If I Can Make a Deal""","May 10, 2007","Boo, Stacy,Yau-Man(Dreamz)",Boo,Yau-Man,"['Stacy', '2-0']",13th Voted Out7th Jury MemberDay 36,13.77,4.4/14,['Boo']
14,14,"""You've Got That Puzzled Look""","May 13, 2007",None,Yau-Man,None,"['Boo', '4-1']",14th Voted Out8th Jury MemberDay 37,13.63,4.6/13,['Yau-Man']
15,14,"""You've Got That Puzzled Look""","May 13, 2007",None,Dreamz,None,"['Yau-Man', '3-1']",15th Voted Out9th Jury MemberDay 38,13.63,4.6/13,['Dreamz']
16,14,"""You've Got That Puzzled Look""","May 13, 2007",Jury Vote,Jury Vote,Jury Vote,"['DreamzCassandra', '9-0-0']",Runners-Up,13.63,4.6/13,[]
17,14,"""You've Got That Puzzled Look""","May 13, 2007",Jury Vote,Jury Vote,Jury Vote,"['Earl', '9-0-0']",Sole Survivor,13.63,4.6/13,[]
18,15,"""Reunion""","May 13, 2007",,,,,,11.43,4.1/11,[]
