,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Earl,Yau-Man,1.0,,1.0,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,0.0
Earl,Mookie,1.0,,0.0,,,1.0,,,,,0.0,1.0,,,,
Earl,Michelle,1.0,,1.0,,,0.0,,,,,,,,,,
Earl,Rocky,0.0,,0.0,,,1.0,,,,,,,,,,
Earl,Anthony,1.0,,1.0,,,1.0,,,,,,,,,,
Earl,Rita,1.0,,0.0,,,0.0,,,,,,,,,,
Earl,Erica,0.0,,,,,,,,,,,,,,,
Earl,Jessica,0.0,,,,,,,,,,,,,,,
Yau-Man,Mookie,1.0,1.0,0.0,,,1.0,,,,,0.0,1.0,,,,
Yau-Man,Michelle,1.0,1.0,1.0,,,0.0,,,,,,,,,,
Yau-Man,Rocky,0.0,1.0,0.0,,,1.0,,,,,,,,,,
Yau-Man,Anthony,1.0,0.0,1.0,,,1.0,,,,,,,,,,
Yau-Man,Rita,1.0,1.0,0.0,,,0.0,,,,,,,,,,
Yau-Man,Erica,0.0,0.0,,,,,,,,,,,,,,
Yau-Man,Jessica,0.0,,,,,,,,,,,,,,,
Mookie,Michelle,1.0,1.0,0.0,,,0.0,,,,1.0,,,,,,
Mookie,Rocky,0.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,
Mookie,Anthony,1.0,0.0,0.0,,,1.0,0.0,,,,,,,,,
Mookie,Rita,1.0,1.0,1.0,,,0.0,,,,,,,,,,
Mookie,Erica,0.0,0.0,,,,,,,,,,,,,,
Mookie,Jessica,0.0,,,,,,,,,,,,,,,
Michelle,Rocky,0.0,1.0,0.0,,,0.0,,,,,,,,,,
Michelle,Anthony,1.0,0.0,1.0,,,0.0,,,,,,,,,,
Michelle,Rita,1.0,1.0,0.0,,,1.0,,,,,,,,,,
Michelle,Erica,0.0,0.0,,,,,,,,,,,,,,
Michelle,Jessica,0.0,,,,,,,,,,,,,,,
Rocky,Anthony,0.0,0.0,0.0,,,1.0,0.0,,,,,,,,,
Rocky,Rita,0.0,1.0,1.0,,,0.0,,,,,,,,,,
Rocky,Erica,1.0,0.0,,,,,,,,,,,,,,
Rocky,Jessica,1.0,,,,,,,,,,,,,,,
Anthony,Rita,1.0,0.0,0.0,,,0.0,,,,,,,,,,
Anthony,Erica,0.0,1.0,,,,,,,,,,,,,,
Anthony,Jessica,0.0,,,,,,,,,,,,,,,
Rita,Erica,0.0,0.0,,,,,,,,,,,,,,
Rita,Jessica,0.0,,,,,,,,,,,,,,,
Erica,Jessica,1.0,,,,,,,,,,,,,,,
Yau-Man,Sylvia,,1.0,0.0,,,,,,,,,,,,,
Mookie,Sylvia,,1.0,1.0,,,,,,,,,,,,,
Michelle,Sylvia,,1.0,0.0,,,,,,,,,,,,,
Rocky,Sylvia,,1.0,1.0,,,,,,,,,,,,,
Anthony,Sylvia,,0.0,0.0,,,,,,,,,,,,,
Rita,Sylvia,,1.0,1.0,,,,,,,,,,,,,
Sylvia,Erica,,0.0,,,,,,,,,,,,,,
Earl,Sylvia,,,0.0,,,,,,,,,,,,,
Cassandra,Dreamz,,,,,0.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
Cassandra,Boo,,,,,0.0,,,,,,1.0,1.0,1.0,1.0,0.0,
Cassandra,Stacy,,,,,0.0,,,,,,1.0,0.0,1.0,1.0,,
Cassandra,Alex,,,,,0.0,,,,,,0.0,1.0,0.0,,,
Cassandra,Edgardo,,,,,0.0,,,,,,0.0,,,,,
Cassandra,Lisi,,,,,0.0,,,,,,,,,,,
Cassandra,Liliana,,,,,0.0,,,,,,,,,,,
