,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Expanded Tribe,Tribe Affiliation Switched Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee,Sole_Survivor,Made_Finale,Voted_Off,Made_Merge,Tm_IC,Tm_IC_W,Idv_IC,Idv_IC_W,Weeks_Played,Votes_Around,Votes_Safe,Votes_Cast,Votes_Sat_Out,Vote_Boot,Vote_Wrong,Wgt_Avg_IC,Wgt_Avg_Idv_IC,Final_Votes,Votes_Against
0,Vytas Baskauskas,Vytas,['Blood vs. Water'],35,Santa Monica,CA,,Ta Keo,,,,1st Voted OutDay 3,6,20.0,True,False,False,1,False,1,0,0,0,2,1,0,1,0,0,1,0.0,,0,6
1,Shirin Oskooi,Shirin,['Worlds Apart'],32,San Francisco,CA,,Ta Keo,,,,2nd Voted OutDay 6,5,19.0,True,False,False,2,False,2,0,0,0,3,2,0,2,0,1,1,0.0,,0,5
2,Peih-Gee Law,Peih-Gee,['China'],37,San Francisco,CA,,Ta Keo,Angkor,,,3rd Voted OutDay 9,4,18.0,True,False,False,3,False,3,0,0,0,4,3,0,3,0,2,1,0.0,,0,4
3,Jeff Varner,Jeff,['The Australian Outback'],49,Greensboro,NC,,Ta Keo,Angkor,,,4th Voted OutDay 11,4,17.0,True,False,False,4,False,4,0,0,0,5,4,0,4,0,3,1,0.0,,0,4
4,Monica Padilla,Monica,['Samoa'],30,Queens,NY,,Bayon,Bayon,,,5th Voted OutDay 13,3,16.0,True,False,False,5,False,5,4,0,0,6,5,4,1,0,0,1,0.6,,0,3
5,Terry Deitz,Terry,['Panama'],55,Simsbury,CT,,Ta Keo,Ta Keo,,,EvacuatedDay 13,0,15.0,True,False,False,6,False,6,3,0,0,7,5,3,2,0,0,2,0.25,,0,0
6,Woo Hwang,Woo,['Cagayan'],31,Newport Beach,CA,,Ta Keo,Angkor,Ta Keo,,6th Voted OutDay 16,5,14.0,True,False,False,7,False,7,1,0,0,8,6,1,5,0,2,3,0.07142857142857142,,0,5
7,Kass McQuillen,Kass,['Cagayan'],43,Tehachapi,CA,,Bayon,Ta Keo,Ta Keo,Orkun,7th Voted Out 1st Jury MemberDay 19,6,13.0,True,False,False,8,True,7,5,1,0,9,7,5,2,0,1,1,0.4375,0.0,0,6
8,Andrew Savage,Andrew,['Pearl Islands'],51,San Jose,CA,,Bayon,Angkor,Ta Keo,Orkun,8th Voted Out2nd Jury MemberDay 21,4,12.0,True,False,False,9,True,7,3,2,0,10,8,3,5,0,3,2,0.2777777777777778,0.0,0,4
9,Kelly Wiglesworth,Kelly,['Borneo'],37,Greensboro,NC,,Ta Keo,Bayon,Ta Keo,Orkun,9th Voted Out3rd Jury MemberDay 24,8,11.0,True,False,False,10,True,7,3,3,0,11,9,2,7,0,1,6,0.3,0.0,0,8
10,Ciera Eastin,Ciera,['Blood vs. Water'],26,Salem,OR,,Bayon,Ta Keo,Ta Keo,Orkun,10th Voted Out4th Jury MemberDay 26,10,10.0,True,False,False,11,True,7,5,4,0,12,10,5,5,0,3,2,0.3181818181818182,0.0,0,10
11,Stephen Fishbach,Stephen,['Tocantins'],36,New York City,NY,,Bayon,Bayon,Bayon,Orkun,11th Voted Out5th Jury MemberDay 29,9,9.0,True,False,False,12,True,7,6,5,0,13,11,5,6,0,4,2,0.5,0.0,0,9
12,Joe Anglim,Joe,['Worlds Apart'],26,Scottsdale,AZ,,Bayon,Ta Keo,Bayon,Orkun,12th Voted Out6th Jury MemberDay 32,8,8.0,True,False,False,13,True,7,6,6,4,14,12,6,5,1,0,5,3.576923076923077,7.0,0,7
13,Abi-Maria Gomes,Abi-Maria,['Philippines'],35,Los Angeles,CA,,Ta Keo,Angkor,Ta Keo,Orkun,13th Voted Out7th Jury MemberDay 35,14,7.0,True,False,False,14,True,7,1,7,0,15,13,1,12,0,8,4,0.03571428571428571,0.0,0,13
14,Kimmi Kappenberg,Kimmi,['The Australian Outback'],42,The Woodlands,TX,,Bayon,Bayon,Bayon,Orkun,14th Voted Out8th Jury MemberDay 36,9,6.0,True,False,False,15,True,7,6,8,0,16,14,5,9,0,5,4,0.4,0.0,0,2
15,Keith Nale,Keith,['San Juan del Sur'],54,Keithville,LA,,Bayon,Ta Keo,Bayon,Orkun,15th Voted Out9th Jury MemberDay 37,4,5.0,True,False,False,16,True,7,6,9,1,17,15,6,9,0,2,7,0.46875,0.3333333333333333,0,4
16,Kelley Wentworth,Kelley,['San Juan del Sur'],28,Seattle,WA,,Ta Keo,Ta Keo,Bayon,Orkun,16th Voted Out10th Jury MemberDay 38,17,4.0,True,False,False,17,True,7,4,10,2,18,16,4,12,0,6,6,0.5588235294117647,0.7,0,17
17,Spencer Bledsoe,Spencer,['Cagayan'],22,Chicago,IL,,Ta Keo,Bayon,Ta Keo,Orkun,Runners-Up,11,3.0,True,False,True,18,True,7,3,10,3,19,16,2,14,0,9,5,1.2941176470588236,1.9,0,11
18,Tasha Fox,Tasha,['Cagayan'],38,St. Louis,MO,,Bayon,Angkor,Bayon,Orkun,Runners-Up,8,2.0,True,False,True,18,True,7,4,10,0,19,16,4,12,0,7,5,0.20588235294117646,0.0,0,5
19,Jeremy Collins,Jeremy,['San Juan del Sur'],37,Foxboro,MA,,Bayon,Bayon,Bayon,Orkun,Sole Survivor,3,1.0,True,True,True,18,True,7,6,10,1,19,16,5,11,0,7,4,0.5294117647058824,0.3,10,3
