,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Expanded Tribe,Tribe Affiliation Switched Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee
0,Vytas Baskauskas,Vytas,['Blood vs. Water'],35,Santa Monica,CA,,Ta Keo,,,,1st Voted OutDay 3,6,20.0,True
1,Shirin Oskooi,Shirin,['Worlds Apart'],32,San Francisco,CA,,Ta Keo,,,,2nd Voted OutDay 6,5,19.0,True
2,Peih-Gee Law,Peih-Gee,['China'],37,San Francisco,CA,,Ta Keo,Angkor,,,3rd Voted OutDay 9,4,18.0,True
3,Jeff Varner,Jeff,['The Australian Outback'],49,Greensboro,NC,,Ta Keo,Angkor,,,4th Voted OutDay 11,4,17.0,True
4,Monica Padilla,Monica,['Samoa'],30,Queens,NY,,Bayon,Bayon,,,5th Voted OutDay 13,3,16.0,True
5,Terry Deitz,Terry,['Panama'],55,Simsbury,CT,,Ta Keo,Ta Keo,,,EvacuatedDay 13,0,15.0,True
6,Woo Hwang,Woo,['Cagayan'],31,Newport Beach,CA,,Ta Keo,Angkor,Ta Keo,,6th Voted OutDay 16,5,14.0,True
7,Kass McQuillen,Kass,['Cagayan'],43,Tehachapi,CA,,Bayon,Ta Keo,Ta Keo,Orkun,7th Voted Out 1st Jury MemberDay 19,6,13.0,True
8,Andrew Savage,Andrew,['Pearl Islands'],51,San Jose,CA,,Bayon,Angkor,Ta Keo,Orkun,8th Voted Out2nd Jury MemberDay 21,4,12.0,True
9,Kelly Wiglesworth,Kelly,['Borneo'],37,Greensboro,NC,,Ta Keo,Bayon,Ta Keo,Orkun,9th Voted Out3rd Jury MemberDay 24,8,11.0,True
10,Ciera Eastin,Ciera,['Blood vs. Water'],26,Salem,OR,,Bayon,Ta Keo,Ta Keo,Orkun,10th Voted Out4th Jury MemberDay 26,10,10.0,True
11,Stephen Fishbach,Stephen,['Tocantins'],36,New York City,NY,,Bayon,Bayon,Bayon,Orkun,11th Voted Out5th Jury MemberDay 29,9,9.0,True
12,Joe Anglim,Joe,['Worlds Apart'],26,Scottsdale,AZ,,Bayon,Ta Keo,Bayon,Orkun,12th Voted Out6th Jury MemberDay 32,8,8.0,True
13,Abi-Maria Gomes,Abi-Maria,['Philippines'],35,Los Angeles,CA,,Ta Keo,Angkor,Ta Keo,Orkun,13th Voted Out7th Jury MemberDay 35,14,7.0,True
14,Kimmi Kappenberg,Kimmi,['The Australian Outback'],42,The Woodlands,TX,,Bayon,Bayon,Bayon,Orkun,14th Voted Out8th Jury MemberDay 36,9,6.0,True
15,Keith Nale,Keith,['San Juan del Sur'],54,Keithville,LA,,Bayon,Ta Keo,Bayon,Orkun,15th Voted Out9th Jury MemberDay 37,4,5.0,True
16,Kelley Wentworth,Kelley,['San Juan del Sur'],28,Seattle,WA,,Ta Keo,Ta Keo,Bayon,Orkun,16th Voted Out10th Jury MemberDay 38,17,4.0,True
17,Spencer Bledsoe,Spencer,['Cagayan'],22,Chicago,IL,,Ta Keo,Bayon,Ta Keo,Orkun,Runners-Up,11,3.0,True
18,Tasha Fox,Tasha,['Cagayan'],38,St. Louis,MO,,Bayon,Angkor,Bayon,Orkun,Runners-Up,8,2.0,True
19,Jeremy Collins,Jeremy,['San Juan del Sur'],37,Foxboro,MA,,Bayon,Bayon,Bayon,Orkun,Sole Survivor,3,1.0,True
