,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Sophie,Amber,,1.0,,,,,,,,,,,,,,,,,
Tyson,Wendell,,1.0,,,0.0,,,,,0.0,,,,,,,,,
Tyson,Yul,,1.0,,,0.0,,,,,,,,,,,,,,
Tyson,Sandra,,1.0,,,0.0,,,,,,,,,,,,,,
Tyson,Amber,,0.0,,,,,,,,,,,,,,,,,
Wendell,Yul,,1.0,,,1.0,,,1.0,0.0,,,,,,,,,,
Wendell,Sandra,,1.0,,,1.0,,,,,,,,,,,,,,
Wendell,Amber,,0.0,,,,,,,,,,,,,,,,,
Yul,Sandra,,1.0,,,1.0,,,,,,,,,,,,,,
Yul,Amber,,0.0,,,,,,,,,,,,,,,,,
Sandra,Amber,,0.0,,,,,,,,,,,,,,,,,
Sarah,Ben,,,,,,1.0,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
Sarah,Adam,,,,,,1.0,,,,1.0,0.0,,,,,,,,
Sarah,Rob,,,,,,0.0,,,,,,,,,,,,,
Ben,Sophie,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,
Sophie,Adam,,,,,,1.0,,,,1.0,0.0,,,,,,,,
Sophie,Rob,,,,,,0.0,,,,,,,,,,,,,
Tony,Denise,,,,,,,0.0,,,1.0,0.0,,0.0,0.0,1.0,1.0,1.0,,
Tony,Jeremy,,,,,,,1.0,,,1.0,1.0,,1.0,1.0,0.0,,,,
Denise,Kim,,,,,,,0.0,,,1.0,0.0,,1.0,1.0,,,,,
Denise,Sandra,,,,,,,0.0,,,,,,,,,,,,
Jeremy,Kim,,,,,,,1.0,,,1.0,1.0,,0.0,0.0,,,,,
Jeremy,Sandra,,,,,,,1.0,,,,,,,,,,,,
Michele,Nick,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,,
Michele,Wendell,,,,,,,,0.0,1.0,1.0,,,,,,,,,
Michele,Yul,,,,,,,,0.0,0.0,,,,,,,,,,
Nick,Parvati,,,,,,,,0.0,,,,,,,,,,,
Wendell,Parvati,,,,,,,,0.0,,,,,,,,,,,
Yul,Parvati,,,,,,,,0.0,,,,,,,,,,,
Tony,Michele,,,,,,,,,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Tony,Ben,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,
Tony,Adam,,,,,,,,,,1.0,0.0,,,,,,,,
Michele,Sarah,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,
Michele,Kim,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,,,,,
Michele,Sophie,,,,,,,,,,0.0,1.0,1.0,0.0,,,,,,
Michele,Tyson,,,,,,,,,,0.0,1.0,0.0,,,,,,,
Sarah,Denise,,,,,,,,,,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,,
Sarah,Jeremy,,,,,,,,,,1.0,0.0,,0.0,1.0,0.0,,,,
Ben,Nick,,,,,,,,,,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,,
Ben,Kim,,,,,,,,,,1.0,1.0,0.0,1.0,0.0,,,,,
Ben,Tyson,,,,,,,,,,1.0,1.0,0.0,,,,,,,
Ben,Wendell,,,,,,,,,,0.0,,,,,,,,,
Denise,Nick,,,,,,,,,,0.0,0.0,,0.0,0.0,1.0,0.0,,,
Denise,Sophie,,,,,,,,,,1.0,0.0,,1.0,,,,,,
Denise,Tyson,,,,,,,,,,1.0,0.0,,,,,,,,
Denise,Wendell,,,,,,,,,,0.0,,,,,,,,,
Nick,Jeremy,,,,,,,,,,0.0,1.0,,1.0,1.0,0.0,,,,
Nick,Adam,,,,,,,,,,0.0,0.0,,,,,,,,
Jeremy,Sophie,,,,,,,,,,1.0,1.0,,0.0,,,,,,
Jeremy,Tyson,,,,,,,,,,1.0,1.0,,,,,,,,
Jeremy,Wendell,,,,,,,,,,0.0,,,,,,,,,
Kim,Adam,,,,,,,,,,1.0,0.0,,,,,,,,
Tyson,Adam,,,,,,,,,,1.0,0.0,,,,,,,,
Adam,Wendell,,,,,,,,,,0.0,,,,,,,,,
Tony,Natalie,,,,,,,,,,,,,,,,,0.0,0.0,
Natalie,Sarah,,,,,,,,,,,,,,,,,0.0,1.0,
