,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Expanded Tribe,Tribe Affiliation Merged Tribe,Finish,Edge ofExtinction Status,VotesAgainst,Place,Returnee,Sole_Survivor,Made_Finale,Voted_Off,Made_Merge,Tm_IC,Tm_IC_W,Idv_IC,Idv_IC_W,Weeks_Played,Votes_Around,Votes_Safe,Votes_Cast,Votes_Sat_Out,Vote_Boot,Vote_Wrong,Wgt_Avg_IC,Wgt_Avg_Idv_IC,Final_Votes,Votes_Against
0,Amber Mariano,Amber,"['The Australian Outback', 'All-Stars']",40,Pensacola,FL,,Dakal,,,2nd Voted OutDay 3,Eliminated1st Jury MemberDay 35,6,20.0,True,False,False,2,False,2,1,0,0,3,2,1,1,0,0,1,0.5,,0,6
1,Danni Boatwright,Danni,['Guatemala'],43,Shawnee,KS,,Sele,,,3rd Voted OutDay 6,Eliminated2nd Jury MemberDay 35,8,19.0,True,False,False,3,False,3,1,0,0,4,3,1,2,0,1,1,0.3333333333333333,,0,8
2,Ethan Zohn,Ethan,"['Africa', 'All-Stars']",45,Hillsborough,NH,,Sele,,,4th Voted OutDay 9,Eliminated3rd Jury MemberDay 35,4,18.0,True,False,False,4,False,4,1,0,0,5,4,1,3,0,2,1,0.25,,0,4
3,Rob Mariano,Rob,"['Marquesas', 'All-Stars', 'Heroes vs. Villains', 'Redemption Island']",43,Pensacola,FL,,Sele,Yara,,6th Voted OutDay 14,Eliminated4th Jury MemberDay 35,4,17.0,True,False,False,6,False,6,2,0,0,7,6,2,4,0,2,2,0.3333333333333333,,0,4
4,Sandra Diaz-Twine,Sandra,"['Pearl Islands', 'Heroes vs. Villains', 'Game Changers']",44,Riverview,FL,,Dakal,Dakal,,7th Voted OutDay 16,QuitDay 16,1,16.0,True,False,False,7,False,7,4,0,0,8,7,4,3,0,2,1,0.5,,0,1
5,Parvati Shallow,Parvati,"['Cook Islands', 'Micronesia', 'Heroes vs. Villains']",36,Los Angeles,CA,,Sele,Sele,,8th Voted OutDay 16,Eliminated5th Jury MemberDay 35,5,15.0,True,False,False,8,False,8,3,0,0,9,8,4,4,0,2,2,0.3125,,0,5
6,Yul Kwon,Yul,['Cook Islands'],44,Los Altos,CA,,Dakal,Sele,,9th Voted OutDay 18,Eliminated6th Jury MemberDay 35,3,14.0,True,False,False,9,False,9,4,0,0,10,9,5,4,0,3,1,0.3888888888888889,,0,3
7,Wendell Holland,Wendell,['Ghost Island'],35,Philadelphia,PA,,Dakal,Sele,Koru,10th Voted Out7th Jury MemberDay 21,EliminatedDay 35,12,13.0,True,False,False,10,True,9,4,1,0,11,10,5,5,0,4,1,0.35,0.0,0,12
8,Adam Klein,Adam,['Millennials vs. Gen X'],28,Los Angeles,CA,,Sele,Yara,Koru,11th Voted Out8th Jury MemberDay 23,EliminatedDay 35,15,12.0,True,False,False,11,True,9,5,2,0,12,11,5,6,0,4,2,0.5909090909090909,0.0,0,15
9,Tyson Apostol,Tyson,"['Tocantins', 'Heroes vs. Villains', 'Blood vs. Water']",39,Mesa,AZ,,Dakal,,Koru,"['5th Voted OutDay 11', '12th Voted Out9th Jury MemberDay 25']","['1st ReturneeDay 19', 'EliminatedDay 35']",12,11.0,True,False,False,"[5, 12]",True,5,3,3,0,9,8,3,5,0,3,2,0.375,0.0,0,11
10,Sophie Clarke,Sophie,['South Pacific'],29,Santa Monica,CA,,Dakal,Yara,Koru,13th Voted Out10th Jury MemberDay 28,EliminatedDay 35,6,10.0,True,False,False,13,True,9,6,4,0,14,13,6,7,0,4,3,0.5769230769230769,0.0,0,6
