,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee,Sole_Survivor,Made_Finale,Voted_Off,Made_Merge,Tm_IC,Tm_IC_W,Idv_IC,Idv_IC_W,Weeks_Played,Votes_Around,Votes_Safe,Votes_Cast,Votes_Sat_Out,Vote_Boot,Vote_Wrong,Wgt_Avg_IC,Wgt_Avg_Idv_IC,Final_Votes,Votes_Against
0,Debb Eaton,Debb,[],45,Milan,NH,Corrections Officer,Kucha,,1st Voted OutDay 3,7,16.0,False,False,False,1,False,1,0,0,0,2,1,0,1,0,0,1,0.0,,0,7
1,Kel Gleason,Kel,[],32,Fort Hood,TX,Army Intelligence Officer,Ogakor,,2nd Voted OutDay 6,7,15.0,False,False,False,2,False,2,1,0,0,3,2,1,1,0,0,1,0.5,,0,7
2,Maralyn Hershey,Maralyn,[],51,Wakefield,VA,Retired Police Officer,Ogakor,,3rd Voted OutDay 9,5,14.0,False,False,False,3,False,3,1,0,0,4,3,1,2,0,1,1,0.3333333333333333,,0,5
3,Mitchell Olson,Mitchell,[],23,Union City,NJ,Singer/Songwriter,Ogakor,,4th Voted OutDay 12,6,13.0,False,False,False,4,False,4,1,0,0,5,4,1,3,0,2,1,0.25,,0,4
4,Kimmi Kappenberg,Kimmi,[],27,Ronkonkoma,NY,Bartender,Kucha,,5th Voted OutDay 15,6,12.0,False,False,False,5,False,5,3,0,0,6,5,3,2,0,1,1,0.6,,0,6
5,Michael Skupin,Michael,[],38,White Lake,MI,Software Company President,Kucha,,EvacuatedDay 17,0,11.0,False,False,False,6,False,5,3,0,0,7,5,3,2,0,2,0,0.6,,0,0
6,Jeff Varner,Jeff,[],34,Manhattan,NY,Internet Projects Manager,Kucha,Barramundi,6th Voted OutDay 21,11,10.0,False,False,False,7,True,5,3,1,0,8,6,3,3,0,2,1,0.5,0.0,0,7
7,Alicia Calaway,Alicia,[],32,Manhattan,NY,Personal Trainer,Kucha,Barramundi,7th Voted Out1st Jury MemberDay 24,5,9.0,False,False,False,8,True,5,3,2,0,9,7,3,4,0,2,2,0.42857142857142855,0.0,0,5
8,Jerri Manthey,Jerri,[],30,Los Angeles,CA,Aspiring Actress,Ogakor,Barramundi,8th Voted Out2nd Jury MemberDay 27,12,8.0,False,False,False,9,True,5,2,3,0,10,8,2,6,0,4,2,0.25,0.0,0,12
9,Nick Brown,Nick,[],23,Steilacoom,WA,Harvard Law Student,Kucha,Barramundi,9th Voted Out3rd Jury MemberDay 30,4,7.0,False,False,False,10,True,5,3,4,1,11,9,3,6,0,3,3,1.1111111111111112,1.75,0,4
10,Amber Brkich,Amber,[],22,Beaver,PA,Administrative Assistant,Ogakor,Barramundi,10th Voted Out4th Jury MemberDay 33,6,6.0,False,False,False,11,True,5,2,5,0,12,10,2,8,0,5,3,0.2,0.0,0,6
11,Rodger Bingham,Rodger,[],53,Crittenden,KY,Teacher/Farmer,Kucha,Barramundi,11th Voted Out5th Jury MemberDay 36,5,5.0,False,False,False,12,True,5,3,6,0,13,11,3,8,0,4,4,0.2727272727272727,0.0,0,5
12,Elisabeth Filarski,Elisabeth,[],23,Newton,MA,Footwear Designer,Kucha,Barramundi,12th Voted Out6th Jury MemberDay 39,5,4.0,False,False,False,13,True,5,3,7,0,14,12,3,9,0,4,5,0.25,0.0,0,5
13,Keith Famie,Keith,[],40,West Bloomfield,MI,Chef,Ogakor,Barramundi,13th Voted Out7th Jury MemberDay 41,10,3.0,False,False,False,14,True,5,2,8,2,15,13,2,10,1,9,1,1.4615384615384615,2.125,0,8
14,Colby Donaldson,Colby,[],26,Dallas,TX,Auto Customizer,Ogakor,Barramundi,Runner-Up,9,2.0,False,False,True,15,True,5,2,8,5,16,13,2,11,0,10,1,1.6923076923076923,2.5,3,5
15,Tina Wesson,Tina,[],39,Knoxville,TN,Personal Nurse,Ogakor,Barramundi,Sole Survivor,0,1.0,False,True,True,15,True,5,2,8,0,16,13,2,10,1,10,0,0.15384615384615385,0.0,4,0
