,,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Elisabeth,Rodger,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,
Elisabeth,Nick,1.0,,,,1.0,,,1.0,1.0,1.0,,,,
Elisabeth,Alicia,1.0,,,,1.0,,,1.0,,,,,,
Elisabeth,Jeff,1.0,,,,1.0,,,,,,,,,
Elisabeth,Michael,1.0,,,,1.0,,,,,,,,,
Elisabeth,Kimmi,1.0,,,,0.0,,,,,,,,,
Elisabeth,Debb,0.0,,,,,,,,,,,,,
Rodger,Nick,1.0,,,,1.0,,,1.0,1.0,1.0,,,,
Rodger,Alicia,1.0,,,,1.0,,,1.0,,,,,,
Rodger,Jeff,1.0,,,,1.0,,,,,,,,,
Rodger,Michael,1.0,,,,1.0,,,,,,,,,
Rodger,Kimmi,1.0,,,,0.0,,,,,,,,,
Rodger,Debb,0.0,,,,,,,,,,,,,
Nick,Alicia,1.0,,,,1.0,,,1.0,,,,,,
Nick,Jeff,1.0,,,,1.0,,,,,,,,,
Nick,Michael,1.0,,,,1.0,,,,,,,,,
Nick,Kimmi,1.0,,,,0.0,,,,,,,,,
Nick,Debb,0.0,,,,,,,,,,,,,
Alicia,Jeff,1.0,,,,1.0,,,,,,,,,
Alicia,Michael,1.0,,,,1.0,,,,,,,,,
Alicia,Kimmi,1.0,,,,0.0,,,,,,,,,
Alicia,Debb,0.0,,,,,,,,,,,,,
Jeff,Michael,1.0,,,,1.0,,,,,,,,,
Jeff,Kimmi,1.0,,,,0.0,,,,,,,,,
Jeff,Debb,0.0,,,,,,,,,,,,,
Michael,Kimmi,1.0,,,,0.0,,,,,,,,,
Michael,Debb,0.0,,,,,,,,,,,,,
Kimmi,Debb,0.0,,,,,,,,,,,,,
Tina,Colby,,1.0,1.0,,,,,1.0,1.0,1.0,0.0,1.0,1.0,
Tina,Keith,,1.0,0.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,
Tina,Amber,,1.0,1.0,,,,,1.0,0.0,1.0,0.0,,,
Tina,Jerri,,1.0,1.0,,,,,1.0,0.0,,,,,
Tina,Mitchell,,1.0,1.0,,,,,,,,,,,
Tina,Maralyn,,1.0,0.0,,,,,,,,,,,
Tina,Kel,,0.0,,,,,,,,,,,,
Colby,Keith,,1.0,0.0,,,,,1.0,1.0,1.0,0.0,1.0,1.0,
Colby,Amber,,1.0,1.0,,,,,1.0,0.0,1.0,1.0,,,
Colby,Jerri,,1.0,1.0,,,,,1.0,0.0,,,,,
Colby,Mitchell,,1.0,1.0,,,,,,,,,,,
Colby,Maralyn,,1.0,0.0,,,,,,,,,,,
Colby,Kel,,0.0,,,,,,,,,,,,
Keith,Amber,,1.0,0.0,,,,,1.0,0.0,1.0,0.0,,,
Keith,Jerri,,1.0,0.0,,,,,1.0,0.0,,,,,
Keith,Mitchell,,1.0,0.0,,,,,,,,,,,
Keith,Maralyn,,1.0,1.0,,,,,,,,,,,
Keith,Kel,,0.0,,,,,,,,,,,,
Amber,Jerri,,1.0,1.0,,,,,1.0,1.0,,,,,
Amber,Mitchell,,1.0,1.0,,,,,,,,,,,
Amber,Maralyn,,1.0,0.0,,,,,,,,,,,
Amber,Kel,,0.0,,,,,,,,,,,,
Jerri,Mitchell,,1.0,1.0,,,,,,,,,,,
Jerri,Maralyn,,1.0,0.0,,,,,,,,,,,
Jerri,Kel,,0.0,,,,,,,,,,,,
Mitchell,Maralyn,,1.0,0.0,,,,,,,,,,,
Mitchell,Kel,,0.0,,,,,,,,,,,,
Maralyn,Kel,,0.0,,,,,,,,,,,,
Tina,Elisabeth,,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,
Tina,Rodger,,,,,,,,0.0,1.0,0.0,1.0,0.0,,
Tina,Nick,,,,,,,,0.0,1.0,0.0,,,,
Tina,Alicia,,,,,,,,0.0,,,,,,
Colby,Elisabeth,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,
Colby,Rodger,,,,,,,,0.0,1.0,0.0,0.0,0.0,,
Colby,Nick,,,,,,,,0.0,1.0,0.0,,,,
Colby,Alicia,,,,,,,,0.0,,,,,,
Keith,Elisabeth,,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,
Keith,Rodger,,,,,,,,0.0,1.0,0.0,1.0,0.0,,
Keith,Nick,,,,,,,,0.0,1.0,0.0,,,,
Keith,Alicia,,,,,,,,0.0,,,,,,
Elisabeth,Amber,,,,,,,,0.0,0.0,0.0,0.0,,,
Elisabeth,Jerri,,,,,,,,0.0,0.0,,,,,
Rodger,Amber,,,,,,,,0.0,0.0,0.0,0.0,,,
Rodger,Jerri,,,,,,,,0.0,0.0,,,,,
Amber,Nick,,,,,,,,0.0,0.0,0.0,,,,
Amber,Alicia,,,,,,,,0.0,,,,,,
Nick,Jerri,,,,,,,,0.0,0.0,,,,,
Jerri,Alicia,,,,,,,,0.0,,,,,,
