,Full Name,Contestant,Prev Season,Age,City,State,Job,Tribe Affiliation Original Tribe,Tribe Affiliation Merged Tribe,Finish,VotesAgainst,Place,Returnee
0,Debb Eaton,Debb,[],45,Milan,NH,Corrections Officer,Kucha,,1st Voted OutDay 3,7,16.0,False
1,Kel Gleason,Kel,[],32,Fort Hood,TX,Army Intelligence Officer,Ogakor,,2nd Voted OutDay 6,7,15.0,False
2,Maralyn Hershey,Maralyn,[],51,Wakefield,VA,Retired Police Officer,Ogakor,,3rd Voted OutDay 9,5,14.0,False
3,Mitchell Olson,Mitchell,[],23,Union City,NJ,Singer/Songwriter,Ogakor,,4th Voted OutDay 12,6,13.0,False
4,Kimmi Kappenberg,Kimmi,[],27,Ronkonkoma,NY,Bartender,Kucha,,5th Voted OutDay 15,6,12.0,False
5,Michael Skupin,Michael,[],38,White Lake,MI,Software Company President,Kucha,,EvacuatedDay 17,0,11.0,False
6,Jeff Varner,Jeff,[],34,Manhattan,NY,Internet Projects Manager,Kucha,Barramundi,6th Voted OutDay 21,11,10.0,False
7,Alicia Calaway,Alicia,[],32,Manhattan,NY,Personal Trainer,Kucha,Barramundi,7th Voted Out1st Jury MemberDay 24,5,9.0,False
8,Jerri Manthey,Jerri,[],30,Los Angeles,CA,Aspiring Actress,Ogakor,Barramundi,8th Voted Out2nd Jury MemberDay 27,12,8.0,False
9,Nick Brown,Nick,[],23,Steilacoom,WA,Harvard Law Student,Kucha,Barramundi,9th Voted Out3rd Jury MemberDay 30,4,7.0,False
10,Amber Brkich,Amber,[],22,Beaver,PA,Administrative Assistant,Ogakor,Barramundi,10th Voted Out4th Jury MemberDay 33,6,6.0,False
11,Rodger Bingham,Rodger,[],53,Crittenden,KY,Teacher/Farmer,Kucha,Barramundi,11th Voted Out5th Jury MemberDay 36,5,5.0,False
12,Elisabeth Filarski,Elisabeth,[],23,Newton,MA,Footwear Designer,Kucha,Barramundi,12th Voted Out6th Jury MemberDay 39,5,4.0,False
13,Keith Famie,Keith,[],40,West Bloomfield,MI,Chef,Ogakor,Barramundi,13th Voted Out7th Jury MemberDay 41,10,3.0,False
14,Colby Donaldson,Colby,[],26,Dallas,TX,Auto Customizer,Ogakor,Barramundi,Runner-Up,9,2.0,False
15,Tina Wesson,Tina,[],39,Knoxville,TN,Personal Nurse,Ogakor,Barramundi,Sole Survivor,0,1.0,False
